suite,model,corruption,injection_mode,level,level_value,method,window_fraction,window_samples,replicates,location_accuracy,beats_zero_other_rate,beats_parent_only_rate,beats_wrong_location_rate,empirical_90_interval_coverage,median_sign_accuracy,q05_sign_accuracy,q95_sign_accuracy,median_correlation,q05_correlation,q95_correlation,median_nrmse,q05_nrmse,q95_nrmse,median_integrated_error,q05_integrated_error,q95_integrated_error,median_inactive_rms_fraction,q05_inactive_rms_fraction,q95_inactive_rms_fraction,median_zero_other_nrmse,q05_zero_other_nrmse,q95_zero_other_nrmse,median_parent_only_nrmse,q05_parent_only_nrmse,q95_parent_only_nrmse,median_wrong_location_nrmse,q05_wrong_location_nrmse,q95_wrong_location_nrmse
additive,Damped coupled oscillators,ar1,g_only,-6_dB,-6,causal_local_linear,0.02,121,16,0.0,0.0,0.0,0.0,nan,0.5248904195366312,0.4870851596743895,0.5606606136505949,-0.014089526928852743,-0.12599908700933504,0.12206395428536906,1.5530857005173226,1.5209573010324835,1.620463183427859,0.029997823110430255,0.005503718760035394,0.16576215011902717,1.8158135524037173,1.7741108380176371,1.9330942769792048,0.2538512999624576,0.2538512999624576,0.2538512999624576,0.8742234095456927,0.8282381341952303,0.910282974861778,1.390383704345693,1.3673303873685114,1.4179189310513134
additive,Damped coupled oscillators,ar1,g_only,-6_dB,-6,local_poly,0.08,481,16,0.0,0.0,0.0,0.0,1.0,0.5702824133504493,0.5223042362002567,0.6120827984595635,0.19103968990082965,0.0903650078123423,0.3191554033633375,1.4964164106795332,1.4778015515998657,1.534245130051738,0.18263373372405073,0.027046523217236787,0.4079373622091574,1.6971289677606816,1.6485598912250476,1.761702513343913,0.2611937344798234,0.2611937344798234,0.2611937344798234,0.866245271454132,0.8323752994897706,0.9153897779554758,1.349909696188353,1.2989042580446861,1.3830478306401464
additive,Damped coupled oscillators,ar1,g_only,-6_dB,-6,moving_average_fd,0.04,241,16,0.0,0.0,0.0,0.0,nan,0.5617167919799498,0.5200501253132832,0.6040100250626567,0.1742683241082948,0.08030399652203568,0.3036408727721232,1.5205257385327768,1.4891421867526966,1.561567572823601,0.1269931542785555,0.038878474511697625,0.21278749418320025,1.722452728590405,1.7004055787164964,1.8074445368024241,0.2565212217760776,0.2565212217760776,0.2565212217760776,0.8725450589418682,0.8286629960862744,0.9088515058964352,1.3572172800945823,1.3133563087933346,1.3876822326035572
additive,Damped coupled oscillators,ar1,g_only,-6_dB,-6,raw_fd,,,16,0.0,0.0,0.0,0.0,nan,0.5711050724637681,0.5288345410628019,0.6015247584541062,0.18453407661091575,0.0751495596853435,0.31248322052448435,1.4940400055251997,1.4936156030921064,1.4941891219168677,0.002018607531053734,0.00014767923155729347,0.0061992250261865885,1.6853526458956836,1.6837540584499233,1.6854857757428008,0.2562171695731422,0.2562171695731422,0.2562171695731422,0.8719569556723463,0.826671910288401,0.9033257207220763,1.3445781694323862,1.3139960961809756,1.3773246483177362
additive,Damped coupled oscillators,ar1,g_only,0_dB,0,causal_local_linear,0.02,121,16,0.0,0.0,0.0,0.0,nan,0.5314652473387602,0.4794145272385723,0.5796806512210394,-0.08604605309066898,-0.19936192631140134,0.03585967907325627,0.8951959011146047,0.8611288309713047,0.9230586092408749,0.024595852611152227,0.0023163835507299586,0.07891257856741493,1.1399556329439524,1.0859238879913373,1.1843697488613771,0.2538512999624576,0.2538512999624576,0.2538512999624576,0.4672875026679001,0.4354931425331467,0.4922561359485833,0.7919414583889337,0.76228576878077,0.8644959736779594
additive,Damped coupled oscillators,ar1,g_only,0_dB,0,local_poly,0.08,481,16,0.0625,0.0,0.0,0.0,0.9996790757381258,0.6307766367137355,0.5913029525032092,0.686617458279846,0.2934166010000685,0.18028882935571405,0.3999762613727878,0.7585234413810247,0.7434655236580197,0.7793167138776534,0.09262264692162811,0.017004167277748748,0.189107025454953,0.8808305669480452,0.8566774622556118,0.911777472703704,0.2611937344798234,0.2611937344798234,0.2611937344798234,0.46944014230969705,0.4350394066470867,0.48891843631480136,0.7133398772811617,0.6925988917603045,0.7409694257278313
additive,Damped coupled oscillators,ar1,g_only,0_dB,0,moving_average_fd,0.04,241,16,0.0625,0.0,0.0,0.0,nan,0.6043233082706767,0.5613251879699248,0.6622023809523809,0.2704762099651391,0.1680427681209849,0.37293961306030876,0.7988617241775703,0.7629603989106731,0.842831913765264,0.030308029226510498,0.011050392384649922,0.1092420753267789,0.9569610186388302,0.9022992483474988,1.001917425351896,0.2565212217760776,0.2565212217760776,0.2565212217760776,0.4679776337888966,0.4353329901923164,0.4928584523779245,0.7330191790851408,0.7042858631093991,0.7571559369386704
additive,Damped coupled oscillators,ar1,g_only,0_dB,0,raw_fd,,,16,0.0,0.0,0.0,0.0,nan,0.6280193236714976,0.5901268115942029,0.6767059178743962,0.29217763043696554,0.17744360674147908,0.41445675130363935,0.7487353690456154,0.7484643037620384,0.74886888667654,0.0017334544741493731,0.0006474546390470804,0.004322772775558984,0.8446817975549896,0.8443951144783035,0.8447592136458314,0.2562171695731422,0.2562171695731422,0.2562171695731422,0.4624887136240787,0.4330757189358217,0.483324758289031,0.7046539079048946,0.6911077452411504,0.7257232762739594
additive,Damped coupled oscillators,ar1,g_only,6_dB,6,causal_local_linear,0.02,121,16,0.0,0.0,0.0,0.0,nan,0.5250469630557295,0.4789448966812774,0.5568252974326864,-0.16691900848289543,-0.2228844496713502,-0.09813483668011197,0.6241804660351162,0.5939667350749989,0.6633995112826596,0.04000830400603958,0.0012539212046481175,0.08593851312144196,0.8412117050189336,0.8050923988783094,0.878515536371314,0.2538512999624576,0.2538512999624576,0.2538512999624576,0.2789873832858766,0.2708197609699295,0.29710217859015725,0.5525760038846934,0.5301420523885224,0.6268259433844066
additive,Damped coupled oscillators,ar1,g_only,6_dB,6,local_poly,0.08,481,16,0.3125,0.0,0.0,1.0,0.9730423620025674,0.6928754813863929,0.6599807445442876,0.7459884467265725,0.4586673725556025,0.4229436255182864,0.5412655717666237,0.39909945287877835,0.37623786561741873,0.41065068811741223,0.062049697132542186,0.0012531572131672685,0.09845438585727864,0.4727859830968918,0.453899532839632,0.48954170177048656,0.2611937344798234,0.2611937344798234,0.2611937344798234,0.2764219121143937,0.2678275989782086,0.2973459802639776,0.42709942807301354,0.4013137727092232,0.4471120411300102
