alpha,beta,replicates,median_correlation,median_nrmse,selection_objective,selected
0.0,1e-10,12,0.02148497347598118,0.28015199782043165,0.5240192194476474,0
0.0,1e-09,12,0.025112879746392383,0.27972376432616886,0.5226904858018363,0
0.0,1e-08,12,0.0524848862705215,0.27641201696339535,0.5126119724358591,0
0.0,1e-07,12,0.14791990187809956,0.26587359683596323,0.478088268918255,0
0.0,1e-06,12,0.2862058399812373,0.2525671905547243,0.4308806657377108,0
0.0,1e-05,12,0.35854705994008684,0.25150216928721525,0.4126181790388318,0
0.0,0.0001,12,0.5454287486587179,0.23125855493405334,0.34503832283289104,0
0.0,0.001,12,0.7626795894761054,0.18164136079149412,0.24097146342246778,1
0.0,0.01,12,0.6545167456838303,0.28633689656416744,0.37306292067692415,0
1e-06,1e-10,12,0.02224514044806201,0.2799920565571615,0.5236619517743455,0
1e-06,1e-09,12,0.025710038370842972,0.27958090656833945,0.5223925905331438,0
1e-06,1e-08,12,0.05222891109344699,0.2763516746649731,0.5126263002965336,0
1e-06,1e-07,12,0.1471553929010963,0.2658658295357297,0.47824629465617763,0
1e-06,1e-06,12,0.2855794278836673,0.2525528748894645,0.43101437701798956,0
1e-06,1e-05,12,0.35892269289613543,0.2513705422484428,0.41238773102417026,0
1e-06,0.0001,12,0.5454659700980802,0.2312065197058395,0.34496889862480423,0
1e-06,0.001,12,0.7626252232905266,0.1816464655045157,0.24099015968188403,0
1e-06,0.01,12,0.6545280550714183,0.28632267166062697,0.37304524117321186,0
1e-05,1e-10,12,0.02917873942696228,0.2786863924735259,0.5205648622601347,0
1e-05,1e-09,12,0.03165756833210605,0.2783835068109348,0.5196561307890393,0
1e-05,1e-08,12,0.052267669723409765,0.2758213192231472,0.51206660396541,0
1e-05,1e-07,12,0.14122132330206322,0.26590473020138716,0.47961447052680783,0
1e-05,1e-06,12,0.2805843628515413,0.2524275980727203,0.4320680620325458,0
1e-05,1e-05,12,0.36209981706274635,0.2502539440945868,0.4104303317603163,0
1e-05,0.0001,12,0.5457920666497125,0.23074959397876937,0.34435883202129647,0
1e-05,0.001,12,0.762137153955327,0.18169255012971486,0.2411582616408831,0
1e-05,0.01,12,0.654629614977861,0.2861948743700674,0.37288641839567765,0
0.0001,1e-10,12,0.0750269342294835,0.2722085882384844,0.5025331927462158,0
0.0001,1e-09,12,0.07567412391892588,0.27212433929052005,0.50229494988331,0
0.0001,1e-08,12,0.08185085547078702,0.27131796332224767,0.5000176562663583,0
0.0001,1e-07,12,0.12835768056437494,0.26595130480714213,0.48276046033755715,0
0.0001,1e-06,12,0.25988187586810385,0.2516355357535436,0.436096269188526,0
0.0001,1e-05,12,0.37877296866613375,0.24314254092099225,0.39844929875445884,0
0.0001,0.0001,12,0.5482822406371388,0.22710452071512707,0.34035776977923193,0
0.0001,0.001,12,0.757375395562735,0.18216511866616858,0.24282126977548482,0
0.0001,0.01,12,0.6556233554965267,0.28495324962072704,0.3713266578016272,0
0.001,1e-10,12,0.19518969667480957,0.2618990007450095,0.4610046124488837,0
0.001,1e-09,12,0.19524651103320206,0.26188653160529196,0.4609819957228517,0
0.001,1e-08,12,0.19591873694032885,0.26176251488749736,0.4607568700040011,0
0.001,1e-07,12,0.20317278341677297,0.26058584624061265,0.4586037373312375,0
0.001,1e-06,12,0.2519739397986422,0.2537955058921727,0.4396631210391746,0
0.001,1e-05,12,0.39027388921212636,0.23555830070858688,0.38781351119072127,0
0.001,0.0001,12,0.5412175914280429,0.21752528111710914,0.33238674531389845,0
0.001,0.001,12,0.7192908212794336,0.18694883899286957,0.2571261336730112,0
0.001,0.01,12,0.6628836058707297,0.2748053156817991,0.3592625107087124,0
0.01,1e-10,12,0.27448798653770123,0.25596397940698007,0.4369554298642837,0
0.01,1e-09,12,0.2744944683600232,0.25596257445069204,0.4369533025533059,0
0.01,1e-08,12,0.27455924970796663,0.2559485327111389,0.4369320387545781,0
0.01,1e-07,12,0.27520340708638447,0.2558088925642956,0.4367203261955953,0
0.01,1e-06,12,0.28130816277113135,0.2544854522942158,0.4346904216301137,0
0.01,1e-05,12,0.3236943068067707,0.2469606097826546,0.4160574945110807,0
0.01,0.0001,12,0.4506266292076787,0.22689887488445531,0.3642422175825356,0
0.01,0.001,12,0.6075881394558029,0.2045233487976877,0.30262631393373696,0
0.01,0.01,12,0.6684971664929715,0.23592386506364693,0.31966524372425287,0
0.1,1e-10,12,0.13041540229009208,0.2551771231477311,0.47202279508334377,0
0.1,1e-09,12,0.13041669504951314,0.2551770153168981,0.4720223860712494,0
0.1,1e-08,12,0.13042962170009603,0.255175937072875,0.47201829623527725,0
0.1,1e-07,12,0.13055879392737374,0.25516516105808185,0.47197742634776174,0
0.1,1e-06,12,0.13184117112962182,0.25505803877552913,0.47157155062224354,0
0.1,1e-05,12,0.14380642546912897,0.25410237789716505,0.4677729581364299,0
0.1,0.0001,12,0.21749755438566576,0.24857493549191373,0.44398152835337124,0
0.1,0.001,12,0.39461755860508285,0.23294488135032057,0.384399346904285,0
0.1,0.01,12,0.5526638654340503,0.22264664762266478,0.3351822161381792,0
