model,domain,test_role,time,identity,identity_index,is_native_hidden_location,stored_quantity,net_internal_transfer,estimated_other,native_other_revealed,absolute_recovery_error
Damped coupled oscillators,Newton/Hamilton mechanics,Development,0.01,oscillator 1,0,False,0.5000521104346243,0.010384762467932799,-4.980267899468149e-10,0.0,4.980267899468149e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,0.01,coupling spring,1,False,0.25147693367192275,-0.4565371552744021,1.0084127977094681e-09,0.0,1.0084127977094681e-09
Damped coupled oscillators,Newton/Hamilton mechanics,Development,0.01,oscillator 2,2,True,0.26878164185713144,0.4461523928064693,-0.0692590217154545,-0.069259021240212,4.752425120102544e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,0.17500000000000002,oscillator 1,0,False,0.5137974934324446,0.14311028721183613,-6.677421116041415e-10,0.0,6.677421116041415e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,0.17500000000000002,coupling spring,1,False,0.16848342944198205,-0.5264862453809076,1.124017767750729e-09,0.0,1.124017767750729e-09
Damped coupled oscillators,Newton/Hamilton mechanics,Development,0.17500000000000002,oscillator 2,2,True,0.32591320209026986,0.38337595816907144,-0.07633093992012996,-0.0763309395263601,3.9376986393779845e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,0.34,oscillator 1,0,False,0.5423449242857492,0.18692532372019785,-6.601739155343012e-10,0.0,6.601739155343012e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,0.34,coupling spring,1,False,0.08546088956876494,-0.457284733706283,9.350444307720807e-10,0.0,9.350444307720807e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,0.34,oscillator 2,2,True,0.3677903847123824,0.2703594099860851,-0.07483825026753338,-0.07483825006941751,1.9811587093077065e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,0.505,oscillator 1,0,False,0.5702610118715805,0.13658062626909948,-4.867688474519127e-10,0.0,4.867688474519127e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,0.505,coupling spring,1,False,0.024142367494236327,-0.2698336580071928,4.984409551767044e-10,0.0,4.984409551767044e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,0.505,oscillator 2,2,True,0.3895931516038736,0.1332530317380933,-0.06435501467705311,-0.06435501473779799,6.074488134721889e-11
Damped coupled oscillators,Newton/Hamilton mechanics,Development,0.675,oscillator 1,0,False,0.5832070236788426,0.00491400772446876,-1.909464981963982e-10,0.0,1.909464981963982e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,0.675,coupling spring,1,False,2.1426641048941165e-05,-0.008279680415984363,-8.043065866103483e-11,0.0,8.043065866103483e-11
Damped coupled oscillators,Newton/Hamilton mechanics,Development,0.675,oscillator 2,2,True,0.3912877460638652,0.0033656726915156023,-0.04625915696300921,-0.046259157282153435,3.191442249361742e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,0.84,oscillator 1,0,False,0.5703003135459341,-0.16470395691004652,1.2910747471117645e-10,0.0,1.2910747471117645e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,0.84,coupling spring,1,False,0.019805346241802513,0.2413662733843737,-6.096848303993596e-10,0.0,6.096848303993596e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,0.84,oscillator 2,2,True,0.3784526346574595,-0.07666231647432717,-0.02596506903492657,-0.025965069524786222,4.898596528413179e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,1.0050000000000001,oscillator 1,0,False,0.5289335164436652,-0.333014782681536,3.981664442598287e-10,0.0,3.981664442598287e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,1.0050000000000001,coupling spring,1,False,0.07571535471508292,0.4197715020984967,-9.634293918203696e-10,0.0,9.634293918203696e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,1.0050000000000001,oscillator 2,2,True,0.361132561053408,-0.08675671941696066,-0.008698218401319235,-0.008698218932311411,5.309921755763947e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,1.175,oscillator 1,0,False,0.4603077162537955,-0.4644053558333558,5.541699321653937e-10,0.0,5.541699321653937e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,1.175,coupling spring,1,False,0.15422552634805747,0.4807350933644369,-1.0483893198021121e-09,0.0,1.0483893198021121e-09
Damped coupled oscillators,Newton/Hamilton mechanics,Development,1.175,oscillator 2,2,True,0.350667821097618,-0.01632973753108113,-0.00015128957055706924,-0.0001512899922469213,4.2168985206372626e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,1.34,oscillator 1,0,False,0.37768758119028045,-0.5247719201933059,5.571897387923741e-10,0.0,5.571897387923741e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,1.34,coupling spring,1,False,0.2292036380581192,0.4071288153732349,-8.430340869836073e-10,0.0,8.430340869836073e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,1.34,oscillator 2,2,True,0.35806317576496866,0.11764310482007094,-0.005283472922787524,-0.005283473116021052,1.932335272694652e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,1.5050000000000001,oscillator 1,0,False,0.291237870853697,-0.5111234115306992,4.2416936629763313e-10,0.0,4.2416936629763313e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,1.5050000000000001,coupling spring,1,False,0.2825624682061995,0.22512212723890873,-4.160844446765566e-10,0.0,4.160844446765566e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,1.5050000000000001,oscillator 2,2,True,0.3888305840153921,0.28600128429179045,-0.0253296708226739,-0.025329670725149064,9.752483542957435e-11
Damped coupled oscillators,Newton/Hamilton mechanics,Development,1.675,oscillator 1,0,False,0.21038129589528692,-0.43072861552140423,1.9271884088567504e-10,0.0,1.9271884088567504e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,1.675,coupling spring,1,False,0.3002035517497177,-0.022051792598562214,1.2843864860556664e-10,0.0,1.2843864860556664e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,1.675,oscillator 2,2,True,0.44498224934540176,0.45278040811996645,-0.05975406880825895,-0.059754068426104694,3.821542596260663e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,1.84,oscillator 1,0,False,0.1486892767224856,-0.31305831782479465,-5.608935538248261e-11,0.0,5.608935538248261e-11
Damped coupled oscillators,Newton/Hamilton mechanics,Development,1.84,coupling spring,1,False,0.2769013338663328,-0.25342547011900696,6.101938954117259e-10,0.0,6.101938954117259e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,1.84,oscillator 2,2,True,0.5167452186525733,0.5664837879438016,-0.10140467523470609,-0.1014046746659256,5.687804810472485e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,2.005,oscillator 1,0,False,0.10753708407440016,-0.1868482132694769,-2.607232207907373e-10,0.0,2.607232207907373e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,2.005,coupling spring,1,False,0.22045229412293038,-0.4149694260790423,9.161177372263296e-10,0.0,9.161177372263296e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,2.005,oscillator 2,2,True,0.594074220426495,0.6018176393485192,-0.14375509892989835,-0.14375509831411765,6.157807042050933e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,2.1750000000000003,oscillator 1,0,False,0.08555489829965665,-0.07727227009619592,-3.7237476990803486e-10,0.0,3.7237476990803486e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,2.1750000000000003,coupling spring,1,False,0.14375606187097562,-0.4658458523594717,9.658767674558533e-10,0.0,9.658767674558533e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,2.1750000000000003,oscillator 2,2,True,0.6651003866642179,0.5431181224556676,-0.17954382614298592,-0.1795438256398215,5.031644267905477e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,2.34,oscillator 1,0,False,0.07897441206888256,-0.009762956955974178,-3.6353116870946334e-10,0.0,3.6353116870946334e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,2.34,coupling spring,1,False,0.07130309977937808,-0.3933797520037361,7.501321230840574e-10,0.0,7.501321230840574e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,2.34,oscillator 2,2,True,0.7126275179911249,0.40314270895971027,-0.1994422948546626,-0.19944229459022872,2.6443389145036633e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,2.505,oscillator 1,0,False,0.0798963262355431,0.01387504904123172,-2.5237196360494707e-10,0.0,2.5237196360494707e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,2.505,coupling spring,1,False,0.019309702645313207,-0.22415812429791676,3.395893566349173e-10,0.0,3.395893566349173e-10
Damped coupled oscillators,Newton/Hamilton mechanics,Development,2.505,oscillator 2,2,True,0.7304396886589223,0.21028307525668505,-0.200373879259838,-0.20037387930141784,4.157985067365644e-11
