derivative_fraction,derivative_window_samples,half_life_fraction,half_life_samples,replicates,median_correlation,median_nrmse,selection_objective,selected
0.005,19,0.0,0,8,0.013413291442675113,18.078525466517938,18.32528011270928,0
0.005,19,0.0005,2,8,0.02547676596738478,9.649035300632324,9.89281766503115,0
0.005,19,0.001,4,8,0.04278015858575648,5.845402483705546,6.085069340326983,0
0.005,19,0.002,7,8,0.07091177650623509,3.626536299672127,3.8591429416982685,0
0.005,19,0.005,18,8,0.16406556399649608,1.5916080669509283,1.7960471904447644,0
0.005,19,0.01,36,8,0.23813928485359342,1.1948644700133255,1.3853296487999271,0
0.005,19,0.02,72,8,0.19194955400703106,1.3657171455906476,1.56772975708889,0
0.005,19,0.04,143,8,0.2012365732683763,1.8330129647724327,2.032703821455339,0
0.01,37,0.0,0,8,0.035423968531719044,7.0771090115726025,7.319022863061125,0
0.01,37,0.0005,2,8,0.04906074299986787,5.140673620625121,5.379428099361302,0
0.01,37,0.001,4,8,0.06837901432662502,3.6758692389480165,3.909985257316739,0
0.01,37,0.002,7,8,0.10022703327365153,2.4668032867422145,2.692978845058871,0
0.01,37,0.005,18,8,0.21450561034876386,1.1009384057287948,1.2994310288980642,0
0.01,37,0.01,36,8,0.31698520067843106,0.6237345372666765,0.7847818749605364,0
0.01,37,0.02,71,8,0.33050674134095426,0.5334383845611126,0.6985147896851467,0
0.01,37,0.04,143,8,0.26314868537516223,0.6472698566019512,0.8245640810075361,0
0.02,73,0.0,0,8,0.10013452493178002,2.5556294079042203,2.7804920624158864,0
0.02,73,0.0005,2,8,0.1176392570857422,2.167107496074515,2.3877550360684383,0
0.02,73,0.001,4,8,0.13993587832071439,1.80408180752928,2.019192184365312,0
0.02,73,0.002,7,8,0.1785088991288304,1.3920446087226108,1.5975915855063954,0
0.02,73,0.005,18,8,0.31237278423217674,0.7051418038778204,0.878044523266918,0
0.02,73,0.01,35,8,0.43768957150573073,0.4207887153562069,0.5613185664702784,0
0.02,73,0.02,71,8,0.44560235638221296,0.30780939191303447,0.4444872860688929,0
0.02,73,0.04,141,8,0.2685004048498568,0.34208549883483286,0.5363278214144922,0
0.04,145,0.0,0,8,0.2866032173062417,0.9492553014537,1.1282216163648235,0
0.04,145,0.0005,2,8,0.3149526152698765,0.8545862128686514,1.0267702231522002,0
0.04,145,0.001,3,8,0.3273309538629814,0.8164253021089521,0.9856221578248369,0
0.04,145,0.002,7,8,0.3773223565360589,0.6827421052012694,0.8397969763572284,0
0.04,145,0.005,17,8,0.486507786346562,0.4636519529072255,0.593589219776898,0
0.04,145,0.01,35,8,0.5716284613566628,0.3042410175708491,0.41232620909019935,0
0.04,145,0.02,69,8,0.5627227474238927,0.24511001630442206,0.3537671909178767,1
0.04,145,0.04,138,8,0.4440424131147538,0.2438394874857927,0.3848794950174409,0
0.08,289,0.0,0,8,0.32589228043777235,0.6592667720615852,0.8275899781804255,0
0.08,289,0.0005,2,8,0.3269368860594519,0.620867737731116,0.7891639334180462,0
0.08,289,0.001,3,8,0.3193045963547478,0.6172934622241975,0.7875381748988168,0
0.08,289,0.002,7,8,0.2851501489657492,0.6088178584494721,0.7876541408863258,0
0.08,289,0.005,17,8,0.20103497440585213,0.587249428319786,0.7875666277369296,0
0.08,289,0.01,33,8,0.0899949307152947,0.542283999647099,0.772042981819292,0
0.08,289,0.02,66,8,-0.028972811182931796,0.4506055068303364,0.7091503614506365,0
0.08,289,0.04,132,8,-0.011713967910590234,0.35207764460214563,0.6049196329592242,0
