model,snr_db,method,replicates,median_sign_accuracy,q05_sign_accuracy,q95_sign_accuracy,median_correlation,q05_correlation,q95_correlation,median_nrmse,q05_nrmse,q95_nrmse,median_integrated_error,q05_integrated_error,q95_integrated_error,median_declared_child_occupancy,q05_declared_child_occupancy,q95_declared_child_occupancy,median_switch_count,q05_switch_count,q95_switch_count
Damped coupled oscillators,24,compressed_parent,16,0.9600449293966624,0.9432766367137356,0.9894897304236201,0.7003733328597187,0.5981865472899623,0.7279653019197994,0.20239389072981173,0.19987072814069823,0.20891187039941173,0.6728533805942173,0.6591745663422484,0.6979935867771518,,,,-1.0,-1.0,-1.0
Damped coupled oscillators,24,fixed_child_no_memory,16,0.7416559691912709,0.7098844672657253,0.7605905006418485,0.637611119538353,0.6308489649408551,0.6495677729023257,0.2936346769670106,0.28770536022071797,0.29781697218240494,0.043402302390400646,0.032913517690154,0.0464035933607096,,,,-1.0,-1.0,-1.0
Damped coupled oscillators,24,fixed_time_lineage,16,0.9396662387676509,0.9143132220795892,0.9619704749679077,0.34968350897381295,0.31733604284509515,0.3623136095220508,0.23053815858366122,0.22859030787953327,0.23308992101302217,0.05424590330470547,0.004262705657234198,0.07888655488715292,1.0,1.0,1.0,0.0,0.0,0.0
Damped coupled oscillators,24,offline_centered_child,16,0.8886392811296534,0.8817394094993581,0.8947368421052632,0.8265749214196025,0.8203063423680518,0.8311791061233739,0.14020467207482273,0.13815925740336954,0.14322958421867893,0.01991988951107995,0.018047985815738667,0.021857451153283292,1.0,1.0,1.0,0.0,0.0,0.0
Damped coupled oscillators,24,repeated_parent_reselection,16,0.7220795892169447,0.6875802310654685,0.7468709884467266,0.20684099426488645,0.1902304319171903,0.22708792906499103,0.3328291406973255,0.3270990292682977,0.34358462613129864,0.6323675717052242,0.5829803537160039,0.714480134035065,0.2717410171845166,0.22630619684082623,0.30263843082798125,18.5,13.75,28.0
Damped coupled oscillators,24,wrong_fixed_child,16,0.5699614890885751,0.5421213093709885,0.5899390243902438,0.138745747132889,0.12741754507966535,0.15822638217249582,0.2651270387774032,0.26343528754222967,0.2675725260226255,0.8255208790113078,0.7962324632408377,0.8458793068561512,,,,-1.0,-1.0,-1.0
Damped coupled oscillators,24,zero_other,16,0.0,0.0,0.0,0.0,0.0,0.0,0.2556953423179962,0.2556953423179962,0.2556953423179962,1.0,1.0,1.0,,,,-1.0,-1.0,-1.0
Damped coupled oscillators,18,compressed_parent,16,0.9393453145057766,0.9159980744544287,0.9792201540436457,0.6782865660066502,0.5597129776886532,0.7256018765052549,0.20284514406152185,0.19654400886144568,0.21066131815817907,0.6713456851164484,0.6379250675591952,0.6997698835247704,,,,-1.0,-1.0,-1.0
Damped coupled oscillators,18,fixed_child_no_memory,16,0.7177471116816432,0.6979300385109114,0.7503209242618741,0.5681308948208064,0.5476406465304458,0.5837372289770795,0.35748493662646463,0.34263604108261725,0.3726548371525501,0.03976256932941345,0.024811919285247827,0.05675935954696738,,,,-1.0,-1.0,-1.0
Damped coupled oscillators,18,fixed_time_lineage,16,0.9074133504492939,0.8740372272143775,0.9428754813863928,0.35062967006360146,0.30095313119997313,0.3730649046398184,0.23285080400344674,0.23020786220179362,0.24054484543788046,0.057695521940577095,0.012411510593282046,0.10755078427547068,1.0,1.0,1.0,0.0,0.0,0.0
Damped coupled oscillators,18,offline_centered_child,16,0.8501283697047497,0.840099486521181,0.8610397946084725,0.7866286164950093,0.7824394737301488,0.7990542607160784,0.16205026294132382,0.15811305325849298,0.16494276698124322,0.020451843176699028,0.014211363955296433,0.024593780896587304,1.0,1.0,1.0,0.0,0.0,0.0
