salt,source,event_count_in_window,effective_delayed_weight,effective_sample_size,binned_mode_ara,kde_mode_ara,binned_mode_in_candidate_band,kde_mode_in_candidate_band
400,C,91,8.98271115102617,90.99845448303059,1.875,1.729,False,False
400,AC,62,6.124394169658741,61.99902283993081,0.375,0.372,False,False
401,C,49,4.812915280871948,48.99960787065574,1.125,1.2550000000000001,False,True
401,AC,45,4.421954119332767,44.9995754291497,1.875,1.7910000000000001,False,False
402,C,18,1.5405295450530805,17.999999999999996,0.875,0.759,False,False
402,AC,9,0.7702647725265402,8.999999999999998,1.125,1.124,False,False
403,C,56,5.8117641955144075,55.999424411218676,1.875,0.6980000000000001,False,False
403,AC,31,3.2170718081735648,30.999687479862136,1.875,1.701,False,False
404,C,40,3.0629833701534523,39.99999999999999,1.875,0.717,False,False
404,AC,23,1.7612154378382345,23.00000000000001,1.875,1.846,False,False
405,C,43,4.110432562179224,42.99953272717574,1.625,1.581,False,False
405,AC,28,2.6776047052195837,27.999545295358576,1.625,1.684,False,False
406,C,39,3.6111376197655423,39.00000000000004,1.875,0.876,False,False
406,AC,21,1.94445871833529,21.000000000000004,1.875,1.9080000000000001,False,False
407,C,22,2.004809199874606,21.999999999999993,0.875,0.834,False,False
407,AC,14,1.2757876726474768,13.999999999999995,1.375,1.333,True,True
408,C,62,5.496003699025643,61.999735402569996,0.625,0.6880000000000001,False,False
408,AC,53,4.697142552616705,52.99975367326194,1.625,1.688,False,False
409,C,25,1.322033611598779,24.999999999999996,0.375,0.612,False,False
409,AC,8,0.4230507557116093,8.0,0.125,0.6940000000000001,False,False
410,C,59,6.567835251710374,58.999309813681876,0.875,0.812,False,False
410,AC,43,4.788730543029333,42.999441628136594,1.625,1.75,False,False
411,C,55,4.163332877156556,54.9999984453127,0.875,0.858,False,False
411,AC,25,1.8924596986051936,24.999998991484468,0.125,0.986,False,False
412,C,36,3.1734653767682603,36.00000000000001,0.875,1.352,False,True
412,AC,16,1.4104290563414483,16.0,0.875,0.738,False,False
413,C,29,2.7686253986462894,29.000000000000004,1.625,0.733,False,False
413,AC,17,1.622987302654721,17.0,1.875,0.84,False,False
414,C,28,2.499753017344673,27.999999999999986,0.625,1.313,False,True
414,AC,17,1.5177071891021234,17.0,0.875,0.442,False,False
415,C,26,1.6348618343099237,25.999999999999993,0.625,0.624,False,False
415,AC,8,0.5030344105568995,8.0,1.625,1.602,False,False
416,C,71,8.848210984222339,70.99959099688692,1.625,0.626,False,False
416,AC,58,7.234688571602594,57.99962783338061,1.625,1.6400000000000001,False,False
417,C,116,11.235414609529629,115.64302064858467,0.625,0.538,False,False
417,AC,82,7.915583512592085,81.72009851590668,1.875,1.7690000000000001,False,False
418,C,30,2.1970769051634895,30.000000000000007,0.875,0.764,False,False
418,AC,15,1.0985384525817445,14.999999999999998,1.875,1.506,False,False
419,C,82,7.153141933530217,81.9984303686369,0.625,0.679,False,False
419,AC,51,4.438295395840627,50.99875131649681,1.875,1.7910000000000001,False,False
420,C,74,6.097446081268501,73.99841730123224,0.625,0.785,False,False
420,AC,48,3.9528243166493064,47.99887468944667,1.125,1.235,False,False
421,C,108,11.291487005630444,107.99790739546506,0.625,0.53,False,False
421,AC,56,5.850267321068349,55.99883590162945,1.625,1.669,False,False
422,C,32,2.956302763479334,32.0,1.875,0.7020000000000001,False,False
422,AC,14,1.2933824590222094,14.000000000000004,1.375,1.419,True,True
424,C,55,6.5512097896021,54.9969116743351,1.625,0.683,False,False
424,AC,33,3.936295712987728,32.99751562497934,1.875,1.5210000000000001,False,False
425,C,59,4.560998195681297,58.99999445088611,0.875,0.538,False,False
425,AC,29,2.241885526870422,28.99999774216314,1.625,0.78,False,False
426,C,81,7.909882747387,80.99982225470724,1.625,1.722,False,False
426,AC,45,4.394147822358488,44.99989967228417,1.125,1.125,False,False
427,C,71,7.425342247335835,70.99993161018995,0.625,0.716,False,False
427,AC,40,4.1843712584899775,39.99995432310796,1.625,1.724,False,False
430,C,57,6.8333041537748365,56.99939213121135,1.625,1.666,False,False
430,AC,50,5.995494973608519,49.99945217373368,1.625,1.613,False,False
431,C,89,9.05843461478353,88.9984131710723,0.625,0.648,False,False
431,AC,54,5.4934795623878765,53.99898997452724,0.375,0.382,False,False
432,C,50,4.514061342730136,49.99966672919792,0.375,0.292,False,False
432,AC,35,3.1578949025350767,34.9998954765074,1.625,1.492,False,True
433,C,122,11.97502359135477,121.3904319967363,0.625,0.582,False,False
433,AC,84,8.185657109906836,83.5107360773857,1.375,1.319,True,True
434,C,44,4.360032079868729,44.00000000000001,0.375,0.783,False,False
434,AC,28,2.774565869007373,27.999999999999993,1.625,1.731,False,False
435,C,29,2.0876997305117304,29.00000000000001,0.875,0.8250000000000001,False,False
435,AC,11,0.7918861046768627,11.000000000000002,0.625,0.579,False,False
436,C,51,6.005946368136572,50.99883860404715,0.625,0.616,False,False
436,AC,42,4.949986827634542,41.99882893085495,0.625,1.352,False,True
