source,bin_center,mean_occupancy,occupancy_sd,occupancy_cv,binned_mode_fraction,kde_mode_fraction_in_bin,is_candidate_band
C,0.125,0.09596682292060196,0.039661855633491706,0.4132871593165681,0.024390243902439025,0.006097560975609756,False
C,0.375,0.11693281342897723,0.03982344893309484,0.34056692698395435,0.054878048780487805,0.04878048780487805,False
C,0.625,0.15783281780733002,0.03969354901391879,0.25149110030065847,0.3231707317073171,0.4329268292682927,False
C,0.875,0.1409675862384174,0.04824012573348733,0.342207219551161,0.18292682926829268,0.2073170731707317,False
C,1.125,0.11545141151174561,0.043052608550258095,0.3729067318148646,0.09146341463414634,0.036585365853658534,False
C,1.375,0.11861415469032918,0.041691566945053604,0.35148896903493076,0.07926829268292683,0.10365853658536585,True
C,1.625,0.12391771284827482,0.039422874866984765,0.3181375282099843,0.10975609756097561,0.11585365853658537,False
C,1.875,0.1303166805543236,0.04440354979294103,0.3407357339372302,0.13414634146341464,0.04878048780487805,False
AC,0.125,0.09797247189219845,0.051709744297154116,0.527798710172911,0.04878048780487805,0.012195121951219513,False
AC,0.375,0.09217248830857976,0.051707925602168435,0.5609908829742993,0.042682926829268296,0.036585365853658534,False
AC,0.625,0.1256629827975498,0.05151058739213269,0.40991058978059725,0.07317073170731707,0.06707317073170732,False
AC,0.875,0.12566845297818777,0.05773772390171599,0.45944485297147336,0.10365853658536585,0.12804878048780488,False
AC,1.125,0.12940199458241594,0.059076675822378716,0.45653605273257875,0.12804878048780488,0.13414634146341464,False
AC,1.375,0.13183440751565922,0.06054228875366836,0.4592298011919019,0.12804878048780488,0.21341463414634146,True
AC,1.625,0.14677039110817422,0.06377168936933998,0.4344996895343715,0.21341463414634146,0.23780487804878048,False
AC,1.875,0.1505168108172347,0.07251581068842931,0.48177881457029914,0.2621951219512195,0.17073170731707318,False
