source,lower_center,reflected_upper_center,spearman_rho_clr_across_splits,negative_exchange_contribution
C,0.125,1.875,-0.1465292849763544,0.1465292849763544
C,0.375,1.625,0.009269108865098689,-0.009269108865098689
C,0.625,1.375,0.0034687742304082268,-0.0034687742304082268
C,0.875,1.125,-0.05301375266959585,0.05301375266959585
AC,0.125,1.875,0.012008801194375638,-0.012008801194375638
AC,0.375,1.625,-0.11679878660528785,0.11679878660528785
AC,0.625,1.375,0.15305048086732959,-0.15305048086732959
AC,0.875,1.125,0.15395811752642724,-0.15395811752642724
