salt,source,bin_low,bin_high,bin_center,effective_delayed_weight,proportion_of_split_weight,is_binned_mode,is_candidate_band
400,C,0.0,0.25,0.125,1.2879279896005518,0.14337853772058795,False,False
400,C,0.25,0.5,0.375,0.6934996867079899,0.07720382800339358,False,False
400,C,0.5,0.75,0.625,1.2879279896005498,0.14337853772058773,False,False
400,C,0.75,1.0,0.875,1.089785221969696,0.12132030114818963,False,False
400,C,1.0,1.25,1.125,0.7917514511189729,0.08814170218848956,False,False
400,C,1.25,1.5,1.375,0.7860141152878768,0.08750299348076931,False,True
400,C,1.5,1.75,1.625,1.473776466164769,0.16406811277644248,False,False
400,C,1.75,2.0,1.875,1.5720282305757634,0.17500598696153974,True,False
400,AC,0.0,0.25,0.125,0.5944283028925623,0.09705911906151603,False,False
400,AC,0.25,0.5,0.375,1.089785221969698,0.1779417182794461,True,False
400,AC,0.5,0.75,0.625,0.7925710705234159,0.12941215874868794,False,False
400,AC,0.75,1.0,0.875,0.6934996867079883,0.11323563890510187,False,False
400,AC,1.0,1.25,1.125,0.7925710705234152,0.12941215874868783,False,False
400,AC,1.25,1.5,1.375,0.8842658796988614,0.1443842207413201,False,True
400,AC,1.5,1.75,1.625,0.8842658796988614,0.1443842207413201,False,False
400,AC,1.75,2.0,1.875,0.3930070576439384,0.06417076477392004,False,False
401,C,0.0,0.25,0.125,0.2942197888452446,0.061131304349895235,False,False
401,C,0.25,0.5,0.375,0.6865128406389042,0.14263971014975557,False,False
401,C,0.5,0.75,0.625,0.4903663147420745,0.10188550724982544,False,False
401,C,0.75,1.0,0.875,0.5884395776904892,0.12226260869979047,False,False
401,C,1.0,1.25,1.125,0.7845861035873192,0.1630168115997207,True,False
401,C,1.25,1.5,1.375,0.6865128406389043,0.1426397101497556,False,True
401,C,1.5,1.75,1.625,0.6898425662750953,0.1433315414914425,False,False
401,C,1.75,2.0,1.875,0.592435248453917,0.12309280630981448,False,False
401,AC,0.0,0.25,0.125,0.3922930517936594,0.08871486252617494,False,False
401,AC,0.25,0.5,0.375,0.39229305179365953,0.08871486252617497,False,False
401,AC,0.5,0.75,0.625,0.4903663147420745,0.11089357815771872,False,False
401,AC,0.75,1.0,0.875,0.5884395776904894,0.13307229378926247,False,False
401,AC,1.0,1.25,1.125,0.39229305179365936,0.08871486252617493,False,False
401,AC,1.25,1.5,1.375,0.6865128406389043,0.15525100942080622,False,True
401,AC,1.5,1.75,1.625,0.49236415012378965,0.11134537736861072,False,False
401,AC,1.75,2.0,1.875,0.9873920807565311,0.22329315368507704,True,False
402,C,0.0,0.25,0.125,0.1711699494503423,0.11111111111111113,False,False
402,C,0.25,0.5,0.375,0.25675492417551343,0.16666666666666669,False,False
402,C,0.5,0.75,0.625,0.2567549241755134,0.16666666666666663,False,False
