salt,fit_success,left_time_us,crest_time_us,right_time_us,population_local_crest,population_local_mean,valid
400,True,0.568857971327256,0.7855,1.3828086704815923,0.7063064837018814,1.0925127777611845,True
401,True,0.62184869956391,0.7855,1.1142334573678674,0.8496564971154434,1.1104954506651297,True
402,True,0.7003521825175062,0.7855,0.8959732331927139,1.0348876082427962,1.1038216169601716,True
403,True,0.616474450541513,0.7855,1.1363281583024223,0.834411440220271,1.114221968895639,True
404,True,0.6706597848863334,0.7855,0.9584656576422709,0.9803821405671475,1.124072655265037,True
405,True,0.6455349638652513,0.7855,1.0291378904916704,0.9161705078351534,1.119688066679177,True
406,True,0.6731177226200221,0.7855,0.9525882524362392,0.9857770532443295,1.1173157159857054,True
407,True,0.6820711720518737,0.7855,0.9321820126799975,1.0045308239984272,1.1217594819539367,True
408,True,0.6048764848633573,0.7855,1.1878229218381209,0.8017252998865315,1.102149024345655,True
409,True,0.7229268658082718,0.7855,0.85907278706725,1.057813896977887,1.085360857438991,True
410,True,0.6053254043696414,0.7855,1.18570128743246,0.8030057444782822,1.104447736781365,True
411,True,0.6444426499281383,0.7855,1.0326973644971804,0.9130974398023652,1.1119902224023124,True
412,True,0.693794311918129,0.7855,0.9082559607710162,1.0251212055268428,1.1059970528216136,True
413,True,0.6764769511487297,0.7855,0.9446711206516909,0.993161011016894,1.116834551443748,True
414,True,0.686007507620121,0.7855,0.9237799985892419,1.0120570017941801,1.120086430645436,True
415,True,0.7104240370220538,0.7855,0.8785824416395236,1.0471034571206437,1.082898261399762,True
416,True,0.5801072944946838,0.7855,1.3159514551244218,0.7348073513482943,1.096452987079119,True
417,True,0.5402656604166466,0.7855,1.578480452008322,0.6403803483478678,1.0822064145787027,True
418,True,0.6734007152311886,0.7855,0.9519110723577158,0.9864087287018779,1.1182615636988538,True
419,True,0.5887556184427352,0.7855,1.2683842857888907,0.7575309752079844,1.0983350018956493,True
420,True,0.5957201620192735,0.7855,1.2322431315622737,0.7764064414136348,1.1066016215700363,True
421,True,0.5563749976116937,0.7855,1.463572370556303,0.6763642490473608,1.0904818695194851,True
422,True,0.6867132616366504,0.7855,0.922348769991032,1.01325351501542,1.1219462828037168,True
424,True,0.6288072201126615,0.7855,1.0872019720164914,0.8694061147939036,1.1115986585496342,True
425,True,0.6364749238657531,0.7855,1.0594098212573395,0.891034530490738,1.114734577164238,True
426,True,0.5935804275114143,0.7855,1.2431856993891197,0.7705238407373922,1.1003493938716646,True
427,True,0.6016333297434674,0.7855,1.2032060086318461,0.7926645785793749,1.106040575943516,True
430,True,0.593066437487475,0.7855,1.2458289830500462,0.769125763991179,1.1038189850022073,True
431,True,0.5636819027128263,0.7855,1.4154550699771213,0.6936640739907011,1.088702908728827,True
432,True,0.636873315685493,0.7855,1.058039449345908,0.8921277180579975,1.1165371714050658,True
433,True,0.5268255404014641,0.7855,1.6840486390131355,0.6125328596582325,1.0807499932179445,True
434,True,0.6532090563861875,0.7855,1.0056669929681488,0.9366838843625783,1.121335278144706,True
435,True,0.7013227299468181,0.7855,0.8942632990041695,1.0360936618459433,1.1110707816204177,True
436,True,0.6087181156348829,0.7855,1.1702197795844185,0.8124605443596392,1.1018293089607791,True
437,True,0.6137886194835045,0.7855,1.1478153456044498,0.8267761173349912,1.1066405380599458,True
438,True,0.6413128917446541,0.7855,1.0429288470872242,0.9045025820113066,1.1192405516264146,True
439,True,0.6698631948715106,0.7855,0.9604610415638472,0.9784739256521243,1.1026564087911819,True
440,True,0.6488122351965133,0.7855,1.0189369262263348,0.9249416271424826,1.111463174492554,True
442,True,0.6673491000428885,0.7855,0.9668218440307553,0.972471116221865,1.1226099556041704,True
443,True,0.6411399699142649,0.7855,1.0434949272626386,0.9040373826890942,1.1184785937924957,True
444,True,0.57921947119367,0.7855,1.321060761401483,0.7324885757398857,1.0971845972661969,True
446,True,0.5547313391673458,0.7855,1.474732560339038,0.6725586604231012,1.0857124015404755,True
447,True,0.6708573359098091,0.7855,0.957993610193354,0.9808092943992119,1.1247390658552552,True
448,True,0.6102132841462601,0.7855,1.1634454785737673,0.8167338253019518,1.1021031586833434,True
450,True,0.5647841566110121,0.7855,1.4083664832495661,0.6963478222788674,1.089719001403206,True
452,True,0.6417195078941131,0.7855,1.041597740767715,0.9055998363133472,1.1210391866850522,True
453,True,0.6112102672357976,0.7855,1.1590437525483985,0.8195238048089132,1.1088087450636688,True
454,True,0.6140526301774273,0.7855,1.1466687386865886,0.8275305744253442,1.1079625024941953,True
455,True,0.6294299520373092,0.7855,1.0848471482717867,0.871194368590261,1.1055479681286706,True
456,True,0.6388576249703547,0.7855,1.0512213924212261,0.8976498064343948,1.1156404968383118,True
457,True,0.5893115043619265,0.7855,1.2654134784742026,0.7590295885583506,1.0953356448620877,True
458,True,0.6953864628972948,0.7855,0.9051556756880162,1.0277405763457605,1.0889084021174698,True
459,True,0.6232387645992241,0.7855,1.1087076819666717,0.8535875662018028,1.1088414091585075,True
460,True,0.584988928380458,0.7855,1.2886867289347081,0.7475625426059072,1.0951313367141182,True
462,True,0.6658599779073964,0.7855,0.9705875130776572,0.9690036384179265,1.1311697830822238,True
463,True,0.6472430809763623,0.7855,1.0238187894759647,0.9206956970158421,1.1159829080272274,True
464,True,0.6773625952154116,0.7855,0.9426658702781923,0.9949773434862509,1.1195795593541018,True
465,True,0.6650520673852973,0.7855,0.9726927799017074,0.9670334450202537,1.1106753005815522,True
466,True,0.5841814732295237,0.7855,1.2931634708329711,0.7454125831116579,1.0965654716777353,True
467,True,0.5531389562198684,0.7855,1.4857071598636642,0.6688846511114235,1.0900453619207322,True
468,True,0.6404492649742297,0.7855,1.0457640182881525,0.9021775479645147,1.1127886852924607,True
470,True,0.6292876828981321,0.7855,1.085384155716449,0.8707847000112584,1.1048740863920163,True
471,True,0.6026117544794585,0.7855,1.198553108660555,0.7953634386206851,1.1042828784471965,True
474,True,0.6166599486503307,0.7855,1.135554079749939,0.8349292389634693,1.115136815531789,True
475,True,0.6087078532133651,0.7855,1.1702663098780317,0.8124314634588198,1.1017777964909254,True
476,True,0.635663458396098,0.7855,1.062204236060438,0.8888243051015601,1.1207966367702982,True
479,True,0.6415958887695047,0.7855,1.0420024226727436,0.9052657492566508,1.1204913342187939,True
480,True,0.6962470035207152,0.7855,0.903564210900305,1.0289580201097988,1.1167447601917329,True
481,True,0.6650099231404644,0.7855,0.9728052685836119,0.9669258214715601,1.110517260114822,True
482,True,0.55551289807946,0.7855,1.469369572399224,0.6743810358754608,1.0903979993679096,True
483,True,0.6953819665975008,0.7855,0.9051645259344313,1.0277326439411427,1.0888985088519558,True
