independent_domains,matched_decoys_per_domain,null_top_rank_rate,critical_top_rank_wins,actual_alpha,power_if_true_rate_0_30,power_if_true_rate_0_40,power_if_true_rate_0_50
10,9,0.1,4,0.012795198400000004,0.3503892815999998,0.6177193984,0.828125
12,9,0.1,4,0.02563747016500001,0.5074842265649997,0.77466271744,0.927001953125
15,9,0.1,5,0.012720483641251007,0.48450894077315665,0.782722294349824,0.940765380859375
20,9,0.1,5,0.04317449528446341,0.7624922211223976,0.9490480468058334,0.9940910339355469
