model,params_m,step,lambada_acc,lambada_ppl,arc_easy,arc_challenge,piqa,sciq,winogrande,wsc
pythia-6.9b-deduped,6900,0,0.0,8099775.50237831,0.25336700336700335,0.23378839590443687,0.5418933623503809,0.203,0.4861878453038674,0.36538461538461536
pythia-6.9b-deduped,6900,1,0.0,8099775.50237831,0.25336700336700335,0.23378839590443687,0.5418933623503809,0.203,0.4861878453038674,0.36538461538461536
pythia-6.9b-deduped,6900,2,0.0,8095331.315950896,0.25462962962962965,0.23378839590443687,0.5413492927094669,0.203,0.48855564325177586,0.36538461538461536
pythia-6.9b-deduped,6900,4,0.0,7999089.348219215,0.25673400673400676,0.22610921501706485,0.543525571273123,0.206,0.4909234411996843,0.36538461538461536
pythia-6.9b-deduped,6900,8,0.0,14927418.952704012,0.26262626262626265,0.20819112627986347,0.5380848748639826,0.206,0.4956590370955012,0.36538461538461536
pythia-6.9b-deduped,6900,16,0.0,9959261.993128017,0.2680976430976431,0.2090443686006826,0.5331882480957563,0.192,0.494869771112865,0.36538461538461536
pythia-6.9b-deduped,6900,32,0.0,8173172.814851572,0.25715488215488214,0.189419795221843,0.5321001088139282,0.19,0.4877663772691397,0.6346153846153846
pythia-6.9b-deduped,6900,64,0.0,4064791.1906458344,0.25925925925925924,0.19880546075085323,0.5244831338411317,0.204,0.47592738752959746,0.6346153846153846
pythia-6.9b-deduped,6900,128,0.0,2700062.658483277,0.26304713804713803,0.20563139931740615,0.5266594124047879,0.19,0.500394632991318,0.6346153846153846
pythia-6.9b-deduped,6900,256,0.0,726368.3339066732,0.2748316498316498,0.20819112627986347,0.5364526659412405,0.214,0.5122336227308603,0.6346153846153846
pythia-6.9b-deduped,6900,512,0.0,170991.08883572184,0.2769360269360269,0.17491467576791808,0.5348204570184983,0.248,0.5201262825572218,0.6346153846153846
pythia-6.9b-deduped,6900,1000,0.03202018241800893,6010.136942605703,0.30134680134680136,0.18686006825938567,0.5478781284004353,0.41,0.5059194948697711,0.36538461538461536
