model,params_m,step,lambada_acc,lambada_ppl,arc_easy,arc_challenge,piqa,sciq,winogrande,wsc
pythia-410m-deduped,410,0,0.0,3617040.8184620007,0.25126262626262624,0.22610921501706485,0.5348204570184983,0.205,0.5067087608524072,0.6346153846153846
pythia-410m-deduped,410,1,0.0,3617040.8184620007,0.25126262626262624,0.22610921501706485,0.5348204570184983,0.205,0.5067087608524072,0.6346153846153846
pythia-410m-deduped,410,2,0.0,3616646.004874373,0.25126262626262624,0.22696245733788395,0.5348204570184983,0.206,0.5019731649565904,0.6346153846153846
pythia-410m-deduped,410,4,0.0,3597063.7899308046,0.25757575757575757,0.22866894197952217,0.5353645266594124,0.213,0.5035516969218626,0.6346153846153846
pythia-410m-deduped,410,8,0.0,3530574.778693939,0.2588383838383838,0.21928327645051193,0.5353645266594124,0.196,0.5043409629044988,0.6346153846153846
pythia-410m-deduped,410,16,0.0,3615533.08192367,0.25673400673400676,0.2226962457337884,0.529379760609358,0.215,0.5146014206787688,0.6346153846153846
pythia-410m-deduped,410,32,0.0,3480431.2684348854,0.2474747474747475,0.2175767918088737,0.529923830250272,0.214,0.494869771112865,0.6346153846153846
pythia-410m-deduped,410,64,0.0,2959541.420820755,0.24915824915824916,0.2150170648464164,0.5184983677910773,0.195,0.5035516969218626,0.6346153846153846
pythia-410m-deduped,410,128,0.0,1717828.786475749,0.26430976430976433,0.20819112627986347,0.5321001088139282,0.212,0.4996053670086819,0.6346153846153846
pythia-410m-deduped,410,256,0.0,839458.9096408729,0.26557239057239057,0.18686006825938567,0.5342763873775843,0.205,0.4988161010260458,0.6346153846153846
pythia-410m-deduped,410,512,0.0,173705.9272356849,0.27525252525252525,0.17918088737201365,0.5364526659412405,0.24,0.5193370165745856,0.625
