model,params_m,step,lambada_acc,lambada_ppl,arc_easy,arc_challenge,piqa,sciq,winogrande,wsc
pythia-1b-deduped,1000,0,0.0,3555024.67491499,0.2558922558922559,0.2158703071672355,0.5266594124047879,0.22,0.4877663772691397,0.6346153846153846
pythia-1b-deduped,1000,1,0.0,3555024.67491499,0.2558922558922559,0.2158703071672355,0.5266594124047879,0.22,0.4877663772691397,0.6346153846153846
pythia-1b-deduped,1000,2,0.0,3554286.349237894,0.25462962962962965,0.21416382252559726,0.528835690968444,0.221,0.489344909234412,0.6346153846153846
pythia-1b-deduped,1000,4,0.0,3535540.24749782,0.25715488215488214,0.21245733788395904,0.529379760609358,0.223,0.4909234411996843,0.6346153846153846
pythia-1b-deduped,1000,8,0.0,3437049.705327531,0.2588383838383838,0.21160409556313994,0.5261153427638737,0.228,0.49171270718232046,0.6346153846153846
pythia-1b-deduped,1000,16,0.0,3670423.8257376067,0.26136363636363635,0.2158703071672355,0.5244831338411317,0.229,0.48382004735595896,0.6346153846153846
pythia-1b-deduped,1000,32,0.0,3463255.893500671,0.27104377104377103,0.20477815699658702,0.529379760609358,0.226,0.4846093133385951,0.6346153846153846
pythia-1b-deduped,1000,64,0.0,2611819.7950162934,0.265993265993266,0.20136518771331058,0.5272034820457019,0.206,0.4980268350434096,0.6346153846153846
pythia-1b-deduped,1000,128,0.0,1373769.146641705,0.26346801346801346,0.19368600682593856,0.5130576713819369,0.196,0.4909234411996843,0.6346153846153846
pythia-1b-deduped,1000,256,0.0,456228.439374229,0.27441077441077444,0.20477815699658702,0.5261153427638737,0.221,0.4925019731649566,0.6346153846153846
pythia-1b-deduped,1000,512,0.00038812342324859306,54037.66002131114,0.28703703703703703,0.18003412969283278,0.5353645266594124,0.268,0.4696132596685083,0.6346153846153846
pythia-1b-deduped,1000,1000,0.1065398796817388,1187.5344349919694,0.3228114478114478,0.18088737201365188,0.573449401523395,0.465,0.4940805051302289,0.36538461538461536
