model,params_m,step,nL,nH,n_alive,n_triangles,closure_ratio,loose_fraction,elapsed_s
pythia-70m-deduped,70,0,6,8,54,17296,320.2963,0.1111,3.1
pythia-70m-deduped,70,1,6,8,54,17296,320.2963,0.1111,2.0
pythia-70m-deduped,70,2,6,8,54,17296,320.2963,0.1111,2.0
pythia-70m-deduped,70,8,6,8,54,17296,320.2963,0.1111,1.9
pythia-70m-deduped,70,64,6,8,55,17252,313.6727,0.0545,2.1
pythia-70m-deduped,70,512,6,8,55,0,0.0,1.0,1.9
pythia-70m-deduped,70,1000,6,8,55,0,0.0,0.9818,1.9
pythia-70m-deduped,70,3000,6,8,55,0,0.0,1.0,2.2
pythia-70m-deduped,70,13000,6,8,55,1,0.0182,0.9455,1.9
pythia-70m-deduped,70,33000,6,8,51,1,0.0196,0.9412,1.9
pythia-70m-deduped,70,63000,6,8,34,207,6.0882,0.3529,2.2
pythia-70m-deduped,70,93000,6,8,32,316,9.875,0.25,1.9
pythia-70m-deduped,70,143000,6,8,31,574,18.5161,0.1935,1.9
pythia-160m-deduped,160,0,12,12,156,487344,3124.0,0.0449,3.8
pythia-160m-deduped,160,1,12,12,156,487344,3124.0,0.0449,4.2
pythia-160m-deduped,160,2,12,12,156,487345,3124.0064,0.0449,4.0
pythia-160m-deduped,160,8,12,12,156,487347,3124.0192,0.0321,4.4
pythia-160m-deduped,160,64,12,12,157,584905,3725.5096,0.0127,4.1
pythia-160m-deduped,160,512,12,12,157,18,0.1146,0.8217,3.8
pythia-160m-deduped,160,1000,12,12,157,8,0.051,0.9427,4.5
pythia-160m-deduped,160,3000,12,12,157,23,0.1465,0.9554,3.9
pythia-160m-deduped,160,13000,12,12,157,58,0.3694,0.9236,3.9
pythia-160m-deduped,160,33000,12,12,155,3,0.0194,0.9677,4.2
pythia-160m-deduped,160,63000,12,12,115,7032,61.1478,0.3739,3.9
pythia-160m-deduped,160,93000,12,12,103,6424,62.3689,0.2524,4.5
pythia-160m-deduped,160,143000,12,12,90,9831,109.2333,0.1667,3.8
pythia-410m-deduped,410,0,24,16,408,9363619,22950.0466,0.0147,9.2
pythia-410m-deduped,410,1,24,16,408,9363619,22950.0466,0.0147,9.1
pythia-410m-deduped,410,2,24,16,408,9363607,22950.0172,0.0147,8.4
pythia-410m-deduped,410,8,24,16,408,9362881,22948.2377,0.0221,8.9
pythia-410m-deduped,410,64,24,16,408,9739686,23871.7794,0.0,9.0
pythia-410m-deduped,410,512,24,16,409,15976,39.0611,0.401,8.3
pythia-410m-deduped,410,1000,24,16,409,74,0.1809,0.8484,8.9
pythia-410m-deduped,410,3000,24,16,409,220,0.5379,0.9487,9.2
pythia-410m-deduped,410,13000,24,16,409,825,2.0171,0.8509,8.3
pythia-410m-deduped,410,33000,24,16,409,4249,10.3888,0.7042,8.8
pythia-410m-deduped,410,63000,24,16,390,14558,37.3282,0.5897,9.0
pythia-410m-deduped,410,93000,24,16,254,166732,656.4252,0.1102,8.2
pythia-410m-deduped,410,143000,24,16,254,28043,110.4055,0.2913,8.7
