model,params_m,step,n_alive,n_triangles,closure_ratio,loose_fraction,connection_ARA,ARA_rung_fast,ARA_rung_mid,ARA_rung_slow,elapsed_s
pythia-70m-deduped,70,0,54,17296,320.2963,0.1111,1.236,1.0838,1.0838,2.2895,3.2
pythia-70m-deduped,70,1,54,17296,320.2963,0.1111,1.236,1.0838,1.0838,2.2895,2.0
pythia-70m-deduped,70,2,54,17296,320.2963,0.1111,1.2487,1.0947,1.0947,2.4912,2.0
pythia-70m-deduped,70,8,54,17296,320.2963,0.1111,1.236,1.0838,1.0947,2.5536,2.0
pythia-70m-deduped,70,64,55,17252,313.6727,0.0545,3.8537,1.0947,1.2614,3.6279,2.0
pythia-70m-deduped,70,512,55,0,0.0,1.0,0.99,1.1398,1.0306,1.0947,2.0
pythia-70m-deduped,70,1000,55,0,0.0,0.9818,0.99,1.0729,1.0101,1.0729,1.9
pythia-70m-deduped,70,3000,55,0,0.0,1.0,0.9703,1.0729,1.0306,0.9703,2.1
pythia-70m-deduped,70,13000,55,1,0.0182,0.9455,0.9703,1.0729,1.0101,1.0306,1.9
pythia-70m-deduped,70,33000,51,1,0.0196,0.9412,1.0101,1.0729,1.0306,1.0515,2.0
pythia-70m-deduped,70,63000,34,207,6.0882,0.3529,1.824,1.0843,1.1398,1.9271,2.5
pythia-70m-deduped,70,93000,32,316,9.875,0.25,3.236,1.0205,1.1398,1.9065,1.9
pythia-70m-deduped,70,143000,31,574,18.5161,0.1935,4.5278,1.0515,1.2614,2.3167,1.9
pythia-160m-deduped,160,0,156,487344,3124.0,0.0449,1.314,1.0947,1.1284,2.5536,4.4
pythia-160m-deduped,160,1,156,487344,3124.0,0.0449,1.314,1.0947,1.1284,2.5536,4.0
pythia-160m-deduped,160,2,156,487345,3124.0064,0.0449,1.2874,1.0947,1.117,2.6517,4.0
pythia-160m-deduped,160,8,156,487347,3124.0192,0.0321,1.314,1.0947,1.117,2.6852,4.8
pythia-160m-deduped,160,64,157,584905,3725.5096,0.0127,3.234,1.117,1.314,3.0612,4.5
pythia-160m-deduped,160,512,157,18,0.1146,0.8217,1.0515,1.1398,1.0947,1.0947,4.8
pythia-160m-deduped,160,1000,157,8,0.051,0.9427,1.0306,1.163,1.0515,1.0729,4.0
pythia-160m-deduped,160,3000,157,23,0.1465,0.9554,0.99,1.0515,1.0306,1.0515,4.2
pythia-160m-deduped,160,13000,157,58,0.3694,0.9236,1.0101,1.0729,1.0515,1.0101,4.0
pythia-160m-deduped,160,33000,155,3,0.0194,0.9677,0.99,1.0515,1.0101,1.0101,4.0
pythia-160m-deduped,160,63000,115,7032,61.1478,0.3739,1.6892,0.99,1.0515,1.1398,3.9
pythia-160m-deduped,160,93000,103,6424,62.3689,0.2524,2.7547,1.0515,1.1398,1.5513,3.8
pythia-160m-deduped,160,143000,90,9831,109.2333,0.1667,3.3261,1.117,1.3833,2.1101,3.8
pythia-410m-deduped,410,0,408,9363619,22950.0466,0.0147,1.3412,1.0947,1.117,2.6852,9.4
pythia-410m-deduped,410,1,408,9363619,22950.0466,0.0147,1.3412,1.0947,1.117,2.6852,9.1
pythia-410m-deduped,410,2,408,9363607,22950.0172,0.0147,1.3412,1.0947,1.117,2.7547,9.2
pythia-410m-deduped,410,8,408,9362881,22948.2377,0.0221,1.5844,1.0947,1.1398,2.8269,9.0
pythia-410m-deduped,410,64,408,9739686,23871.7794,0.0,3.4725,1.0729,1.314,3.4222,9.0
pythia-410m-deduped,410,512,409,15976,39.0611,0.401,1.0515,1.163,1.0947,1.314,9.1
pythia-410m-deduped,410,1000,409,74,0.1809,0.8484,1.0306,1.1398,1.0729,1.1398,8.8
pythia-410m-deduped,410,3000,409,220,0.5379,0.9487,1.0101,1.0729,1.0306,1.0947,8.9
pythia-410m-deduped,410,13000,409,825,2.0171,0.8509,0.99,1.0515,1.0306,1.0947,8.8
pythia-410m-deduped,410,33000,409,4249,10.3888,0.7042,1.0306,1.0306,1.0306,1.0729,9.1
pythia-410m-deduped,410,63000,390,14558,37.3282,0.5897,1.3353,1.0306,1.0515,1.117,9.3
pythia-410m-deduped,410,93000,254,166732,656.4252,0.1102,1.8429,1.0729,1.117,1.519,8.9
pythia-410m-deduped,410,143000,254,28043,110.4055,0.2913,1.3551,1.0947,1.0729,1.1868,9.0
