video_name,frame_number,time [sec],num_contours_per_frame,ID,cx_pos [px],cy_pos [px],cx_pos [m],cy_pos [m],size [px^2],size [m^2],perimeter [px],perimeter [m],approx_diameter [px],approx_diameter [m],x_velocity [m/s],y_velocity [m/s],valve1,valve2,valve3,valve4,valve5
V29_20240418_125621_20240418_125729.avi,0,0.0,1,0,193,882,0.1005,0.4594,509.0,4.473792e-06,96.9117,0.0505,25.4574,0.0133,0.0,0.0,2.4,16.8,25.6,16.8,2.4
V29_20240418_125621_20240418_125729.avi,1,0.02,1,0,178,882,0.0927,0.4594,1359.5,1.1948796e-05,240.0071,0.125,41.6049,0.0217,-0.3906,17.9427,2.4,16.8,25.6,16.8,2.4
V29_20240418_125621_20240418_125729.avi,4,0.08,1,0,153,871,0.0797,0.4536,569.5,5.005476e-06,165.2376,0.0861,26.9279,0.014,0.0,0.0,2.4,16.8,25.6,16.8,2.4
V29_20240418_125621_20240418_125729.avi,5,0.1,1,0,160,872,0.0833,0.4542,823.0,7.2333e-06,152.1665,0.0793,32.3709,0.0169,0.1823,18.724,2.4,16.8,25.6,16.8,2.4
V29_20240418_125621_20240418_125729.avi,6,0.12,2,0,175,871,0.0911,0.4536,1235.0,1.0854647999999999e-05,206.7939,0.1077,39.6541,0.0207,0.3906,18.5156,2.4,16.8,25.6,16.8,2.4
V29_20240418_125621_20240418_125729.avi,6,0.12,2,1,170,989,0.0885,0.5151,594.5,5.225148e-06,120.468,0.0627,27.5126,0.0143,0.0,0.0,2.4,16.8,25.6,16.8,2.4
V29_20240418_125621_20240418_125729.avi,7,0.14,2,0,168,868,0.0875,0.4521,909.0,7.989192e-06,170.1665,0.0886,34.0202,0.0177,-0.1823,18.0469,2.4,16.8,25.6,16.8,2.4
V29_20240418_125621_20240418_125729.avi,7,0.14,2,1,168,986,0.0875,0.5135,511.0,4.491288e-06,108.2254,0.0564,25.5074,0.0133,-0.0521,21.25,2.4,16.8,25.6,16.8,2.4
V29_20240418_125621_20240418_125729.avi,8,0.16,2,1,173,974,0.0901,0.5073,608.0,5.343731999999999e-06,122.7107,0.0639,27.8232,0.0145,0.1302,20.9896,2.4,16.8,25.6,16.8,2.4
V29_20240418_125621_20240418_125729.avi,8,0.16,2,0,160,864,0.0833,0.45,510.5,4.486751999999999e-06,136.9533,0.0713,25.4949,0.0133,-0.2083,18.125,2.4,16.8,25.6,16.8,2.4
V29_20240418_125621_20240418_125729.avi,9,0.18,1,1,166,967,0.0865,0.5036,952.5,8.371511999999999e-06,169.2376,0.0881,34.8247,0.0181,-0.1823,20.6771,2.4,16.8,25.6,16.8,2.4
V29_20240418_125621_20240418_125729.avi,12,0.24,1,2,169,913,0.088,0.4755,687.5,6.0425999999999995e-06,151.9239,0.0791,29.5864,0.0154,0.0,0.0,2.4,16.8,25.6,16.8,2.4
V29_20240418_125621_20240418_125729.avi,13,0.26,1,2,173,909,0.0901,0.4734,1673.5,1.4708628e-05,281.1198,0.1464,46.1602,0.024,0.1042,19.2708,2.4,16.8,25.6,16.8,2.4
V29_20240418_125621_20240418_125729.avi,14,0.28,1,2,174,903,0.0906,0.4703,1807.5,1.5886368e-05,251.664,0.1311,47.9727,0.025,0.026,19.0104,2.4,16.8,25.6,16.8,2.4
V29_20240418_125621_20240418_125729.avi,15,0.3,1,2,179,891,0.0932,0.4641,1932.5,1.6984728e-05,239.1787,0.1246,49.6038,0.0258,0.1302,18.6719,2.4,16.8,25.6,16.8,2.4
V29_20240418_125621_20240418_125729.avi,16,0.32,1,2,180,884,0.0938,0.4604,1988.0,1.7472671999999996e-05,212.7939,0.1108,50.311,0.0262,0.026,18.3594,2.4,16.8,25.6,16.8,2.4
