run,cycle,start_time_s,stop_time_s,period_s,p_AA,p_AB,p_BB,p_BA,te_AA,te_AB,te_BB,te_BA,inequality,diagonal_share,amplitude,next_retention,mu_AA,mu_AB,mu_BB,mu_BA,rotation_signed,rotation_folded,rotation_coherence,recurrence_residual,stratum,gap_phi,drift_phi,score_phi
run1,4,5.571,6.761000000000001,1.1900000000000013,0.3957983193277311,0.0546218487394958,0.42016806722689076,0.12941176470588237,0.7915966386554621,0.1092436974789916,0.8403361344537815,0.25882352941176473,0.16713752805046833,0.8159663865546218,1.8007609055876497,0.9685973480812705,0.36890756302521005,0.026890756302521007,0.8119252901812519,0.14570573707962484,0.0005710899462468833,0.0005710899462468833,0.9988613773927671,0.007523146890438717,run1|I1|D4|A1,0.06105171590593677,0.38139492130385827,0.5880792207431733
run1,5,6.761000000000001,7.953999999999999,1.1929999999999978,0.40150880134115674,0.07208717518860017,0.41408214585079633,0.11232187761944677,0.8030176026823135,0.14417435037720033,0.8281642917015927,0.22464375523889354,0.15844769153217764,0.8155909471919531,1.7442122376806246,0.9764048990731478,0.37636211232187766,0.03562447611064543,0.803636874807433,0.14008983399648092,-0.0011041313406194853,0.0011041313406194853,0.9999499687045512,0.0015055245401694173,run1|I1|D4|A1,0.04551305206105723,0.38086187990948567,0.5963815940599857
run1,6,7.953999999999999,9.145000000000001,1.1910000000000025,0.40134340890008396,0.07388748950461797,0.41309823677581864,0.11167086481947942,0.8026868178001679,0.14777497900923595,0.8261964735516373,0.22334172963895885,0.1568120902801362,0.8144416456759026,1.7030573738946995,0.9788784359050292,0.373215785054576,0.036523929471032744,0.8015638891258582,0.13999316584789476,-0.0014257817070921774,0.0014257817070921774,0.9992920900772199,0.0056671891613878644,run1|I1|D4|A1,0.0463820928211771,0.380540229543013,0.5962687240463984
run1,7,9.145000000000001,10.337000000000002,1.1920000000000002,0.3951342281879195,0.06375838926174497,0.4186241610738255,0.12248322147651007,0.790268456375839,0.12751677852348994,0.837248322147651,0.24496644295302014,0.16026712141703525,0.813758389261745,1.6670861384145699,0.9804013945225105,0.3640939597315436,0.031459731543624164,0.8039646697401434,0.14607511862872008,-0.06439302277377612,0.06439302277377612,0.9780946351633583,0.027540754678885532,run1|I1|D4|A1,0.057904698758494536,0.31757298847632903,0.6534746621444236
run1,8,10.337000000000002,11.702,1.3649999999999984,0.33772893772893775,0.0336996336996337,0.4271062271062271,0.20146520146520147,0.6754578754578755,0.0673992673992674,0.8542124542124542,0.40293040293040294,0.1581992983988626,0.7648351648351648,1.6344135748907913,0.9887554052845542,0.3054945054945055,0.016483516483516484,0.7276574344904967,0.03864366586567899,0.08383151643136644,0.08383151643136644,0.949679561905946,0.04269586816297513,run1|I1|D3|A1,0.123737884368153,0.2981344948187387,0.6399965629971848
run1,11,13.837000000000002,14.978,1.1409999999999982,0.38212094653812445,0.040315512708150744,0.39964943032427697,0.17791411042944785,0.7642418930762489,0.08063102541630149,0.7992988606485539,0.3558282208588957,0.1554699663381638,0.7817703768624014,1.6160352566437215,0.9944595639096941,0.3834355828220859,0.019719544259421563,0.8417635466390176,0.17649813147254392,0.014953034606859261,0.014953034606859261,0.9981932038490342,0.007781072716638443,run1|I1|D3|A1,0.08724250602963343,0.3670129766432459,0.5893657703419374
run1,12,14.978,16.128,1.1500000000000004,0.3782608695652174,0.0782608695652174,0.36695652173913046,0.17652173913043478,0.7565217391304347,0.1565217391304348,0.7339130434782609,0.35304347826086957,0.10470526163321514,0.7452173913043478,1.6070817165846059,0.9857296452514677,0.40869565217391307,0.038695652173913055,0.8411458439776092,0.1926746116250891,0.00365757861733651,0.00365757861733651,0.9983195426909661,0.008591502879887108,run1|I1|D3|A0,0.05856510625445148,0.37830843263276864,0.5924090142400056
run1,13,16.128,17.284,1.1559999999999988,0.3788927335640138,0.10121107266435986,0.35986159169550175,0.16003460207612458,0.7577854671280276,0.20242214532871972,0.7197231833910035,0.32006920415224915,0.09068503817820062,0.7387543252595156,1.5841480903790632,0.9781854240895823,0.42171280276816614,0.050173010380622836,0.8315073402556703,0.19244161262844248,-0.011984371267399485,0.011984371267399485,0.9982312163114004,0.009269428604765498,run1|I0|D3|A0,0.02782852623739901,0.36998163998270567,0.6161040968985948
run1,14,17.284,18.442,1.1580000000000013,0.3704663212435233,0.12435233160621761,0.38773747841105355,0.11744386873920552,0.7409326424870466,0.24870466321243523,0.7754749568221071,0.23488773747841105,0.10120582984122761,0.7582037996545768,1.549590571608146,0.9751647235859849,0.4170984455958549,0.049357442566571805,0.8082979628741981,0.17314335060449051,-0.002771523631416306,0.002771523631416306,0.9998801877912648,0.0020509124609203316,run1|I1|D3|A0,0.022112125712396756,0.37919448761868885,0.6097494495251128
run1,15,18.442,19.597,1.1550000000000011,0.37835497835497833,0.12121212121212122,0.3887445887445887,0.11168831168831168,0.7567099567099567,0.24242424242424243,0.7774891774891775,0.22337662337662337,0.10867463552466727,0.7670995670995671,1.511106061433706,0.9776507278149618,0.4120975676964932,0.05068792232100933,0.8051948051948051,0.16883116883116883,0.006854054912064589,0.006854054912064589,0.9988972391240919,0.007343788917416147,run1|I1|D3|A0,0.02775478724015598,0.37511195633804056,0.6110106500418815
