regime,run,arm,direction,n,median_error_plain,p95_error_plain,median_error_left,median_error_right,median_error_wrong,median_flow_fraction,median_target_phase
driven,triple1,1,decreasing,44,0.03371592539454806,0.12440315083706965,0.5014872799808954,0.4985127200191046,0.4972189695550351,0.9525515662460948,0.5014872799808954
driven,triple1,1,increasing,44,0.02783431354659405,0.12875045673282495,0.4813706450208228,0.5186293549791773,0.5190288713910761,0.9432226944221147,0.4813706450208228
driven,triple1,2,decreasing,44,0.042678370974087616,0.16077092249167865,0.5065266602924337,0.49347333970756635,0.4938553698927143,0.9731763117302199,0.5065266602924337
driven,triple1,2,increasing,44,0.04711751662971175,0.18047179132010327,0.5216128117913832,0.4783871882086168,0.4839142091152815,0.967312026183395,0.5216128117913832
driven,triple1,3,decreasing,45,0.040229885057471264,0.16851813623031336,0.4817880794701987,0.5182119205298014,0.5264483627204031,0.9705684114198186,0.4817880794701987
driven,triple1,3,increasing,45,0.036585365853658534,0.18530542691135612,0.49489795918367346,0.5051020408163265,0.5029336758123673,0.9674654280140436,0.49489795918367346
free,run1,1,decreasing,45,0.20703125,0.3393085209482144,0.4978165938864629,0.5021834061135371,0.5996042216358839,0.6344725779225984,0.4978165938864629
free,run1,1,increasing,45,0.124765478424015,0.3296075670455329,0.5121457489878543,0.48785425101214575,0.6285690571049136,0.8788160839301463,0.5121457489878543
free,run1,2,decreasing,45,0.14562410329985653,0.2500751596235735,0.4987593052109181,0.5012406947890818,0.5690406976744186,0.8377056566529206,0.4987593052109181
free,run1,2,increasing,45,0.12335766423357664,0.24735074057107956,0.496551724137931,0.503448275862069,0.5953739183063252,0.8407480472778371,0.496551724137931
free,run1,3,decreasing,46,0.04865354152523195,0.2962726261428182,0.4955552248431183,0.5044447751568817,0.6592214733906576,0.9410421291414701,0.4955552248431183
free,run1,3,increasing,47,0.03896103896103896,0.3096657336948599,0.4988662131519274,0.5011337868480725,0.5622995568383917,0.9397951471822376,0.4988662131519274
free,run2,1,decreasing,47,0.27153558052434457,0.3405924324640136,0.4827586206896552,0.5172413793103449,0.5889406745200098,0.49759297948478526,0.4827586206896552
free,run2,1,increasing,47,0.27182770663562283,0.3458184301813541,0.49064449064449067,0.5093555093555093,0.7538461538461538,0.7077385705468634,0.49064449064449067
free,run2,2,decreasing,48,0.17215075045357084,0.30840923617769256,0.5333152762730227,0.4666847237269772,0.5452898550724637,0.7794457354281555,0.5333152762730227
free,run2,2,increasing,47,0.170995670995671,0.3156735259741245,0.49613899613899615,0.5038610038610039,0.6076487252124646,0.7721636937186492,0.49613899613899615
free,run2,3,decreasing,73,0.03571428571428571,0.1680584551148225,0.5069444444444444,0.4930555555555556,0.5602564102564103,0.9342360786062592,0.5069444444444444
free,run2,3,increasing,74,0.040169864179580836,0.28510982068511437,0.4833152958152958,0.5166847041847041,0.5171460176991151,0.9172629590058654,0.4833152958152958
free,run3,1,decreasing,45,0.08583690987124463,0.307613367248487,0.5419222903885481,0.45807770961145194,0.6860082674335011,0.9285347043701798,0.5419222903885481
free,run3,1,increasing,44,0.17401496808276468,0.290892328913482,0.5083384358948192,0.4916615641051808,0.5697807641863887,0.7602162247092334,0.5083384358948192
free,run3,2,decreasing,45,0.1270358306188925,0.2663800181496046,0.5017667844522968,0.49823321554770317,0.5739182738949902,0.8810991356404422,0.5017667844522968
free,run3,2,increasing,45,0.12011173184357542,0.2173918702761491,0.4704861111111111,0.5295138888888888,0.5553935860058309,0.8909527409451488,0.4704861111111111
free,run3,3,decreasing,59,0.02668213457076566,0.29588633778053575,0.4977168949771689,0.502283105022831,0.5493309103812386,0.9465827778019056,0.4977168949771689
free,run3,3,increasing,58,0.03525785905074995,0.30318730787757797,0.4945189219382768,0.5054810780617233,0.5595223365378366,0.9564116520837238,0.4945189219382768
