scale_a,scale_b,cosine_similarity
1,1,0.9999999999999999
1,7,0.1136729254604843
1,30,-0.5137930502736855
1,90,-0.5460289467635469
7,1,0.1136729254604843
7,7,1.0
7,30,0.4486318249800958
7,90,0.3774355675520725
30,1,-0.5137930502736855
30,7,0.4486318249800958
30,30,0.9999999999999999
30,90,0.9065279018118404
90,1,-0.5460289467635469
90,7,0.3774355675520725
90,30,0.9065279018118404
90,90,0.9999999999999999
