scale_days,horizon_windows,candidate_model,control,n,mae,rmse,bias,r2,improvement_vs_clock_pct
1,1,clock_raw_pole,real_pole_child,3497,2.858193837043602e-05,3.8540277059126266e-05,6.6818987063104305e-06,0.9967234851900499,-0.691907592891139
1,1,clock_raw_pole,pole_shift_365d,3497,2.85666305844832e-05,3.85324325730128e-05,6.616057242769151e-06,0.9967248188576382,-0.6379794740688157
1,1,clock_raw_pole,pole_reversed_chronology,3497,2.850574234776744e-05,3.8466762982181775e-05,5.704042497820889e-06,0.9967359729174446,-0.4234750333476451
1,1,clock_raw_pole,traversal_reflected,3497,2.858193837043602e-05,3.8540277059126266e-05,6.6818987063104305e-06,0.9967234851900499,-0.691907592891139
1,1,clock_raw_pole,pole_year_blocks_permuted,3497,2.852256700363394e-05,3.847022063883604e-05,5.933519186903701e-06,0.9967353861047621,-0.4827469648673117
1,1,clock_pole_diara,real_pole_child,3497,2.8358802186490877e-05,3.829065931564266e-05,4.677589362023695e-06,0.9967657904189868,0.09418352952464452
1,1,clock_pole_diara,pole_shift_365d,3497,2.835467808587302e-05,3.8325871992049696e-05,4.741203881256088e-06,0.9967598392265697,0.10871240971936386
1,1,clock_pole_diara,pole_reversed_chronology,3497,2.8590841351757726e-05,3.861880843857814e-05,5.699763976741017e-06,0.9967101188419162,-0.7232720917200066
1,1,clock_pole_diara,traversal_reflected,3497,2.8356312610746152e-05,3.832139543904293e-05,4.861858733709799e-06,0.996760596099335,0.10295410790825325
1,1,clock_pole_diara,pole_year_blocks_permuted,3497,2.843860798269059e-05,3.840043014399572e-05,5.268447733134e-06,0.9967472203156977,-0.18696597657850425
1,1,full_child,real_pole_child,3497,2.856149866011745e-05,3.849022623549724e-05,6.2942153907745e-06,0.9967319898398371,-0.6199001105451609
1,1,full_child,pole_shift_365d,3497,2.853432367971681e-05,3.851802985404526e-05,6.284091574951771e-06,0.9967272668057425,-0.524164804567095
1,1,full_child,pole_reversed_chronology,3497,2.869994706892387e-05,3.8704251100628396e-05,5.97902807107364e-06,0.9966955452611794,-1.1076429012978797
1,1,full_child,traversal_reflected,3497,2.8549417516944046e-05,3.852721726713728e-05,6.476810271017095e-06,0.9967257053791665,-0.5773391989559336
1,1,full_child,pole_year_blocks_permuted,3497,2.8555508275560675e-05,3.8511167283033784e-05,5.923712928927147e-06,0.9967284328759333,-0.5987964596863858
1,2,clock_raw_pole,real_pole_child,3497,8.143779300034238e-05,0.00010658942676997764,2.195856326414262e-05,0.9749382886446399,-0.47107625360442834
1,2,clock_raw_pole,pole_shift_365d,3497,8.138191703676727e-05,0.00010652747615915528,2.1798868548910192e-05,0.9749674123051285,-0.4021412052654458
1,2,clock_raw_pole,pole_reversed_chronology,3497,8.174929099428985e-05,0.00010691978798492741,2.1770938892227812e-05,0.9747826963275268,-0.8553761903992528
1,2,clock_raw_pole,traversal_reflected,3497,8.143779300034238e-05,0.00010658942676997764,2.195856326414262e-05,0.9749382886446399,-0.47107625360442834
1,2,clock_raw_pole,pole_year_blocks_permuted,3497,8.150656805532111e-05,0.00010665479552912669,2.121143175662775e-05,0.9749075397162725,-0.5559251123288429
1,2,clock_pole_diara,real_pole_child,3497,8.086264620350192e-05,0.00010590960066038919,1.7478334216963198e-05,0.9752569557661466,0.2384913261816674
1,2,clock_pole_diara,pole_shift_365d,3497,8.089880496601093e-05,0.00010598794727453508,1.768130738762296e-05,0.9752203348981169,0.19388169653142093
1,2,clock_pole_diara,pole_reversed_chronology,3497,8.164637546178793e-05,0.00010675521983533569,2.0820127443452686e-05,0.9748602642187892,-0.7284076917117027
1,2,clock_pole_diara,traversal_reflected,3497,8.089048958015366e-05,0.00010594922212088473,1.7896383251524154e-05,0.9752384392403135,0.20414051784477183
1,2,clock_pole_diara,pole_year_blocks_permuted,3497,8.143859927764662e-05,0.0001065480904280245,2.0176922028699333e-05,0.9749577231912865,-0.47207097049853025
1,2,full_child,real_pole_child,3497,8.128705289127422e-05,0.00010641269312907628,2.0855937680050887e-05,0.9750213283158167,-0.28510582839164583
1,2,full_child,pole_shift_365d,3497,8.128948692014098e-05,0.00010642870732887282,2.0855834642840386e-05,0.9750138095973905,-0.28810872779334346
1,2,full_child,pole_reversed_chronology,3497,8.21271548538715e-05,0.00010732466414853404,2.2576254019313046e-05,0.9745913525849018,-1.3215527314230162
1,2,full_child,traversal_reflected,3497,8.133730420710902e-05,0.0001064667101217375,2.1274727205503903e-05,0.9749959626354097,-0.34710166102749807
