scale_days,split,n,median_amount_ara,median_traversal_ara,median_turn_rad,negative_turn_fraction,implied_cycle_days_from_median_turn,median_clock_ara,median_clock_ridge_nano
1,development,9130,1.0001223425996937,0.9967458183076671,-0.010223313298079573,0.5345016429353778,614.5938331323435,1.0000000075211228,7.521122724618579
1,holdout,3497,0.9994675839866759,0.9985415445169576,-0.00458187303111357,0.5144409493851873,1371.313710465812,1.0000000009253471,0.925347132252341
1,validation,2922,1.000159432168582,0.9974826072378997,-0.007908622607614157,0.5212183436002737,794.4727696489583,1.0000000057936922,5.793692081645929
7,development,1302,0.9981804330631234,0.9675984506117163,-0.10179246952315868,0.7780337941628265,432.0781031867072,1.00000000758788,7.587880213044684
7,holdout,499,0.9973824541975231,0.9620315830355262,-0.11928129980402513,0.7474949899799599,368.72751405726154,1.0000000009282408,0.928240817543724
7,validation,418,1.0008168515463143,0.9644467656795521,-0.11169377975247574,0.7607655502392344,393.7757075436622,1.0000000059083995,5.908399547394083
30,development,302,0.9981026930192619,0.8572539442912563,-0.44844995994350834,0.9801324503311258,420.3268503784291,1.0000000074800828,7.4800828864241
30,holdout,117,1.0024064679214775,0.8395692519400839,-0.5040080595149474,1.0,373.99314486517125,1.0000000009066359,0.9066358774845185
30,validation,97,1.0046319402477581,0.8394864795411437,-0.5042680966753776,1.0,373.8002869071678,1.000000005871026,5.8710261097161265
90,development,99,0.9992729121740003,0.567173176224314,-1.3597655698502993,0.98989898989899,415.87071344100804,1.0000000075739455,7.573945470795707
90,holdout,39,1.0002152308600316,0.5178625840559178,-1.514679363950695,1.0,373.33754661529156,1.000000000914982,0.9149820900944405
90,validation,32,0.9775959349030275,0.5313511665079486,-1.472303732412055,1.0,384.0828934935414,1.0000000056655094,5.665509283936387
