scale_days,horizon_windows,model,feature,standardized_beta
1,4,clock_pole_diara,pole_displacement,0.01091926612777335
1,4,full_child,lod,-1.315736966587556
1,4,full_child,lod_lag1,-1.61836125691403
1,4,full_child,lod_lag2,5.189600198103595
1,4,full_child,lod_slope,1.6920060574232225
1,4,full_child,u_clock,-1.3157370715317076
1,4,full_child,pole_x,-0.003959051721346654
1,4,full_child,pole_y,-0.061930778175957275
1,4,full_child,dpx,0.004260442721984363
1,4,full_child,dpy,0.007002844406871936
1,4,full_child,pole_radius,0.04561887969852499
1,4,full_child,pole_amount_ara,0.0037441416832184413
1,4,full_child,pole_traversal_ara,0.004038540410813839
1,4,full_child,pole_log_ratio,-0.001562247321750383
1,4,full_child,pole_turn_rad,0.00403854041102602
1,4,full_child,pole_displacement,0.006500363027918603
7,1,clock_only,lod,0.3421610366659945
7,1,clock_only,lod_lag1,0.4273664013305963
7,1,clock_only,lod_lag2,-0.17108795954435244
7,1,clock_only,lod_slope,-0.15597140540418564
7,1,clock_only,u_clock,0.3421610487328304
7,1,clock_raw_pole,lod,0.3370867175882493
7,1,clock_raw_pole,lod_lag1,0.42225649978408486
7,1,clock_raw_pole,lod_lag2,-0.16266906092782607
7,1,clock_raw_pole,lod_slope,-0.15590366270026287
7,1,clock_raw_pole,u_clock,0.3370867403141912
7,1,clock_raw_pole,pole_x,-0.11151327628851937
7,1,clock_raw_pole,pole_y,-0.03942646676504818
7,1,clock_raw_pole,dpx,-0.07663090769057017
7,1,clock_raw_pole,dpy,-0.11036321844737255
7,1,clock_raw_pole,pole_radius,0.09269193914935223
7,1,clock_pole_diara,lod,0.3416906023411826
7,1,clock_pole_diara,lod_lag1,0.42661069198445284
7,1,clock_pole_diara,lod_lag2,-0.17435938124113542
7,1,clock_pole_diara,lod_slope,-0.15544955650314474
7,1,clock_pole_diara,u_clock,0.3416906158414381
7,1,clock_pole_diara,pole_amount_ara,0.14467428699913987
7,1,clock_pole_diara,pole_traversal_ara,0.0037875370158347034
7,1,clock_pole_diara,pole_log_ratio,-0.14684058598998956
7,1,clock_pole_diara,pole_turn_rad,0.0037875370158514114
7,1,clock_pole_diara,pole_displacement,0.019236408207286792
7,1,full_child,lod,0.33719056087505495
7,1,full_child,lod_lag1,0.4221114958731601
7,1,full_child,lod_lag2,-0.16547199199146942
7,1,full_child,lod_slope,-0.15544872253038566
7,1,full_child,u_clock,0.3371905828775406
7,1,full_child,pole_x,-0.11167728048140013
7,1,full_child,pole_y,0.004925179154606784
7,1,full_child,dpx,-0.08315864634256342
7,1,full_child,dpy,-0.11548740663073866
7,1,full_child,pole_radius,0.05370426432068994
7,1,full_child,pole_amount_ara,0.15380307241929703
7,1,full_child,pole_traversal_ara,0.003812574591039058
7,1,full_child,pole_log_ratio,-0.15445952235274377
7,1,full_child,pole_turn_rad,0.003812574591052882
7,1,full_child,pole_displacement,0.016767746531014253
7,2,clock_only,lod,0.18604313179997256
7,2,clock_only,lod_lag1,0.13599670267394004
7,2,clock_only,lod_lag2,0.4343986153445739
7,2,clock_only,lod_slope,0.09140775357489746
7,2,clock_only,u_clock,0.18604308149821125
7,2,clock_raw_pole,lod,0.17813256615650588
7,2,clock_raw_pole,lod_lag1,0.12819512129281463
7,2,clock_raw_pole,lod_lag2,0.4498772324232988
7,2,clock_raw_pole,lod_slope,0.09121262357168552
7,2,clock_raw_pole,u_clock,0.17813253569201756
7,2,clock_raw_pole,pole_x,-0.2095816876118769
7,2,clock_raw_pole,pole_y,-0.040459408629841355
7,2,clock_raw_pole,dpx,-0.1248401790168253
7,2,clock_raw_pole,dpy,-0.2268902821540422
7,2,clock_raw_pole,pole_radius,0.12481797540722334
7,2,clock_pole_diara,lod,0.18580348898947105
7,2,clock_pole_diara,lod_lag1,0.13546740499373924
7,2,clock_pole_diara,lod_lag2,0.4312424114632955
7,2,clock_pole_diara,lod_slope,0.09193748480741389
7,2,clock_pole_diara,u_clock,0.18580343855872897
7,2,clock_pole_diara,pole_amount_ara,0.14962721806552037
7,2,clock_pole_diara,pole_traversal_ara,0.0015388278267120903
7,2,clock_pole_diara,pole_log_ratio,-0.14487456880331243
7,2,clock_pole_diara,pole_turn_rad,0.0015388278266992678
7,2,clock_pole_diara,pole_displacement,0.015570807077322394
7,2,full_child,lod,0.17852112159096958
7,2,full_child,lod_lag1,0.12833858736114798
7,2,full_child,lod_lag2,0.4473284005758
7,2,full_child,lod_slope,0.09166054254968073
7,2,full_child,u_clock,0.17852108921564286
7,2,full_child,pole_x,-0.21137926820649416
7,2,full_child,pole_y,-0.013059817737397384
7,2,full_child,dpx,-0.13038315950365997
7,2,full_child,dpy,-0.23159495405237254
7,2,full_child,pole_radius,0.10247708670624263
7,2,full_child,pole_amount_ara,0.16520570113004218
7,2,full_child,pole_traversal_ara,0.0016221045516368064
7,2,full_child,pole_log_ratio,-0.1575602548939302
7,2,full_child,pole_turn_rad,0.0016221045516224264
7,2,full_child,pole_displacement,0.009164014163805976
7,4,clock_only,lod,0.35336056863745907
7,4,clock_only,lod_lag1,0.26379627806207623
7,4,clock_only,lod_lag2,-0.08657020925205246
7,4,clock_only,lod_slope,0.16357519658896558
7,4,clock_only,u_clock,0.3533605126036424
7,4,clock_raw_pole,lod,0.34839851030833974
7,4,clock_raw_pole,lod_lag1,0.25783466345930134
7,4,clock_raw_pole,lod_lag2,-0.08705369438417151
