scale_days,horizon_windows,horizon_days,clock_season_mae,clock_season_diara_mae,diara_improvement_over_season_pct,mean_mae_gain_seconds,ci_low,ci_high,p_gain_positive,n,status
1,1,1,2.8469292649844087e-05,2.8428321814466497e-05,0.14391237563050246,4.097083537759234e-08,-7.50542065420643e-10,8.474925054155492e-08,0.972,3497,post-result diagnostic; not a frozen gate
1,2,2,8.135469861173597e-05,8.108286363676642e-05,0.33413555652990184,2.718349749695369e-07,1.0902681354464468e-07,4.2954077109234524e-07,1.0,3497,post-result diagnostic; not a frozen gate
1,4,4,0.00021022225719153538,0.00020899733274026163,0.5826806674222472,1.224924451273752e-06,5.491670187872639e-07,1.8853692050172623e-06,1.0,3497,post-result diagnostic; not a frozen gate
7,1,7,0.0002423623177369586,0.00024125173696608993,0.45823161836321974,1.11058077086867e-06,1.6749540802569792e-07,2.071745462495578e-06,0.989,499,post-result diagnostic; not a frozen gate
7,2,14,0.0001768627651390242,0.00017615319385818866,0.4011987940354641,7.095712808354936e-07,-4.055629586184269e-07,1.762833288711353e-06,0.89,499,post-result diagnostic; not a frozen gate
7,4,28,0.00018508132728516663,0.0001837403713999355,0.7245225139135969,1.340955885231169e-06,2.5056987981906576e-07,2.3959634708704118e-06,0.994,499,post-result diagnostic; not a frozen gate
30,1,30,0.00012401781560882736,0.00012321511820802757,0.6472436212968186,8.026974007998114e-07,-5.506052587285616e-07,2.0430691213466784e-06,0.883,117,post-result diagnostic; not a frozen gate
30,2,60,0.0001508760311424034,0.00015022618664594438,0.43071420393187426,6.498444964589964e-07,-1.6458949992328368e-07,1.4184922698639794e-06,0.946,117,post-result diagnostic; not a frozen gate
30,4,120,0.00017394963661489078,0.00017374605269597366,0.11703612774302005,2.0358391891703797e-07,-4.479203817908722e-06,4.578922500124133e-06,0.51,117,post-result diagnostic; not a frozen gate
90,1,90,0.00012385998978478008,0.00011704004922138207,5.506169163463017,6.819940563397955e-06,2.239569299253279e-06,1.0650682009233518e-05,0.999,39,post-result diagnostic; not a frozen gate
90,2,180,0.00015050320960639774,0.00014405978462028184,4.281254202463198,6.443424986115927e-06,-6.183047398152147e-06,1.9936255413446646e-05,0.831,39,post-result diagnostic; not a frozen gate
90,4,360,0.000252158526996591,0.00024092842299870148,4.453588832251286,1.1230103997889482e-05,1.2659952065830903e-06,2.046010564219457e-05,0.988,39,post-result diagnostic; not a frozen gate
