n,mae,rmse,bias,r2,scale_days,horizon_windows,horizon_days,split,model
97,0.00020628424601889055,0.0002551191511438344,-2.257823080846102e-19,0.8783236476652556,90,2,180,development,clock_raw_pole
97,0.00021014359602347923,0.00026448352210645224,-1.6430692717048366e-19,0.8692272372719584,90,2,180,development,clock_pole_diara
97,0.00020201574448119083,0.00025201648552770347,-2.604320682362088e-19,0.8812652174907345,90,2,180,development,full_child
32,0.0004809791319444445,0.0005209852001854082,-2.0100173611111084e-05,-1.1442692088322826,90,2,180,validation,persistence
32,0.00018533763341472377,0.00023437160907559303,-6.732730039126541e-05,0.5660511517890843,90,2,180,validation,clock_only
32,0.00016738579842743795,0.0002162865897433411,-5.9581630569914187e-05,0.6304376477492157,90,2,180,validation,clock_raw_pole
32,0.00020339023715175897,0.00025612272102439114,-0.00011007363796872448,0.48176737432360583,90,2,180,validation,clock_pole_diara
32,0.00017909174515164363,0.0002276671197706926,-8.57612904659091e-05,0.5905233295898911,90,2,180,validation,full_child
39,0.000490698603988604,0.0005805677220798788,3.55514245014245e-05,-0.028771437282796297,90,2,180,holdout,persistence
39,0.00023460583580190342,0.0002858316080405527,0.0001426050702461157,0.7506360722377383,90,2,180,holdout,clock_only
39,0.00022433323260362967,0.0002783132033584907,0.00015739878752070427,0.7635818879702256,90,2,180,holdout,clock_raw_pole
39,0.00021263424212675532,0.00026228006250693863,0.00010057571988905763,0.7900365589228737,90,2,180,holdout,clock_pole_diara
39,0.0002119433854410327,0.0002637915701649497,0.0001342096836301071,0.7876095668342752,90,2,180,holdout,full_child
95,0.00022632400000000005,0.0002826186049219534,2.7336280701754382e-05,0.8531678368771632,90,4,360,development,persistence
95,0.00022615845764336468,0.0002757627604198122,3.3096697896925925e-20,0.860205226161235,90,4,360,development,clock_only
95,0.00022134691167858335,0.0002716639744905398,4.565061778886334e-21,0.8643300075902367,90,4,360,development,clock_raw_pole
95,0.00022256986896842078,0.00027378583181538043,-2.282530889443167e-21,0.8622024042158343,90,4,360,development,clock_pole_diara
95,0.00021866062892401887,0.0002687307364109801,-3.081416700748276e-20,0.8672439308117331,90,4,360,development,full_child
32,0.00017633326388888888,0.000227754227980941,-6.609520833333334e-05,0.590209928132637,90,4,360,validation,persistence
32,0.0001741581875321657,0.0002226822069858437,-5.544529429332693e-05,0.6082585103344127,90,4,360,validation,clock_only
32,0.00017145773429880334,0.00022211931829492897,-3.39523840968438e-05,0.6102364695285709,90,4,360,validation,clock_raw_pole
32,0.0001868446165825184,0.00023650135794127736,-7.761473012823957e-05,0.5581286802004285,90,4,360,validation,clock_pole_diara
32,0.0001780987321705744,0.0002275303972719814,-4.26281245227715e-05,0.5910149935874729,90,4,360,validation,full_child
39,0.00024606786324786326,0.00030006466421302443,0.000140888547008547,0.7251834798236194,90,4,360,holdout,persistence
39,0.00024959219140257346,0.0003074428572233855,0.00019207102775679975,0.7115025758054554,90,4,360,holdout,clock_only
39,0.000273582362426608,0.00033249440522043627,0.00023396752721253843,0.6625714631859307,90,4,360,holdout,clock_raw_pole
39,0.00023509492954631458,0.00029152406699027567,0.00016843056015004114,0.7406047895044792,90,4,360,holdout,clock_pole_diara
39,0.00027209472863402954,0.00033013853161454145,0.00023080117531744862,0.6673361913724265,90,4,360,holdout,full_child
