n,mae,rmse,bias,r2,omitted_scale_days,model,target_unit
3497,0.21507546106853107,0.2649799497390721,0.10713943467825889,0.8925937960168363,1,clock_only,omitted-scale development SD
3497,0.21446004483185396,0.26002075233099486,-0.03991336865246596,0.8965764687571802,1,full_child,omitted-scale development SD
499,0.5582027951145431,0.6551354288687812,0.02939999197055014,0.30683371867115217,7,clock_only,omitted-scale development SD
499,0.5551532973619435,0.6516336815396196,0.025164028254428164,0.3142239651357758,7,full_child,omitted-scale development SD
117,0.37822702506357925,0.4907333866802593,0.06749805931525456,0.5870649793984073,30,clock_only,omitted-scale development SD
117,0.374359246230845,0.484867067557078,0.059527920309831096,0.5968785755770403,30,full_child,omitted-scale development SD
39,0.5748459440400918,0.7089136344866236,0.06307576051375251,0.18592818210370032,90,clock_only,omitted-scale development SD
39,0.5714963229561504,0.7046219806544115,0.05492943487406064,0.195754877665139,90,full_child,omitted-scale development SD
