origin,target,origin_year,horizon,split,truth,current,climatology,persistence,base_levels,base_raw_movement,base_diara,base_radius,base_turn,base_quadrant,base_broken_diara
200801,200804,2008.0,3,evaluation,-0.89,-1.79,0.02971698113207547,-1.79,-1.2639709830297179,-1.2520945286351466,-1.2073960252110034,-1.2149417834315028,-1.2613662633261504,-1.226513243401238,-1.2558308766005253
200802,200805,2008.0833333333333,3,evaluation,-0.64,-1.7,0.024294670846394983,-1.7,-1.0154230877165649,-1.0163825569052498,-0.9707800033856977,-0.9833860663325705,-1.0073050765599703,-0.916444646716145,-1.0267420780266545
200803,200806,2008.1666666666667,3,evaluation,-0.44,-1.17,0.02056250000000001,-1.17,-0.22600334466993074,-0.19092888113955853,-0.20652177633683574,-0.1840463787050049,-0.24158483410708162,-0.08234753997694919,-0.260580662913273
200804,200807,2008.25,3,evaluation,-0.04,-0.89,0.017725856697819325,-0.89,0.03549517233463641,0.031863742878334864,0.06985392347921869,0.07280145544567126,0.039177504790650644,0.16941009212669134,-0.04653450806690616
200805,200808,2008.3333333333333,3,evaluation,-0.04,-0.64,0.015683229813664604,-0.64,0.3080754535450476,0.31172403742594534,0.3134044239387556,0.3091310813472809,0.3158303807906501,0.17786398849999224,0.21893086787782345
200806,200809,2008.4166666666667,3,evaluation,-0.28,-0.44,0.014272445820433445,-0.44,0.16298098236948622,0.12537861712439652,0.16999236471190518,0.16016942591707303,0.17811941979020862,0.08156830207028998,0.05655627298406669
200807,200810,2008.5,3,evaluation,-0.3,-0.04,0.01410493827160495,-0.04,0.11331045087006703,0.08740475258387155,0.08979177701580898,0.11349856287105105,0.09833112790836726,0.03821395021175689,0.07795223670624987
200808,200811,2008.5833333333333,3,evaluation,-0.37,-0.04,0.013938461538461547,-0.04,-0.0987935919051273,-0.11138492966306081,-0.15210758492158713,-0.14152049429161062,-0.08524721030014588,-0.1764355422319218,-0.2292607079370613
200809,200812,2008.6666666666667,3,evaluation,-0.9,-0.28,0.013036809815950932,-0.28,-0.46129569763343864,-0.46895216335926265,-0.4812888666619378,-0.5919838123564694,-0.36455562836916844,-0.412472439990417,-0.5146890434918976
200810,200901,2008.75,3,evaluation,-1.0,-0.3,0.012079510703363923,-0.3,-0.4506160057268813,-0.4489157915575105,-0.6573890805991739,-0.6414181388093125,-0.4852553512793754,-0.48252653192824335,-0.42710563390001866
200811,200902,2008.8333333333333,3,evaluation,-0.71,-0.37,0.010914634146341475,-0.37,-0.6963386719678508,-0.7127023197305423,-0.7980260868910803,-0.8351313531528026,-0.6835366290621089,-0.7314684319117827,-0.6443135635556886
200812,200903,2008.9166666666667,3,evaluation,-0.72,-0.9,0.008145896656534965,-0.9,-1.2048844586988607,-1.2101179381869607,-1.1671646943596632,-1.14905840558173,-1.2592657835391967,-1.0478829269311536,-1.1005277378464606
200901,200904,2009.0,3,evaluation,-0.25,-1.0,0.005090909090909101,-1.0,-0.9048982087716622,-0.8762144315059286,-0.7731959590757375,-0.7489259482152625,-0.9354263841362345,-0.8000079255079778,-0.759315243961966
200902,200905,2009.0833333333333,3,evaluation,0.17,-0.71,0.0029305135951661703,-0.71,-0.5176689642764392,-0.5321986711094618,-0.3381812830754969,-0.32492079741701396,-0.5293112873028418,-0.39823529169431077,-0.3818085437906344
200903,200906,2009.1666666666667,3,evaluation,0.49,-0.72,0.0007530120481927817,-0.72,-0.4702437464723851,-0.4808751655375125,-0.34929639481466285,-0.3763226605011671,-0.4511966464252874,-0.3961962351986377,-0.3299943560777457
200904,200907,2009.25,3,evaluation,0.69,-0.25,1.066880984624775e-17,-0.25,0.1324132040506513,0.14414596636989563,-0.026415655318694154,0.027809979188717342,0.09974935785344122,0.045731696186701434,0.2185966320027042
