time_ns,n,median,q25,q75,minimum_from_onset_ns
-1024,282,0.0,-0.01681022506251736,0.01290481670228506,16.0
-1016,282,0.0,-0.02228028126817406,0.01167315175097279,16.0
-1008,282,0.0,-0.02040816326530612,0.012658227848101262,16.0
-1000,283,0.0,-0.019912786265361526,0.010830324909747318,16.0
-992,283,0.0,-0.019450223819431293,0.013300090127273196,16.0
-984,283,0.0,-0.023569023569023545,0.009539553506430494,16.0
-976,284,0.0005500550055005481,-0.022470968632321935,0.013215859030837036,16.0
-968,284,0.0,-0.022398874280673768,0.010638297872340387,16.0
-960,284,0.0,-0.017119924860180158,0.013513513513513466,16.0
-952,284,0.0,-0.012345679012345644,0.012169702759623924,16.0
-944,284,0.0,-0.01663034208282009,0.012797635643785216,16.0
-936,284,0.0,-0.018600590921300033,0.01055431131019036,16.0
-928,284,0.0,-0.016393442622950824,0.013513513513513466,16.0
-920,284,0.0,-0.022106163612624373,0.013257974579055115,16.0
-912,284,0.0,-0.024581991102929922,0.010931732446355438,16.0
-904,284,0.0020959040172222852,-0.01639344262295083,0.017040868735783993,16.0
-896,284,0.0006105006105006083,-0.015477326691186725,0.013290272651506143,16.0
-888,284,0.0,-0.02046819018107873,0.013257974579055115,16.0
-880,284,0.0,-0.020880736514159698,0.013290272651506143,16.0
-872,284,0.0,-0.019607843137254912,0.013758323540932205,16.0
-864,284,0.0,-0.025762835739082765,0.011919420775254898,16.0
-856,284,0.0,-0.022308640632365193,0.011780166343482617,16.0
-848,284,0.0,-0.01684053651266769,0.0106382978723404,16.0
-840,284,0.0,-0.017257318952234205,0.01265822784810122,16.0
-832,284,0.0,-0.02079514440506741,0.011919420775254898,16.0
-824,284,0.001166674136640762,-0.017119924860180158,0.01134525422987805,16.0
-816,284,0.0,-0.019807923169267713,0.01134525422987805,16.0
-808,284,0.0,-0.015984149363411086,0.012740424132829204,16.0
-800,284,0.00285665523462769,-0.014736783897367853,0.013513513513513466,16.0
-792,284,0.0,-0.02567359783081933,0.012740424132829204,16.0
-784,284,0.0,-0.018126142144515217,0.013416619296160384,16.0
-776,284,0.0,-0.022470968632321935,0.01085498411946896,16.0
-768,284,0.0011062285316407018,-0.020718852600656652,0.013758323540932205,16.0
-760,284,0.0,-0.022241280731846773,0.013513513513513466,16.0
-752,284,0.0,-0.022022621423819024,0.011919420775254898,16.0
-744,284,-0.0022172949002217217,-0.020619999751154035,0.012797635643785216,16.0
-736,284,-0.001913754907766877,-0.025635037816012292,0.010844361100661963,16.0
-728,284,-0.0004460303300624427,-0.02254957042863497,0.010207336523126014,16.0
-720,284,0.0,-0.024390243902439025,0.01167315175097279,16.0
-712,284,0.0,-0.015477326691186725,0.011780166343482617,16.0
-704,284,-0.0024664208345736224,-0.021987570600124663,0.010101010101010124,16.0
-696,284,0.0,-0.01719704275152687,0.014600908500973403,16.0
-688,284,0.0,-0.0218909400048579,0.013513513513513466,16.0
-680,284,0.0,-0.018126142144515217,0.01167315175097279,16.0
-672,284,0.0,-0.02298850574712646,0.01010101010101008,16.0
-664,284,0.0,-0.019717018210402216,0.011919420775254898,16.0
-656,284,-0.0020471365232623364,-0.025185614058987817,0.011005710075520366,16.0
-648,284,0.0,-0.025873040720347927,0.012797635643785174,16.0
-640,284,0.0,-0.01980792316926772,0.015228426395939123,16.0
-632,284,0.0,-0.018459514761765564,0.013257974579055115,16.0
-624,284,0.0,-0.017613825191093387,0.013044224497969,16.0
-616,284,0.002071642889856219,-0.020880736514159698,0.016949152542372833,16.0
-608,284,0.0,-0.015894123606889562,0.011919420775254898,16.0
-600,284,0.0,-0.016532370102806365,0.014676671816376094,16.0
-592,284,0.0,-0.016393442622950807,0.012740424132829204,16.0
-584,284,0.0,-0.016066445762120674,0.01100571007552035,16.0
-576,284,0.0,-0.016532370102806365,0.013290272651506143,16.0
-568,284,0.0,-0.019717018210402216,0.016130446217235025,16.0
-560,284,0.0,-0.01606644576212067,0.01265822784810122,16.0
-552,284,0.0,-0.01639344262295083,0.013758323540932187,16.0
-544,284,0.0005561735261401537,-0.01498190863862506,0.014676671816376094,16.0
-536,284,0.0,-0.017278074452441766,0.01023533204384269,16.0
-528,284,0.0025900312278021166,-0.014402323208539375,0.014582436504520024,16.0
-520,284,0.0,-0.022398874280673768,0.01068630463169212,16.0
-512,284,0.0,-0.02013544838870961,0.012797635643785174,16.0
-504,284,0.0014740584688771165,-0.01498190863862506,0.013290272651506143,16.0
-496,284,0.0,-0.02179336978217477,0.01167315175097279,16.0
-488,284,0.0,-0.019607843137254884,0.013758323540932205,16.0
-480,284,0.0,-0.016630342082820063,0.013567025314649357,16.0
-472,284,0.0005500550055005481,-0.012548732943469797,0.013044224497969,16.0
-464,284,0.0005500550055005481,-0.01421301531818652,0.012169702759623924,16.0
-456,284,0.0,-0.02014066496163684,0.011780166343482617,16.0
-448,284,0.0,-0.016532370102806365,0.013416619296160384,16.0
-440,284,0.0,-0.016393442622950807,0.011919420775254898,16.0
-432,284,0.0,-0.014903210909137569,0.012658227848101234,16.0
-424,284,0.0,-0.01852178126238824,0.013513513513513466,16.0
-416,284,0.002366718578182642,-0.012548732943469797,0.016415961088092235,16.0
-408,284,0.003000062875569238,-0.012345679012345649,0.013451638451638435,16.0
-400,284,0.0,-0.01523142820611176,0.012658227848101234,16.0
-392,284,0.0005500550055005481,-0.013389547813194957,0.012658227848101234,16.0
-384,284,0.002342457450816576,-0.01372520839321646,0.013513513513513466,16.0
-376,284,0.0017422924805206175,-0.015192958026656064,0.013257974579055115,16.0
-368,284,0.0,-0.01663034208282009,0.01134525422987805,16.0
-360,284,0.0,-0.016066445762120674,0.014945720460370914,16.0
-352,284,0.0014197313845166618,-0.015477326691186725,0.015519680452692048,16.0
-344,284,0.0,-0.022398874280673768,0.013044224497969,16.0
-336,284,0.0,-0.02266441966986433,0.01167315175097279,16.0
-328,284,0.0,-0.016003122560499607,0.013513513513513466,16.0
-320,284,0.0,-0.016532370102806365,0.013416619296160384,16.0
-312,284,0.0,-0.015957446808510627,0.01167315175097279,16.0
-304,284,0.0,-0.017119924860180158,0.010830324909747318,16.0
-296,284,0.0,-0.017535015532181588,0.011235955056179752,16.0
-288,284,0.0,-0.016066445762120674,0.013215859030837036,16.0
-280,284,0.0,-0.01606644576212067,0.014945720460370914,16.0
-272,284,0.0,-0.011627906976744146,0.011919420775254898,16.0
-264,284,0.0,-0.017047124522386606,0.01167315175097279,16.0
-256,284,0.0,-0.019371414160519497,0.01167315175097279,16.0
-248,284,0.0,-0.012345679012345644,0.012658227848101274,16.0
-240,284,0.0,-0.019371414160519497,0.01100571007552035,16.0
-232,284,0.0,-0.022360591200263985,0.012058828570938852,16.0
-224,284,0.0,-0.015192958026656064,0.01167315175097279,16.0
-216,284,0.0,-0.02008783992075011,0.01134525422987805,16.0
-208,284,0.0,-0.015477326691186725,0.013513513513513466,16.0
-200,284,0.0,-0.016393442622950817,0.01167315175097279,16.0
-192,284,0.0018610528932639487,-0.01326978159684928,0.013044224497969,16.0
-184,284,0.0,-0.01584332709869071,0.013257974579055115,16.0
-176,284,0.0026857975885271825,-0.011807349985644519,0.015432014984120116,16.0
-168,284,0.0,-0.019371414160519497,0.012740424132829163,16.0
-160,284,0.0,-0.01820257368202574,0.011813818207000448,16.0
-152,284,0.0005500550055005481,-0.017132296626818956,0.013758323540932205,16.0
-144,284,0.0,-0.02074090505767524,0.01085498411946896,16.0
-136,284,0.0,-0.01639344262295083,0.014869957144968223,16.0
-128,284,0.0018610528932639487,-0.015647392790210563,0.016949152542372833,16.0
-120,284,0.0,-0.016393442622950803,0.014600908500973403,16.0
-112,284,0.0,-0.013157894736842103,0.011235955056179752,16.0
-104,284,0.0,-0.01820257368202574,0.011919420775254898,16.0
-96,284,0.0,-0.012345679012345649,0.013416619296160384,16.0
-88,284,0.0,-0.02234636871508382,0.012709104969677245,16.0
-80,284,0.0,-0.014084507042253492,0.011780166343482617,16.0
-72,284,0.0,-0.017047124522386606,0.015228426395939123,16.0
-64,284,0.0,-0.019760314701308214,0.016130446217235025,16.0
-56,284,0.0,-0.022053658047034422,0.011919420775254898,16.0
-48,284,0.0011062285316407018,-0.011148734985944275,0.013567025314649357,16.0
-40,284,0.0,-0.02026533786142763,0.015149309048551905,16.0
-32,284,0.0,-0.01639344262295083,0.012740424132829163,16.0
-24,284,0.0,-0.019371414160519497,0.014869957144968223,16.0
-16,284,0.0,-0.01606644576212067,0.01010101010101008,16.0
-8,284,0.0,-0.01639344262295083,0.009501637951953417,16.0
0,284,-0.150635096806018,-0.1799400113771526,-0.12379110671250476,16.0
8,284,-0.8707562533929093,-0.9330420891046695,-0.786463088561367,16.0
16,284,-1.0,-1.0,-1.0,16.0
24,284,-0.5500865051903114,-0.5835612691466083,-0.5263157894736842,16.0
32,284,-0.3432500184325002,-0.3631169636680264,-0.3220338983050848,16.0
40,284,-0.17143417568406943,-0.189377925411445,-0.15298292124294394,16.0
48,284,-0.10377358490566034,-0.11949685534591196,-0.08468608259727857,16.0
56,284,-0.0598290598290598,-0.0756995867653992,-0.04446890221056572,16.0
64,284,-0.03983385941689575,-0.05759162303664919,-0.0228279714891158,16.0
72,284,-0.030409683860491473,-0.04761904761904758,-0.01049663789908404,16.0
80,284,-0.025270758122743656,-0.04298068695758467,-0.00943396226415091,16.0
88,284,-0.02439024390243902,-0.04255319148936171,-0.006622516556291367,16.0
96,284,-0.02234636871508382,-0.03947534184182729,0.0,16.0
104,284,-0.01234567901234569,-0.034135160011328214,0.0056267257432735945,16.0
112,284,-0.007633587786259515,-0.028864287211007915,0.007194244604316521,16.0
120,284,-0.0033259301002198753,-0.025724275724275728,0.008872525350072427,16.0
128,284,-0.004684483061260295,-0.02298850574712646,0.0069647736143637635,16.0
136,284,-0.003529807261317782,-0.02628985800192027,0.010686304631692154,16.0
144,284,-0.003275845457173126,-0.02339424141749723,0.009615384615384592,16.0
152,284,0.0,-0.023301235465116275,0.012740424132829163,16.0
160,284,-0.0021580967994405545,-0.02234636871508382,0.01134525422987805,16.0
168,284,-0.0021066514421268254,-0.022360591200263985,0.01023533204384269,16.0
176,284,-0.0028907770843254613,-0.022506902973094482,0.009501637951953417,16.0
184,284,0.0,-0.022305764411027572,0.01055431131019036,16.0
192,284,0.0,-0.01663034208282009,0.012658227848101234,16.0
200,284,0.0,-0.02234636871508382,0.013513513513513466,16.0
