window_ns,phase,quadrant,count,share
64,pre,Ab,362,0.026856591735291934
64,pre,aB,5706,0.42332517249054086
64,pre,Ba,583,0.04325246680020773
64,pre,bA,5538,0.41086133986200757
64,pre,ridge,1290,0.09570442911195193
64,pulse,Ab,1307,0.5113458528951487
64,pulse,aB,1246,0.4874804381846635
64,pulse,Ba,1,0.0003912363067292645
64,pulse,bA,2,0.000782472613458529
64,pulse,ridge,0,0.0
64,recovery,Ab,396,0.04357394366197183
64,recovery,aB,1921,0.21137764084507044
64,recovery,Ba,1366,0.15030809859154928
64,recovery,bA,5013,0.551606514084507
64,recovery,ridge,392,0.043133802816901406
128,pre,Ab,2,0.00015429717636167257
128,pre,aB,6227,0.4804042586020676
128,pre,Ba,18,0.0013886745872550533
128,pre,bA,6140,0.47369233143033485
128,pre,ridge,575,0.04436043820398087
128,pulse,Ab,835,0.17294946147473073
128,pulse,aB,3978,0.823943661971831
128,pulse,Ba,0,0.0
128,pulse,bA,14,0.002899751449875725
128,pulse,ridge,1,0.00020712510356255177
128,recovery,Ab,286,0.03147007042253521
128,recovery,aB,1126,0.12389964788732394
128,recovery,Ba,448,0.04929577464788732
128,recovery,bA,7123,0.7837808098591549
128,recovery,ridge,105,0.011553697183098592
256,pre,Ab,0,0.0
256,pre,aB,5725,0.48251158870627897
256,pre,Ba,0,0.0
256,pre,bA,5775,0.48672566371681414
256,pre,ridge,365,0.03076274757690687
256,pulse,Ab,322,0.03474320241691843
256,pulse,aB,8920,0.9624514458351316
256,pulse,Ba,0,0.0
256,pulse,bA,26,0.0028053517479499353
256,pulse,ridge,0,0.0
256,recovery,Ab,174,0.01914612676056338
256,recovery,aB,113,0.012433978873239437
256,recovery,Ba,82,0.009022887323943662
256,recovery,bA,8719,0.9593970070422535
256,recovery,ridge,0,0.0
