draw,scenario,known_directness_D,known_turn_consistency_G,known_historical_circularity_C,known_signed_net_turn_deg,known_absolute_turn_deg,known_path_length_arcsec2,known_endpoint_displacement_arcsec2,outcome_directness_D,outcome_turn_consistency_G,outcome_historical_circularity_C,outcome_signed_net_turn_deg,outcome_absolute_turn_deg,outcome_path_length_arcsec2,outcome_endpoint_displacement_arcsec2
0,selected_AC_-5.3d,0.4454855382108624,0.03288953804922743,0.018237724489860708,-11.111766481157856,337.8510961305177,2.072217400274461,0.9231428838511823,0.5078757303433634,0.06156552084462067,0.030297886981689382,-19.88005633379876,322.9089279366633,1.8256657053339858,0.9272113034593297
0,alternate_AC_+7.9d,0.4454855382108624,0.03288953804922743,0.018237724489860708,-11.111766481157856,337.8510961305177,2.072217400274461,0.9231428838511823,0.6152831474027178,0.20433124671840627,0.07860967412478401,-54.112343522119254,264.82657151645907,1.506966845058812,0.9272113034593297
1,selected_AC_-5.3d,0.44508320819242636,0.033290637083691725,0.018473533527712454,-11.244784908508523,337.77620056472483,2.0755630388467408,0.923798256135529,0.6363972393243457,0.05317102392475905,0.019333131086993655,-15.469562552841143,290.93971511121777,1.948663627385213,1.2401241528397149
1,alternate_AC_+7.9d,0.44508320819242636,0.033290637083691725,0.018473533527712454,-11.244784908508523,337.77620056472483,2.0755630388467408,0.923798256135529,0.740539305823457,0.1923542717460827,0.049908372875062015,-40.92471856872576,212.75700402821545,1.6746229985196193,1.2401241528397149
2,selected_AC_-5.3d,0.44567854434052934,0.032553433757485095,0.018045066787163288,-11.001137192940737,337.9409150781587,2.072057837253526,0.9234717206965369,0.7103608845475043,0.059631679554479386,0.01727166691910608,-15.211591182033782,255.09244910897573,1.8440053399493932,1.3099092643967725
2,alternate_AC_+7.9d,0.44567854434052934,0.032553433757485095,0.018045066787163288,-11.001137192940737,337.9409150781587,2.072057837253526,0.9234717206965369,0.7762089597621658,0.22931203189641802,0.05131797815715081,-41.765409314956855,182.1335277070093,1.6875729762229685,1.3099092643967725
3,selected_AC_-5.3d,0.4458126019498223,0.03297899277578652,0.018276542196728737,-11.137327196830647,337.70974367075803,2.0794536101199053,0.9270466245615063,0.6727572996917599,0.05926845222820479,0.019395168350247665,-16.445442215687674,277.47379250544327,1.943651374733462,1.3076056504078608
3,alternate_AC_+7.9d,0.4458126019498223,0.03297899277578652,0.018276542196728737,-11.137327196830647,337.70974367075803,2.0794536101199053,0.9270466245615063,0.7613513963520001,0.21399715919995335,0.0510701232277076,-42.64118314616457,199.26051030575488,1.7174798085000265,1.3076056504078608
4,selected_AC_-5.3d,0.4469941715159371,0.03378156129895389,0.018681400293613152,-11.394679475997469,337.3047022652067,2.0870723515896548,0.9329091766926364,0.6643725785348111,0.06304818408134662,0.02116069945128493,-17.04892820585679,270.41109041078425,1.7653230405812268,1.1728322204178627
4,alternate_AC_+7.9d,0.4469941715159371,0.03378156129895389,0.018681400293613152,-11.394679475997469,337.3047022652067,2.0870723515896548,0.9329091766926364,0.7361546048282592,0.23656912218635923,0.06241767352869178,-46.71639830278713,197.47462336181772,1.593187372225265,1.1728322204178627
