draw,scenario,holdout_pair,calibration_pair_1,calibration_pair_2,known_turn_deg,outcome_turn_deg,distortion_delta_deg,residual_magnitude_arcsec2,orientation_sign_from_te_ara,target_direction_x,target_direction_y,straight_direction_x,straight_direction_y,distorted_direction_x,distorted_direction_y,opposite_direction_x,opposite_direction_y,baseline_landing_error_arcsec2,distorted_landing_error_arcsec2,opposite_landing_error_arcsec2,distorted_to_straight_error_ratio,straight_angular_error_deg,distorted_angular_error_deg,opposite_angular_error_deg,distorted_improves,distorted_beats_opposite
0,selected_AC_-5.3d,AC,AB,AD,12.922188172649477,12.289337198713632,-0.6328509739358458,0.16654973456549937,-1.0,0.0,1.0,-0.1498137182759532,0.9887142407269824,-0.13888412363105238,0.9903086388612565,-0.16072503592520185,0.9869992212898866,0.025022133333078903,0.02318736142155641,0.026856142075322657,0.9266740414536537,8.61613141831715,7.983280444381304,9.248982392253055,True,True
0,selected_AC_-5.3d,AB,AC,AD,-46.59387501135142,-48.915149412976724,-2.321274401625307,0.007667601494361298,-1.0,0.0,1.0,-0.19052301398876212,0.9816827293686275,-0.15060577730583524,0.9885939003666295,-0.23012757381414206,0.9731604696916212,0.0014675905688457602,0.0011580921335045743,0.0017764868083214279,0.7891111854278253,10.983308262932505,8.66203386130716,13.30458266455781,True,True
0,selected_AC_-5.3d,AD,AC,AB,-174.4814313058378,-171.39449213523102,3.0869391706067537,0.004254271436326285,1.0,0.0,-1.0,-0.25758251777362534,-0.9662563047853298,-0.20517470578659375,-0.9787253650056205,-0.3092428108127771,-0.9509831144455789,0.0011051888977557846,0.0008775487511923025,0.0013320270687529668,0.7940260284683169,14.926665518341293,11.839726347734514,18.01360468894802,True,True
0,alternate_AC_+7.9d,AC,AB,AD,12.922188172649477,12.289337198713632,-0.6328509739358458,0.4992179018064481,-1.0,0.0,1.0,-0.1498137182759532,0.9887142407269824,-0.13888412363105238,0.9903086388612565,-0.16072503592520185,0.9869992212898866,0.07500160197702549,0.06950203761954861,0.08049887880299096,0.9266740414536544,8.61613141831715,7.983280444381304,9.248982392253014,True,True
0,alternate_AC_+7.9d,AB,AC,AD,-46.59387501135142,-78.75458312447057,-32.16070811311915,0.007667601494361298,-1.0,0.0,1.0,-0.19052301398876212,0.9816827293686275,0.3612567896089578,0.9324663704184882,-0.6838345050662418,0.7296371493289032,0.0014675905688457602,0.002817958395646707,0.005638298179441976,1.9201257186212315,10.983308262932505,21.17739985018662,43.14401637605167,False,True
0,alternate_AC_+7.9d,AD,AC,AB,-174.4814313058378,-159.46945751928916,15.011973786548626,0.004254271436326285,1.0,0.0,-1.0,-0.25758251777362534,-0.9662563047853298,0.0014889096092767506,-0.9999988915734734,-0.49907224686439955,-0.8665603801292325,0.0011051888977557846,6.334227377274434e-06,0.0021977717755405804,0.005731352703720444,14.926665518341293,0.0853082682058371,29.9386393048899,True,True
1,selected_AC_-5.3d,AC,AB,AD,14.568365920025702,15.168686122842391,0.6003202028166889,0.046903701107195994,-1.0,0.0,1.0,-0.14916243253522843,0.9888127065932019,-0.15951440409659248,0.987195601127613,-0.13879408616884062,0.9903212618360552,0.0070159199578784925,0.0075058815876033955,0.006525765777811567,1.06983569263425,8.578391429082647,9.178711631899334,7.978071226265995,False,False
1,selected_AC_-5.3d,AB,AC,AD,-45.8994300937688,-39.15728731067243,6.7421427830963685,0.22228994372502706,1.0,0.0,-1.0,0.1846904703114527,-0.9827967389934372,0.2987947844560171,-0.9543173878652124,0.06803172666092534,-0.9976831582058169,0.04123255082396068,0.06719087212674574,0.015131535574151492,1.6295589475803278,10.643086682617731,17.385229465714083,3.900943899521309,False,False
1,selected_AC_-5.3d,AD,AC,AB,-174.51049273661667,-153.20463883202947,21.30585390458719,0.32682165176768607,1.0,0.0,-1.0,-0.2587377022132712,-0.9659476183796908,0.10991956493377555,-0.9939404857660089,-0.5920276519695897,-0.8059176504478448,0.08529028474975124,0.035978638386671084,0.20361925259217464,0.42183747530255516,14.99517504186672,6.310678862720447,36.30102894645391,True,True
1,alternate_AC_+7.9d,AC,AB,AD,14.568365920025702,15.168686122842391,0.6003202028166889,0.3795718683481447,-1.0,0.0,1.0,-0.14916243253522843,0.9888127065932019,-0.15951440409659248,0.987195601127613,-0.13879408616884062,0.9903212618360552,0.05677688079468889,0.06074193359059804,0.05281026977008224,1.0698356926342465,8.578391429082602,9.178711631899334,7.978071226265951,False,False
1,alternate_AC_+7.9d,AB,AC,AD,-45.8994300937688,-62.2955347522156,-16.396104658446802,0.22228994372502706,1.0,0.0,-1.0,0.1846904703114527,-0.9827967389934372,-0.10024047006169631,-0.994963239603258,0.45459985793243074,-0.8906957781239416,0.04123255082396068,0.02231055939415,0.10393295666323836,0.5410909329719444,10.643086682617731,5.753017975829038,27.03919134106452,True,True
1,alternate_AC_+7.9d,AD,AC,AB,-174.51049273661667,-126.8408612984706,47.66963143814607,0.32682165176768607,1.0,0.0,-1.0,-0.2587377022132712,-0.9659476183796908,0.5398651044757278,-0.841751548242955,-0.8883353428514261,-0.45919529466343545,0.08529028474975124,0.1838635128165434,0.33989599649466584,2.155738058045112,14.99517504186672,32.67445639627931,62.6648064800128,False,True
2,selected_AC_-5.3d,AC,AB,AD,14.497531331591743,16.417469734288765,1.9199384026970203,0.06301727767475152,-1.0,0.0,1.0,-0.149070971637052,0.988826499146936,-0.18211591613651268,0.9832770683229417,-0.11585865553677692,0.9932657106420268,0.009420398376673205,0.011524732224526268,0.007313420120930425,1.2233805582005763,8.573091854279463,10.493030256976468,6.6531534515824955,False,False
2,selected_AC_-5.3d,AB,AC,AD,-45.41331565224183,-38.83825485628976,6.575060795952071,0.3353452941492147,1.0,0.0,-1.0,0.1838582059983928,-0.9829527761225626,0.2952016803601254,-0.9554349626806413,0.07009615060145998,-0.9975402396248774,0.06192044182042595,0.10011619866755099,0.023520882625905303,1.616852136777313,10.59457060326806,17.16963139922012,4.019509807315879,False,False
2,selected_AC_-5.3d,AD,AC,AB,-174.47102613554972,-135.15202014550474,39.31900599004498,0.3987567131912886,1.0,0.0,-1.0,-0.2588997699517173,-0.9659041925154626,0.4117405048730209,-0.911301133899717,-0.8123257960088648,-0.5832039104280458,0.10412943106912924,0.1679507855251276,0.364069940904318,1.6129040925387248,15.004788405929162,24.31421758411581,54.32379439597415,False,True
2,alternate_AC_+7.9d,AC,AB,AD,14.497531331591743,16.417469734288765,1.9199384026970203,0.39568544491570024,-1.0,0.0,1.0,-0.149070971637052,0.988826499146936,-0.18211591613651268,0.9832770683229417,-0.11585865553677692,0.9932657106420268,0.059150675187775295,0.0723637860291617,0.04592096011099546,1.2233805582005794,8.573091854279463,10.493030256976468,6.653153451582386,False,False
2,alternate_AC_+7.9d,AB,AC,AD,-45.41331565224183,-63.56663333893839,-18.15331768669656,0.3353452941492147,1.0,0.0,-1.0,0.1838582059983928,-0.9829527761225626,-0.13154268162194857,-0.9913105078186686,0.4809564556945525,-0.8767444825750168,0.06192044182042595,0.04420836085456514,0.166498528177162,0.7139542218185845,10.59457060326806,7.558747083428401,28.747888289964624,True,True
