eligible,pass,reason,event,pre_error_median,post_error_median,phase_control_q05,phase_control_median
False,False,missing onset or reclosure,GW170104,,,,
False,False,missing onset or reclosure,GW170608,,,,
False,False,missing onset or reclosure,GW170809,,,,
False,False,missing onset or reclosure,GW170814,,,,
False,False,missing onset or reclosure,GW170818,,,,
