event,role,detector,path,sha256,bytes,fs_hz,duration_s,n_samples,finite_fraction,zero_fraction,detector_metadata,dq_shortnames,dq_event_values,required_dq_bits,public_dq_pass,injection_shortnames,injection_event_values,event_frames,offsource_frames,c1_low_saturation,c1_high_saturation,c2_low_saturation,c2_high_saturation,max_native_z
GW150914,development_only,H1,F:/SystemFormulaFolder/_data_cache/GWOSC/T427/GW150914/H-H1_LOSC_4_V2-1126259446-32.hdf5,6e6976e932074a3b4e4a398ed02c62e30fcaa2781811762caea04937133583f6,1040592,4096.0,32.0,131072,1.0,0.0,H1,DATA|CBC_CAT1|CBC_CAT2|CBC_CAT3|BURST_CAT1|BURST_CAT2|BURST_CAT3,127,"{""BURST_CAT1"": true, ""CBC_CAT1"": true, ""DATA"": true}",True,NO_CBC_HW_INJ|NO_BURST_HW_INJ|NO_DETCHAR_HW_INJ|NO_CW_HW_INJ|NO_STOCH_HW_INJ,31,448,4096,0,0,0,3,9.45063225941546
GW150914,development_only,L1,F:/SystemFormulaFolder/_data_cache/GWOSC/T427/GW150914/L-L1_LOSC_4_V2-1126259446-32.hdf5,56706e68c811b15548f1d7ed69d7c48d5fcc62aeb21fbaf131355f3cc5c07189,1007420,4096.0,32.0,131072,1.0,0.0,L1,DATA|CBC_CAT1|CBC_CAT2|CBC_CAT3|BURST_CAT1|BURST_CAT2|BURST_CAT3,127,"{""BURST_CAT1"": true, ""CBC_CAT1"": true, ""DATA"": true}",True,NO_CBC_HW_INJ|NO_BURST_HW_INJ|NO_DETCHAR_HW_INJ|NO_CW_HW_INJ|NO_STOCH_HW_INJ,23,448,4096,0,0,0,0,7.5344168089778965
GW170104,primary_holdout,H1,F:/SystemFormulaFolder/_data_cache/GWOSC/T427/GW170104/H-H1_LOSC_4_V1-1167559920-32.hdf5,6edb11183ef3da729d5387fc0f307ae96a35cac9f49cf1c2680d6b40ab80d7dc,1033609,4096.0,32.0,131072,1.0,0.0,H1,DATA|CBC_CAT1|CBC_CAT2|CBC_CAT3|BURST_CAT1|BURST_CAT2|BURST_CAT3,127,"{""BURST_CAT1"": true, ""CBC_CAT1"": true, ""DATA"": true}",True,NO_CBC_HW_INJ|NO_BURST_HW_INJ|NO_DETCHAR_HW_INJ|NO_CW_HW_INJ|NO_STOCH_HW_INJ,23,448,4096,0,0,0,0,2.2597402284391177
GW170104,primary_holdout,L1,F:/SystemFormulaFolder/_data_cache/GWOSC/T427/GW170104/L-L1_LOSC_4_V1-1167559920-32.hdf5,50c6fb93f8981cf8f62b079626b4766ef3a4e74ce0a5543c7d040c68697ab7a6,1005007,4096.0,32.0,131072,1.0,0.0,L1,DATA|CBC_CAT1|CBC_CAT2|CBC_CAT3|BURST_CAT1|BURST_CAT2|BURST_CAT3,127,"{""BURST_CAT1"": true, ""CBC_CAT1"": true, ""DATA"": true}",True,NO_CBC_HW_INJ|NO_BURST_HW_INJ|NO_DETCHAR_HW_INJ|NO_CW_HW_INJ|NO_STOCH_HW_INJ,23,448,4096,0,0,0,0,5.664389954759455
GW170608,primary_holdout,H1,F:/SystemFormulaFolder/_data_cache/GWOSC/T427/GW170608/H-H1_LOSC_CLN_4_V1-1180922478-32.hdf5,5c7588974a19943bdba463ccd3b7921ac28e2ca83bf0f684542779305cb6d2b5,1043644,4096.0,32.0,131072,1.0,0.0,H1,DATA|CBC_CAT1|CBC_CAT2|CBC_CAT3|BURST_CAT1|BURST_CAT2|BURST_CAT3,127,"{""BURST_CAT1"": true, ""CBC_CAT1"": true, ""DATA"": true}",True,NO_CBC_HW_INJ|NO_BURST_HW_INJ|NO_DETCHAR_HW_INJ|NO_CW_HW_INJ|NO_STOCH_HW_INJ,23,448,4096,0,0,0,0,3.2735645739097063
GW170608,primary_holdout,L1,F:/SystemFormulaFolder/_data_cache/GWOSC/T427/GW170608/L-L1_LOSC_CLN_4_V1-1180922478-32.hdf5,8bd6dcddbc4095fdb18b36833f9e937d81abf26d2d6e739e73da7fd0ca37bcba,1034076,4096.0,32.0,131072,1.0,0.0,L1,DATA|CBC_CAT1|CBC_CAT2|CBC_CAT3|BURST_CAT1|BURST_CAT2|BURST_CAT3,127,"{""BURST_CAT1"": true, ""CBC_CAT1"": true, ""DATA"": true}",True,NO_CBC_HW_INJ|NO_BURST_HW_INJ|NO_DETCHAR_HW_INJ|NO_CW_HW_INJ|NO_STOCH_HW_INJ,23,448,4096,0,0,0,0,3.773409892350285
GW170809,primary_holdout,H1,F:/SystemFormulaFolder/_data_cache/GWOSC/T427/GW170809/H-H1_GWOSC_4KHZ_R1-1186302504-32.hdf5,98b6f2e355b94276bcb84dafb2691cab41e2ff4e2fad0210ad3be36b2cc15602,1033224,4096.0,32.0,131072,1.0,0.0,H1,DATA|CBC_CAT1|CBC_CAT2|CBC_CAT3|BURST_CAT1|BURST_CAT2|BURST_CAT3,127,"{""BURST_CAT1"": true, ""CBC_CAT1"": true, ""DATA"": true}",True,NO_CBC_HW_INJ|NO_BURST_HW_INJ|NO_DETCHAR_HW_INJ|NO_CW_HW_INJ|NO_STOCH_HW_INJ,23,448,4096,0,0,0,0,1.7707204441892224
GW170809,primary_holdout,L1,F:/SystemFormulaFolder/_data_cache/GWOSC/T427/GW170809/L-L1_GWOSC_4KHZ_R1-1186302504-32.hdf5,29840b0ad4dbb3dbdd48e486664e95a8fc0f1565d8413d434d8daf10f6f65c23,1037707,4096.0,32.0,131072,1.0,0.0,L1,DATA|CBC_CAT1|CBC_CAT2|CBC_CAT3|BURST_CAT1|BURST_CAT2|BURST_CAT3,127,"{""BURST_CAT1"": true, ""CBC_CAT1"": true, ""DATA"": true}",True,NO_CBC_HW_INJ|NO_BURST_HW_INJ|NO_DETCHAR_HW_INJ|NO_CW_HW_INJ|NO_STOCH_HW_INJ,23,448,4096,0,0,0,0,4.274292434530517
GW170809,primary_holdout,V1,F:/SystemFormulaFolder/_data_cache/GWOSC/T427/GW170809/V-V1_GWOSC_4KHZ_R1-1186302504-32.hdf5,79718107761301cd24ebb52ad40111b365dae95579c55638654391df27f63a4b,1036018,4096.0,32.0,131072,1.0,0.0,V1,DATA|CBC_CAT1|CBC_CAT2|CBC_CAT3|BURST_CAT1|BURST_CAT2|BURST_CAT3,127,"{""BURST_CAT1"": true, ""CBC_CAT1"": true, ""DATA"": true}",True,NO_CBC_HW_INJ|NO_BURST_HW_INJ|NO_DETCHAR_HW_INJ|NO_CW_HW_INJ|NO_STOCH_HW_INJ,31,448,4096,0,0,0,0,1.411017918519625
GW170814,primary_holdout,H1,F:/SystemFormulaFolder/_data_cache/GWOSC/T427/GW170814/H-H1_LOSC_CLN_4_V1-1186741845-32.hdf5,b3cb3b278fe78154371ab2ffd9fc03dd23a1fd17e16e05fe15f098ad31344d4e,977044,4096.0,32.0,131072,1.0,0.0,H1,DATA|CBC_CAT1|CBC_CAT2|CBC_CAT3|BURST_CAT1|BURST_CAT2|BURST_CAT3,127,"{""BURST_CAT1"": true, ""CBC_CAT1"": true, ""DATA"": true}",True,NO_CBC_HW_INJ|NO_BURST_HW_INJ|NO_DETCHAR_HW_INJ|NO_CW_HW_INJ|NO_STOCH_HW_INJ,23,448,4096,0,0,0,0,1.7244148272363633
