event,time_s,c1,c2,z_native,agreement
GW170104,-1.4977049827575684,0.21084306443988166,0.14047675679927696,-0.2661799358991887,0.9727164529855681
GW170104,-1.4937987327575684,0.8510976670643939,0.12510491009034194,-0.12286150421352335,0.5155704213123502
GW170104,-1.4898924827575684,1.0474317655920644,0.11962145296199735,0.04286103950003467,0.36541888873330575
GW170104,-1.4859862327575684,0.21283883241875706,0.1223733119735235,0.17307746485190606,0.9490864908495409
GW170104,-1.4820799827575684,1.0225703993964963,0.139485407622288,0.22091498320749686,0.37450162213604776
GW170104,-1.4781737327575684,0.18691213569704113,0.16834451955862786,0.16385394262087438,0.9477931173058926
GW170104,-1.4742674827575684,0.29062435015996607,0.2001641172576935,-0.0010071123302670681,0.9092027047563366
GW170104,-1.4703612327575684,0.12591333061042842,0.21566901638788252,-0.26195242575926425,0.9250074022927596
GW170104,-1.4664549827575684,0.14489451999900896,0.2080405148279417,-0.5911838334273242,0.9200697614251235
GW170104,-1.4625487327575684,0.24657525952152243,0.20134519074875,-0.9565746730222746,0.8811942201441031
GW170104,-1.4586424827575684,0.602362675465403,0.19815549418202383,-1.300653886636183,0.6665350098311957
GW170104,-1.4547362327575684,0.8849084371083711,0.16601026790582035,-1.4872218970407203,0.5187632012125096
GW170104,-1.4508299827575684,0.5522835684361067,0.15385859310631786,-1.353822388084406,0.7479028616307491
GW170104,-1.4469237327575684,0.3932860956050819,0.16731633921962774,-0.9090298888713746,0.839525915520018
GW170104,-1.4430174827575684,0.5133819065641301,0.17134501554697337,-0.34307026569431387,0.7806106453233708
GW170104,-1.4391112327575684,0.691375658408854,0.15394348993786316,0.17319302090707644,0.8590953329378819
GW170104,-1.4352049827575684,0.23423773377534213,0.14296482261378135,0.5583338828932475,0.9845303457599034
GW170104,-1.4312987327575684,1.0776262330551343,0.15310210205578811,0.7897155563857833,0.3855771058201609
GW170104,-1.4273924827575684,0.370708477970824,0.17867348069083377,0.8792251299794689,0.8717419671538776
GW170104,-1.4234862327575684,0.2759184894993374,0.2167613978056131,0.8544132798444379,0.9615878733358142
GW170104,-1.4195799827575684,0.3631417151798107,0.27601274193160535,0.7489254166999928,0.902947747680342
GW170104,-1.4156737327575684,0.2426468175274015,0.32245221711662564,0.5948791529330629,0.9479547072366256
GW170104,-1.4117674827575684,0.24618255295134117,0.3254120989814287,0.4171620140076625,0.9313502513606982
GW170104,-1.4078612327575684,0.23059102149633684,0.29700621870831284,0.2201062243365986,0.9313941552587539
GW170104,-1.4039549827575684,0.28954033014453734,0.25616266744098065,-0.013224742899900652,0.9055887678325142
GW170104,-1.4000487327575684,0.19599745449531752,0.22115573873566446,-0.29849876964564137,0.9347047825677369
GW170104,-1.3961424827575684,0.6799141061693906,0.18444338178778638,-0.6250318591033379,0.836592810430669
GW170104,-1.3922362327575684,0.1694089552669272,0.1638049861425753,-0.9486945985940902,0.9472877982991235
GW170104,-1.3883299827575684,0.1625838160949133,0.19103140297053703,-1.21063998091904,0.9276792957879881
GW170104,-1.3844237327575684,0.14107178286784922,0.280326442808583,-1.3535372874657994,0.8634172156796664
GW170104,-1.3805174827575684,0.13586001148470073,0.3339923943399059,-1.3383745963440097,0.8221908238377752
GW170104,-1.3766112327575684,0.7731966934990945,0.2962451997739873,-1.1783080781671664,0.5322832792495822
GW170104,-1.3727049827575684,0.1766965506016024,0.2614974627550213,-0.9332223936434408,0.8803763395993027
GW170104,-1.3687987327575684,0.2770145237196209,0.24154949971981216,-0.6752952481001802,0.8625091225962713
GW170104,-1.3648924827575684,0.18083345230485642,0.2243022516608819,-0.45092648229208665,0.9240962308776994
GW170104,-1.3609862327575684,0.18853799664964938,0.21476015662867093,-0.26817754172665936,0.9358803520773737
GW170104,-1.3570799827575684,0.1909785349643113,0.2078392823784649,-0.10902251597391194,0.9330129808613444
GW170104,-1.3531737327575684,0.22352357832384218,0.21155432530658425,0.04931708372212906,0.918138099523773
GW170104,-1.3492674827575684,0.2233971930111747,0.22820994993129431,0.20476709896292145,0.9030653065931866
GW170104,-1.3453612327575684,0.3556762840617836,0.22445251110162834,0.32472974222427586,0.8492181910453265
GW170104,-1.3414549827575684,0.223250095599054,0.22643657286451097,0.36876328986015505,0.9094786443930355
GW170104,-1.3375487327575684,0.1981121753362503,0.2555342154227932,0.3027433990673354,0.9036433206766954
GW170104,-1.3336424827575684,0.14379435229582496,0.2967669450555663,0.10835240095737875,0.8874864174568885
GW170104,-1.3297362327575684,0.14884473716823976,0.32236454917450147,-0.21420804042266894,0.8749111755509935
GW170104,-1.3258299827575684,0.32598037255945256,0.3415541092339968,-0.6404613332186984,0.8071967943810505
GW170104,-1.3219237327575684,0.19657849459869908,0.371092069998748,-1.1064221784651471,0.8570059786738083
GW170104,-1.3180174827575684,0.1469332375956936,0.4058833916168656,-1.5070352094005073,0.8384184451443979
GW170104,-1.3141112327575684,0.7336389618193655,0.3983755038603694,-1.7284210382495608,0.5719663933121257
GW170104,-1.3102049827575684,0.4635678671875534,0.34471272018410726,-1.71003263001758,0.7508350392533919
GW170104,-1.3062987327575684,0.14753405913396012,0.3732055010164732,-1.4926406253483924,0.8557789511791596
GW170104,-1.3023924827575684,0.148556238425296,0.4264467269963663,-1.1760126345790152,0.8006385350062464
GW170104,-1.2984862327575684,0.1382325722056458,0.412896932068736,-0.8429309877244602,0.7988177337787581
GW170104,-1.2945799827575684,0.25862580194686546,0.35343102242141866,-0.549121917284049,0.8024143740050308
GW170104,-1.2906737327575684,0.15808630484504282,0.3085122762485553,-0.3399556964789505,0.8528571647010963
GW170104,-1.2867674827575684,0.15884381802437444,0.29926228124636095,-0.25176749768268286,0.8556550580607256
GW170104,-1.2828612327575684,0.14729282701360713,0.3162581333492561,-0.30108021432840976,0.8429666939387004
GW170104,-1.2789549827575684,0.5375385889199235,0.33384945879135924,-0.4728009451660432,0.6740631112608766
GW170104,-1.2750487327575684,0.5471338453796296,0.31229132989822445,-0.7129869151310879,0.6737148739998349
GW170104,-1.2711424827575684,0.5728561224786497,0.24125734482374633,-0.9250612750527418,0.7481765250421023
GW170104,-1.2672362327575684,0.1858219792034697,0.15885717842105151,-0.9959101245279007,0.9612055332608397
GW170104,-1.2633299827575684,0.2286879613059924,0.12811205372342493,-0.8616957135212422,0.9786993028184836
GW170104,-1.2594237327575684,0.6930535472791479,0.1449579431194454,-0.55898438749734,0.8378034423958353
GW170104,-1.2555174827575684,0.25872038122797436,0.2103658924019176,-0.18775082050673148,0.9083849959641955
GW170104,-1.2516112327575684,0.2702936254485766,0.3682139473230376,0.15513562339397732,0.8235658618548367
GW170104,-1.2477049827575684,0.21115799332914498,0.5583875029566275,0.4030652716868714,0.7061534823426467
GW170104,-1.2437987327575684,0.18943305523475024,0.6588590260113234,0.5210304080014297,0.6379306851749387
GW170104,-1.2398924827575684,0.25858777528880794,0.6537881946431616,0.4993594952837606,0.6410431965000138
GW170104,-1.2359862327575684,0.25879919235026777,0.5817279568729716,0.3485549924990483,0.6981879238955924
GW170104,-1.2320799827575684,0.18565278549003364,0.47704624486513747,0.09871608020295825,0.7843516105128365
GW170104,-1.2281737327575684,0.3256310400784895,0.3688577152641382,-0.1973180715780295,0.8433304385622171
GW170104,-1.2242674827575684,0.24317618388973805,0.27993054846181675,-0.4639024629591766,0.8954411226544415
GW170104,-1.2203612327575684,0.9173842124734968,0.2757577479264802,-0.6300233312084269,0.44097291494907254
GW170104,-1.2164549827575684,0.26402720692790216,0.33171260008373327,-0.6665962066740577,0.8477212570431737
GW170104,-1.2125487327575684,0.1639027900925819,0.4314238956543973,-0.5983275556373487,0.8075107595999838
GW170104,-1.2086424827575684,0.14513686076215584,0.5457222561918214,-0.4805166579582689,0.7183703992153783
GW170104,-1.2047362327575684,0.27374895831056895,0.6134826265025152,-0.36358882061489706,0.6515375132878856
GW170104,-1.2008299827575684,0.16669514192858326,0.6128749303327097,-0.27886934193689106,0.6607346460681853
GW170104,-1.1969237327575684,0.2889064450153227,0.5304153152306781,-0.23592635809483947,0.6926895800495341
GW170104,-1.1930174827575684,0.18828828787571242,0.3998265953682021,-0.22804434871000706,0.800868788590632
GW170104,-1.1891112327575684,0.20238391935149708,0.289119750461848,-0.23450357788565307,0.8743136036783041
GW170104,-1.1852049827575684,0.3254027374533247,0.21378634340100944,-0.23247260996217517,0.8450355939515557
GW170104,-1.1812987327575684,0.9424980806392589,0.1681720804198029,-0.21743116396803747,0.4138702844222395
GW170104,-1.1773924827575684,0.20578929407455043,0.15190381008640122,-0.2068214499102516,0.9463957793851179
GW170104,-1.1734862327575684,0.2113315393284837,0.16222810137729482,-0.2048784106808548,0.9428919139589327
GW170104,-1.1695799827575684,0.19065521668188756,0.16234714262668515,-0.18514632375845635,0.9494490878218997
GW170104,-1.1656737327575684,0.4283200916563825,0.14780873531021077,-0.1198834021773261,0.9667671798013567
GW170104,-1.1617674827575684,1.0439797585296162,0.1472265480973578,-0.010833209244341113,0.3596058686131022
GW170104,-1.1578612327575684,0.24185258165617393,0.1605366769727063,0.10670304429780553,0.9142076591804934
GW170104,-1.1539549827575684,1.1435394868115232,0.18853796500179065,0.18513691641910446,0.45491644769701245
GW170104,-1.1500487327575684,0.42210705288559414,0.236142347182576,0.19267692164475603,0.7699671808662045
GW170104,-1.1461424827575684,0.2124185296023035,0.29257680665273955,0.1254365365384208,0.8628188883324399
GW170104,-1.1422362327575684,0.17945458461072383,0.31832453420206264,-0.0043715478188998125,0.8432526062251408
GW170104,-1.1383299827575684,0.17408794186208973,0.28355523977930885,-0.18280638758430057,0.8588862866846989
GW170104,-1.1344237327575684,0.997732471743894,0.21341497848908952,-0.3923157924751729,0.3715091486897911
