eligible,reason,event,max_v1_z
False,no V1 file,GW170104,
False,no V1 file,GW170608,
False,V1 native activity never persisted above z=3,GW170809,1.411017918519625
False,V1 native activity never persisted above z=3,GW170814,2.7028341371994205
False,V1 native activity never persisted above z=3,GW170818,1.2130912564209504
