variable,field,rho_with_prompt_participation,rho_with_child_displacement
left equality boundary,left_time_us,1.0,1.0
child-window width,window_width_us,-1.0,-1.0
holdout effective delayed weight,effective_delayed_holdout,-0.9609022556390976,-0.9609022556390976
mean delayed membership weight,mean_delayed_weight_C,-0.6496240601503759,-0.6496240601503759
population child skewness,population_skewness,-0.46917293233082696,-0.46917293233082696
