salt,valid,fit_success,n_calibration_C,n_holdout_C,n_calibration_AC,n_holdout_AC,n_prompt,n_delayed,left_time_us,mode_time_us,right_time_us,population_local_mode,population_local_mean,population_local_median,population_skewness,holdout_C_events_in_window,holdout_AC_events_in_window,effective_delayed_holdout,holdout_weighted_mode,holdout_weighted_mean,holdout_weighted_median,mean_delayed_weight_C,mean_delayed_weight_AC,median_delayed_weight_C,median_delayed_weight_AC,C_median_weight_greater_than_AC,prompt_participation,delayed_participation,child_displacement_from_0p5,window_width_us,crest_fraction_linear_time
400,True,True,6198,2718,5934,2598,26.31227914866174,180.876344530696,0.568857971327256,0.7855,1.3828086704815925,0.7063064837018814,1.0925127777611845,1.1142913342567329,-0.1694814196631712,91,62,8.98271115102617,1.875,1.0507515862197472,1.038135527280485,0.0987111115497382,0.0987805511235282,0.099071383815427,0.099071383815427,False,0.1269967369896827,0.8730032630103173,0.20630648370188143,0.8139506991543365,0.26616111872356235
401,True,True,6251,2665,5991,2541,37.94898619517448,182.0914233145789,0.62184869956391,0.7855,1.1142334573678674,0.8496564971154434,1.1104954506651297,1.1457363053383758,-0.225709529357718,49,45,4.812915280871948,1.125,1.0651882706180564,1.0713541544701313,0.0982227608341214,0.0982656470962836,0.0980732629484148,0.0980732629484148,False,0.172463713732056,0.8275362862679441,0.34965649711544344,0.4923847578039574,0.3323646758806609
402,True,True,6212,2704,5975,2557,66.64424018290431,162.2088290312092,0.7003521825175062,0.7855,0.8959732331927139,1.0348876082427962,1.1038216169601716,1.1340321644456124,-0.2331945575859093,18,9,1.5405295450530805,0.875,0.8031853022941373,0.7600685437431433,0.0855849747251711,0.0855849747251711,0.0855849747251711,0.0855849747251711,False,0.2912097286340187,0.7087902713659813,0.5348876082427962,0.19562105067520774,0.4352691961759568
403,True,True,6278,2638,5970,2562,39.04403402737408,194.92207190321045,0.616474450541513,0.7855,1.1363281583024225,0.834411440220271,1.114221968895639,1.1480083946081912,-0.2192123659243965,56,31,5.811764195514408,1.875,1.0886380587862896,1.0463340076962844,0.1037815034913287,0.1037765099410827,0.1035985579686789,0.1035985579686789,False,0.16687901810426364,0.8331209818957364,0.33441144022027103,0.5198537077609096,0.325140605780242
404,True,True,6241,2675,5902,2630,43.733985567683234,140.6364903271583,0.6706597848863334,0.7855,0.9584656576422708,0.9803821405671476,1.124072655265037,1.1613315127130477,-0.2451469253150859,40,23,3.0629833701534523,1.875,1.1869020265458603,1.1739329790868973,0.0765745842538362,0.0765745842538362,0.0765745842538362,0.0765745842538362,False,0.2372070981290278,0.7627929018709723,0.48038214056714756,0.2878058727559374,0.3990197073256125
405,True,True,6272,2644,5957,2575,44.89185844085355,179.00111798061192,0.6455349638652513,0.7855,1.0291378904916704,0.9161705078351534,1.119688066679177,1.1580055136404734,-0.2410567634833846,43,28,4.110432562179224,1.625,1.042850538394701,0.9570606064242208,0.0955914549344005,0.095628739472128,0.0955218571306427,0.0955218571306427,False,0.20050588079345213,0.7994941192065479,0.4161705078351534,0.38360292662641904,0.3648695732476957
406,True,True,6284,2632,5943,2589,55.44927130038594,174.4400000785523,0.6731177226200221,0.7855,0.9525882524362392,0.9857770532443296,1.1173157159857054,1.1557893482118768,-0.2489786217557515,39,21,3.6111376197655423,1.875,0.9506566786307618,0.8777443492016916,0.0925932723016805,0.0925932723016804,0.0925932723016804,0.0925932723016804,False,0.24119990884214024,0.7588000911578597,0.4857770532443296,0.2794705298162171,0.4021256819238926
407,True,True,6281,2635,5973,2559,59.80863635456416,173.38449760502692,0.6820711720518737,0.7855,0.9321820126799976,1.0045308239984272,1.1217594819539367,1.1573283771947012,-0.2430861857985169,22,14,2.004809199874606,0.875,0.9082840131179988,0.8759133927334227,0.0911276909033911,0.0911276909033911,0.0911276909033912,0.0911276909033912,False,0.25647683248224673,0.7435231675177533,0.5045308239984272,0.25011084062812383,0.41353196722052094
408,True,True,6246,2670,5999,2533,29.930107307711943,162.3512538099833,0.6048764848633573,0.7855,1.1878229218381209,0.8017252998865315,1.102149024345655,1.1341216356400363,-0.2122802076225708,62,53,5.496003699025643,0.625,1.0457789370939454,0.8819261025817258,0.0886452209520265,0.0886253311814472,0.088762349600993,0.088762349600993,False,0.1556578710163787,0.8443421289836213,0.3017252998865315,0.5829464369747636,0.30984581718004744
409,True,True,6203,2713,5951,2581,49.547856277931935,95.83810463861168,0.7229268658082718,0.7855,0.85907278706725,1.057813896977887,1.085360857438991,1.0935986240794642,-0.1904002326641831,25,8,1.322033611598779,0.375,0.8235141607593959,0.6944185349877321,0.0528813444639511,0.0528813444639511,0.0528813444639511,0.0528813444639511,False,0.34080220652373755,0.6591977934762625,0.557813896977887,0.13614592125897818,0.4596034432254559
