run,field_g,turn_fraction,raw_pattern_correlation,full_inversion_error
EMU00066571,25.0,0.3,-0.24475198933859232,1.2646755904880425
EMU00066571,25.0,0.31,-0.2785472001485038,1.2153967184327799
EMU00066571,25.0,0.32,-0.3270970434839994,1.1919721976940734
EMU00066571,25.0,0.33,-0.3609405005461433,1.1469432024535327
EMU00066571,25.0,0.34,-0.40527791277061415,1.1177273995048156
EMU00066571,25.0,0.35,-0.43589101996396545,1.0805567551252542
EMU00066571,25.0,0.36,-0.47490528845981533,1.04858055447737
EMU00066571,25.0,0.37,-0.508125782406909,1.0135537860424593
EMU00066571,25.0,0.38,-0.5402899906569164,0.9801475113305049
EMU00066571,25.0,0.39,-0.5727565466284291,0.9474545518074307
EMU00066571,25.0,0.4,-0.5951345983660766,0.9171571809167337
EMU00066571,25.0,0.41,-0.6303173795254046,0.8838738000679358
EMU00066571,25.0,0.42,-0.6406336359834321,0.8617215154261463
EMU00066571,25.0,0.43,-0.6707492273060124,0.8354265069738329
EMU00066571,25.0,0.44,-0.6656155156047603,0.827792742249372
EMU00066571,25.0,0.45,-0.7007702225743723,0.7978867991672776
EMU00066571,25.0,0.46,-0.6862855817502296,0.7990937031494659
EMU00066571,25.0,0.47,-0.7241662314360006,0.7668792343695126
EMU00066571,25.0,0.48,-0.6979612862629031,0.7804938259291538
EMU00066571,25.0,0.49,-0.7342766386656191,0.7529121938450356
EMU00066571,25.0,0.5,-0.6946700899149304,0.7814472600055231
EMU00066571,25.0,0.51,-0.7347662099271033,0.7522497845046149
EMU00066571,25.0,0.52,-0.6982105229727256,0.780360805914598
EMU00066571,25.0,0.53,-0.7244447288798875,0.7662045016039992
EMU00066571,25.0,0.54,-0.6866817413139371,0.7980955494208215
EMU00066571,25.0,0.55,-0.7008861971754529,0.7973241249281241
EMU00066571,25.0,0.56,-0.6661617587636615,0.8274524512257678
EMU00066571,25.0,0.57,-0.671433566815088,0.8343644379686552
EMU00066571,25.0,0.58,-0.6415068141118668,0.8600613526881319
EMU00066571,25.0,0.59,-0.6319811525244329,0.880978654764856
EMU00066571,25.0,0.6,-0.5970064922847085,0.9154320306983564
EMU00066571,25.0,0.61,-0.57404931460813,0.9461116662905467
EMU00066571,25.0,0.62,-0.5421608991900617,0.9785494457728162
EMU00066571,25.0,0.63,-0.5097091441759769,1.012745140084546
EMU00066571,25.0,0.64,-0.4775082030219579,1.0495948128655825
EMU00066571,25.0,0.65,-0.4375126637774761,1.0830921921002925
EMU00066571,25.0,0.66,-0.40812280443627447,1.1197712621906881
EMU00066571,25.0,0.67,-0.3624723919320287,1.1486995331582661
EMU00066571,25.0,0.68,-0.33032862521471795,1.1918820894672426
EMU00066571,25.0,0.69,-0.2795350119250211,1.2157110268734221
EMU00066571,25.0,0.7,-0.24740264994368863,1.2645002934326555
EMU00066584,20.0,0.3,-0.2901887255671754,1.181216317687189
EMU00066584,20.0,0.31,-0.34247630114272143,1.134424429634532
EMU00066584,20.0,0.32,-0.3948009383259396,1.0891279886317968
EMU00066584,20.0,0.33,-0.44485503197985327,1.0417464841677149
EMU00066584,20.0,0.34,-0.4935014979009061,0.9954722962105192
EMU00066584,20.0,0.35,-0.5394487983180932,0.9484148984935432
EMU00066584,20.0,0.36,-0.5838985800368105,0.901749659969056
EMU00066584,20.0,0.37,-0.6259338596014702,0.8549357092053536
