run,field_g,detector_label_shift,full_inversion_error
EMU00066571,25.0,0,0.7058689930979029
EMU00066571,25.0,1,0.8142911643607867
EMU00066571,25.0,2,0.8442555988450702
EMU00066571,25.0,3,0.8098957150608583
EMU00066571,25.0,4,0.8950518017799747
EMU00066571,25.0,5,0.960053753355193
EMU00066571,25.0,6,0.9607121626921545
EMU00066571,25.0,7,1.0485695859223727
EMU00066571,25.0,8,1.1096098356304183
EMU00066571,25.0,9,1.1357388766316099
EMU00066571,25.0,10,1.2073343838253665
EMU00066571,25.0,11,1.2735896633972583
EMU00066571,25.0,12,1.315116068158894
EMU00066571,25.0,13,1.3634683943231476
EMU00066571,25.0,14,1.4242776767837335
EMU00066571,25.0,15,1.4611531711371375
EMU00066571,25.0,16,1.484557107998992
EMU00066571,25.0,17,1.5291092168762657
EMU00066571,25.0,18,1.5715044401362204
EMU00066571,25.0,19,1.5766422663943913
EMU00066571,25.0,20,1.596015532101505
EMU00066571,25.0,21,1.6282123233809704
EMU00066571,25.0,22,1.6209430470002353
EMU00066571,25.0,23,1.6245253083909788
EMU00066571,25.0,24,1.6445646129105351
EMU00066571,25.0,25,1.617910078306956
EMU00066571,25.0,26,1.602061996814525
EMU00066571,25.0,27,1.6052868237199758
EMU00066571,25.0,28,1.5662919533925892
EMU00066571,25.0,29,1.5371757604643272
EMU00066571,25.0,30,1.523049771020574
EMU00066571,25.0,31,1.4775072010513874
EMU00066571,25.0,32,1.4300087482892625
EMU00066571,25.0,33,1.3884929726900268
EMU00066571,25.0,34,1.3497005205285226
EMU00066571,25.0,35,1.2866185814376025
EMU00066571,25.0,36,1.2236481642405117
EMU00066571,25.0,37,1.1952696971753622
EMU00066571,25.0,38,1.129193422588977
EMU00066571,25.0,39,1.0525602776846037
EMU00066571,25.0,40,1.037230964686255
EMU00066571,25.0,41,0.9763030067981636
EMU00066571,25.0,42,0.8731589905252126
EMU00066571,25.0,43,0.8971604391797903
EMU00066571,25.0,44,0.8478731983730092
EMU00066571,25.0,45,0.7532056571060431
EMU00066571,25.0,46,0.8065256472127187
EMU00066571,25.0,47,0.8017768316819057
EMU00066571,25.0,48,0.7115063425394771
EMU00066571,25.0,49,0.8102802794573253
EMU00066571,25.0,50,0.8463583401293403
EMU00066571,25.0,51,0.8040923590469937
EMU00066571,25.0,52,0.9076566598054665
EMU00066571,25.0,53,0.9606509614718668
EMU00066571,25.0,54,0.965497953113528
EMU00066571,25.0,55,1.0460632483687524
EMU00066571,25.0,56,1.1208132015750303
EMU00066571,25.0,57,1.1412378148845823
EMU00066571,25.0,58,1.2142754704918741
EMU00066571,25.0,59,1.2818698865240992
EMU00066571,25.0,60,1.3078513844139013
EMU00066571,25.0,61,1.3604566754348806
EMU00066571,25.0,62,1.4166291539292182
EMU00066571,25.0,63,1.4601865841786965
EMU00066571,25.0,64,1.4862015189382543
EMU00066571,25.0,65,1.5310657467079989
EMU00066571,25.0,66,1.5751120358528772
EMU00066571,25.0,67,1.5756857630338839
EMU00066571,25.0,68,1.5974954010846016
EMU00066571,25.0,69,1.6337121061575548
EMU00066571,25.0,70,1.6186854877059669
EMU00066571,25.0,71,1.6267685631212934
EMU00066571,25.0,72,1.646101946637796
EMU00066571,25.0,73,1.6152655511678184
EMU00066571,25.0,74,1.603811710303231
EMU00066571,25.0,75,1.6007352945900477
EMU00066571,25.0,76,1.5673791130334884
EMU00066571,25.0,77,1.538383223206383
EMU00066571,25.0,78,1.5226080586306365
EMU00066571,25.0,79,1.480411706027301
EMU00066571,25.0,80,1.4226091662557123
EMU00066571,25.0,81,1.3870703854219812
EMU00066571,25.0,82,1.3508897256078072
EMU00066571,25.0,83,1.2919525234482028
EMU00066571,25.0,84,1.2280113449951762
EMU00066571,25.0,85,1.199242689170582
EMU00066571,25.0,86,1.123845050431382
EMU00066571,25.0,87,1.0476796949957081
EMU00066571,25.0,88,1.0256972229157557
EMU00066571,25.0,89,0.9702792556495197
EMU00066571,25.0,90,0.8730801617226158
EMU00066571,25.0,91,0.8970975431988846
EMU00066571,25.0,92,0.8528490102463918
EMU00066571,25.0,93,0.7482252643502945
EMU00066571,25.0,94,0.8022007311006313
EMU00066571,25.0,95,0.8005809784419343
EMU00066584,20.0,0,0.38647765530724154
EMU00066584,20.0,1,0.5482914428258908
EMU00066584,20.0,2,0.6023935413703388
EMU00066584,20.0,3,0.5682507046320738
EMU00066584,20.0,4,0.6807774889358331
EMU00066584,20.0,5,0.7491380331907385
EMU00066584,20.0,6,0.7407471069387066
EMU00066584,20.0,7,0.8282179885020527
EMU00066584,20.0,8,0.8973171356029187
EMU00066584,20.0,9,0.9074741250088102
EMU00066584,20.0,10,0.9691025003428773
EMU00066584,20.0,11,1.0322548709248645
EMU00066584,20.0,12,1.058696661088034
EMU00066584,20.0,13,1.1055081611582183
EMU00066584,20.0,14,1.1612966671748504
EMU00066584,20.0,15,1.193127456633605
EMU00066584,20.0,16,1.2255422721504923
EMU00066584,20.0,17,1.2704485915032335
EMU00066584,20.0,18,1.3067661097780858
EMU00066584,20.0,19,1.3262439672829058
EMU00066584,20.0,20,1.3599886675899393
EMU00066584,20.0,21,1.3927376519287087
EMU00066584,20.0,22,1.4038886963634374
EMU00066584,20.0,23,1.4269405993133675
EMU00066584,20.0,24,1.4529099693710177
EMU00066584,20.0,25,1.4562228707881473
EMU00066584,20.0,26,1.4677413236148897
EMU00066584,20.0,27,1.4899312441617392
EMU00066584,20.0,28,1.4862156807832287
EMU00066584,20.0,29,1.4894966223751391
EMU00066584,20.0,30,1.5025391460802016
EMU00066584,20.0,31,1.4950427434136033
EMU00066584,20.0,32,1.4923644444071733
EMU00066584,20.0,33,1.5014913011459377
EMU00066584,20.0,34,1.4917876910237646
EMU00066584,20.0,35,1.4849751865392633
EMU00066584,20.0,36,1.4878058335556075
EMU00066584,20.0,37,1.480711889219613
EMU00066584,20.0,38,1.474902179718352
EMU00066584,20.0,39,1.4752598256157765
EMU00066584,20.0,40,1.4671814126753415
EMU00066584,20.0,41,1.4672006057531173
EMU00066584,20.0,42,1.4720692495610832
EMU00066584,20.0,43,1.4678727688417184
EMU00066584,20.0,44,1.4726163031469155
EMU00066584,20.0,45,1.4813371435739286
EMU00066584,20.0,46,1.483880871196523
EMU00066584,20.0,47,1.4942478983319312
EMU00066584,20.0,48,1.5103232441379355
EMU00066584,20.0,49,1.4936170810073166
EMU00066584,20.0,50,1.4816642363811212
EMU00066584,20.0,51,1.4787266403160508
