run,split,field_g,phase_turns,detector,share_residual,phase_bin_weight
EMU00066571,validation,25.0,0.010416666666666666,1,-0.00012650632066854315,369225.0
EMU00066571,validation,25.0,0.010416666666666666,2,1.6495428230069115e-05,369225.0
EMU00066571,validation,25.0,0.010416666666666666,3,0.00016095001748487697,369225.0
EMU00066571,validation,25.0,0.010416666666666666,4,4.804624362195928e-05,369225.0
EMU00066571,validation,25.0,0.010416666666666666,5,0.0003866893101792548,369225.0
EMU00066571,validation,25.0,0.010416666666666666,6,0.00028650266799063053,369225.0
EMU00066571,validation,25.0,0.010416666666666666,7,0.00019055133060473392,369225.0
EMU00066571,validation,25.0,0.010416666666666666,8,0.0004329337808947472,369225.0
EMU00066571,validation,25.0,0.010416666666666666,9,6.266290252605005e-05,369225.0
EMU00066571,validation,25.0,0.010416666666666666,10,0.00015015978340667392,369225.0
EMU00066571,validation,25.0,0.010416666666666666,11,0.0007811248420683333,369225.0
EMU00066571,validation,25.0,0.010416666666666666,12,0.0003410205074944916,369225.0
EMU00066571,validation,25.0,0.010416666666666666,13,0.00011747396649076754,369225.0
EMU00066571,validation,25.0,0.010416666666666666,14,0.00030815056878633485,369225.0
EMU00066571,validation,25.0,0.010416666666666666,15,0.000277519036752848,369225.0
EMU00066571,validation,25.0,0.010416666666666666,16,0.00019489809009542276,369225.0
EMU00066571,validation,25.0,0.010416666666666666,17,0.00031719684179401693,369225.0
EMU00066571,validation,25.0,0.010416666666666666,18,0.0003717296974529342,369225.0
EMU00066571,validation,25.0,0.010416666666666666,19,-0.00017778568408787805,369225.0
EMU00066571,validation,25.0,0.010416666666666666,20,0.00019360529221493713,369225.0
EMU00066571,validation,25.0,0.010416666666666666,21,-5.2112244872766065e-05,369225.0
EMU00066571,validation,25.0,0.010416666666666666,22,-0.00011009874584153709,369225.0
EMU00066571,validation,25.0,0.010416666666666666,23,-0.0003038401343313468,369225.0
EMU00066571,validation,25.0,0.010416666666666666,24,-0.00010768633472361775,369225.0
EMU00066571,validation,25.0,0.010416666666666666,25,-0.00039089963718071715,369225.0
EMU00066571,validation,25.0,0.010416666666666666,26,-0.00011563496747191447,369225.0
EMU00066571,validation,25.0,0.010416666666666666,27,-0.0004174808980185359,369225.0
EMU00066571,validation,25.0,0.010416666666666666,28,-0.0004094237619000141,369225.0
EMU00066571,validation,25.0,0.010416666666666666,29,-0.00014983178094047834,369225.0
EMU00066571,validation,25.0,0.010416666666666666,30,-0.00018547524738434591,369225.0
EMU00066571,validation,25.0,0.010416666666666666,31,-0.0004845437043051021,369225.0
EMU00066571,validation,25.0,0.010416666666666666,32,-5.4039181533409624e-05,369225.0
EMU00066571,validation,25.0,0.010416666666666666,33,-0.0001915485997711438,369225.0
EMU00066571,validation,25.0,0.010416666666666666,34,-0.00042053165337313454,369225.0
EMU00066571,validation,25.0,0.010416666666666666,35,-5.5033495309000235e-05,369225.0
EMU00066571,validation,25.0,0.010416666666666666,36,-0.0003100922799942538,369225.0
EMU00066571,validation,25.0,0.010416666666666666,37,-0.000550561202022377,369225.0
EMU00066571,validation,25.0,0.010416666666666666,38,-0.0001584566383228227,369225.0
EMU00066571,validation,25.0,0.010416666666666666,39,-0.0003133159856045862,369225.0
EMU00066571,validation,25.0,0.010416666666666666,40,-0.00032136576296103994,369225.0
EMU00066571,validation,25.0,0.010416666666666666,41,-0.00040773470707729654,369225.0
EMU00066571,validation,25.0,0.010416666666666666,42,0.00023219381033120554,369225.0
EMU00066571,validation,25.0,0.010416666666666666,43,-0.00023835244767297787,369225.0
EMU00066571,validation,25.0,0.010416666666666666,44,0.00025890876302990464,369225.0
EMU00066571,validation,25.0,0.010416666666666666,45,-0.0001504070562891351,369225.0
EMU00066571,validation,25.0,0.010416666666666666,46,0.00029228232047689084,369225.0
EMU00066571,validation,25.0,0.010416666666666666,47,-0.00016248421079139626,369225.0
EMU00066571,validation,25.0,0.010416666666666666,48,0.00030555761889179684,369225.0
EMU00066571,validation,25.0,0.010416666666666666,49,0.0001710139208076321,369225.0
EMU00066571,validation,25.0,0.010416666666666666,50,0.0003242818185522576,369225.0
EMU00066571,validation,25.0,0.010416666666666666,51,7.449726453536494e-05,369225.0
EMU00066571,validation,25.0,0.010416666666666666,52,0.00025562433795894325,369225.0
EMU00066571,validation,25.0,0.010416666666666666,53,0.0004797593812728153,369225.0
EMU00066571,validation,25.0,0.010416666666666666,54,-4.3395643739224063e-05,369225.0
EMU00066571,validation,25.0,0.010416666666666666,55,0.00014769785417219285,369225.0
EMU00066571,validation,25.0,0.010416666666666666,56,0.0006729036293725777,369225.0
EMU00066571,validation,25.0,0.010416666666666666,57,0.00043405932657520675,369225.0
EMU00066571,validation,25.0,0.010416666666666666,58,2.2512732795437683e-05,369225.0
EMU00066571,validation,25.0,0.010416666666666666,59,0.0005738638767365282,369225.0
EMU00066571,validation,25.0,0.010416666666666666,60,0.00016674806919055743,369225.0
EMU00066571,validation,25.0,0.010416666666666666,61,7.81052357512145e-05,369225.0
EMU00066571,validation,25.0,0.010416666666666666,62,0.0003530312213379104,369225.0
EMU00066571,validation,25.0,0.010416666666666666,63,6.754947063902409e-05,369225.0
EMU00066571,validation,25.0,0.010416666666666666,64,0.0002047975640486861,369225.0
EMU00066571,validation,25.0,0.010416666666666666,65,0.0004077295605538368,369225.0
EMU00066571,validation,25.0,0.010416666666666666,66,5.095822890890119e-05,369225.0
EMU00066571,validation,25.0,0.010416666666666666,67,-0.00019000098158840494,369225.0
EMU00066571,validation,25.0,0.010416666666666666,68,5.441241816025912e-06,369225.0
EMU00066571,validation,25.0,0.010416666666666666,69,0.0001236706477085824,369225.0
EMU00066571,validation,25.0,0.010416666666666666,70,-4.853129966269359e-05,369225.0
EMU00066571,validation,25.0,0.010416666666666666,71,-4.603327922441022e-05,369225.0
EMU00066571,validation,25.0,0.010416666666666666,72,0.0001406355853980496,369225.0
EMU00066571,validation,25.0,0.010416666666666666,73,-0.00020061701590059203,369225.0
EMU00066571,validation,25.0,0.010416666666666666,74,-0.00017069745738097804,369225.0
EMU00066571,validation,25.0,0.010416666666666666,75,-0.0001449728520171688,369225.0
EMU00066571,validation,25.0,0.010416666666666666,76,-0.000281121148470857,369225.0
EMU00066571,validation,25.0,0.010416666666666666,77,-6.276886059069366e-05,369225.0
EMU00066571,validation,25.0,0.010416666666666666,78,-0.0002092130719690984,369225.0
EMU00066571,validation,25.0,0.010416666666666666,79,-0.00013626031137547946,369225.0
EMU00066571,validation,25.0,0.010416666666666666,80,-0.00037484907015809235,369225.0
EMU00066571,validation,25.0,0.010416666666666666,81,-0.00034467079376762784,369225.0
EMU00066571,validation,25.0,0.010416666666666666,82,-0.000556030138014666,369225.0
EMU00066571,validation,25.0,0.010416666666666666,83,-0.0001367538405363186,369225.0
EMU00066571,validation,25.0,0.010416666666666666,84,1.2109729525995278e-05,369225.0
EMU00066571,validation,25.0,0.010416666666666666,85,-0.00033237171983335707,369225.0
EMU00066571,validation,25.0,0.010416666666666666,86,-0.00012592033792950744,369225.0
EMU00066571,validation,25.0,0.010416666666666666,87,-6.800730331467458e-05,369225.0
EMU00066571,validation,25.0,0.010416666666666666,88,-1.3347976812737699e-05,369225.0
EMU00066571,validation,25.0,0.010416666666666666,89,-0.00027958332123518805,369225.0
EMU00066571,validation,25.0,0.010416666666666666,90,-0.00033832428813929875,369225.0
EMU00066571,validation,25.0,0.010416666666666666,91,-0.00013112042481643992,369225.0
EMU00066571,validation,25.0,0.010416666666666666,92,6.128125463354442e-05,369225.0
EMU00066571,validation,25.0,0.010416666666666666,93,-0.000235837890709444,369225.0
EMU00066571,validation,25.0,0.010416666666666666,94,-0.0001128531049157262,369225.0
EMU00066571,validation,25.0,0.010416666666666666,95,0.00029058797620258516,369225.0
EMU00066571,validation,25.0,0.010416666666666666,96,0.0001030120652392998,369225.0
EMU00066571,validation,25.0,0.03125,1,-7.646838347233464e-05,481133.0
EMU00066571,validation,25.0,0.03125,2,0.00014193043022835177,481133.0
EMU00066571,validation,25.0,0.03125,3,0.0002140613308329244,481133.0
EMU00066571,validation,25.0,0.03125,4,0.00011798974240045274,481133.0
EMU00066571,validation,25.0,0.03125,5,0.0003026925293940499,481133.0
EMU00066571,validation,25.0,0.03125,6,0.0004284807923160371,481133.0
EMU00066571,validation,25.0,0.03125,7,0.00047365785723559603,481133.0
EMU00066571,validation,25.0,0.03125,8,0.00011074844005605268,481133.0
EMU00066571,validation,25.0,0.03125,9,-4.968948203332558e-05,481133.0
EMU00066571,validation,25.0,0.03125,10,0.000219633888873769,481133.0
EMU00066571,validation,25.0,0.03125,11,0.0005794601546425051,481133.0
EMU00066571,validation,25.0,0.03125,12,0.0003323446402063863,481133.0
EMU00066571,validation,25.0,0.03125,13,0.00019737214871719507,481133.0
EMU00066571,validation,25.0,0.03125,14,0.00024582090016883346,481133.0
EMU00066571,validation,25.0,0.03125,15,0.00019446516876626277,481133.0
EMU00066571,validation,25.0,0.03125,16,7.088541974486961e-05,481133.0
EMU00066571,validation,25.0,0.03125,17,0.00041578870580950557,481133.0
EMU00066571,validation,25.0,0.03125,18,-0.000122712332664992,481133.0
EMU00066571,validation,25.0,0.03125,19,-0.0004220739422789992,481133.0
EMU00066571,validation,25.0,0.03125,20,2.1933377182796723e-05,481133.0
EMU00066571,validation,25.0,0.03125,21,-0.0002802827765171389,481133.0
EMU00066571,validation,25.0,0.03125,22,-0.00036278511720411313,481133.0
EMU00066571,validation,25.0,0.03125,23,0.0001231834477374721,481133.0
EMU00066571,validation,25.0,0.03125,24,-6.39721025418998e-05,481133.0
EMU00066571,validation,25.0,0.03125,25,-0.00012639467110104675,481133.0
EMU00066571,validation,25.0,0.03125,26,5.891836746674353e-06,481133.0
EMU00066571,validation,25.0,0.03125,27,0.00015365636049145318,481133.0
EMU00066571,validation,25.0,0.03125,28,-0.0004444169978010203,481133.0
EMU00066571,validation,25.0,0.03125,29,-0.00031698575298273,481133.0
EMU00066571,validation,25.0,0.03125,30,-0.00022473353616761393,481133.0
EMU00066571,validation,25.0,0.03125,31,-0.00039047390945532573,481133.0
EMU00066571,validation,25.0,0.03125,32,-0.0005748748385232915,481133.0
EMU00066571,validation,25.0,0.03125,33,-0.00014741309798487466,481133.0
EMU00066571,validation,25.0,0.03125,34,-0.000331890346629756,481133.0
EMU00066571,validation,25.0,0.03125,35,-0.00039484533012631507,481133.0
EMU00066571,validation,25.0,0.03125,36,-0.00013908037296075617,481133.0
EMU00066571,validation,25.0,0.03125,37,-0.0002237235106901809,481133.0
EMU00066571,validation,25.0,0.03125,38,-1.983291480908977e-05,481133.0
EMU00066571,validation,25.0,0.03125,39,-8.726991099746489e-05,481133.0
EMU00066571,validation,25.0,0.03125,40,-0.0004355355393939287,481133.0
EMU00066571,validation,25.0,0.03125,41,0.0003941479687785784,481133.0
EMU00066571,validation,25.0,0.03125,42,0.00028136487907968826,481133.0
