event,time_s,frequency_hz,separation_km,binding_proxy,compactness
GW151012,-0.49692392349243164,229.5830481135024,224.7982149991783,0.06814828758821481,0.2924985325287272
GW151012,-0.49301767349243164,219.4141062563724,231.69128951385602,0.06612079995422174,0.28379637465138574
GW151012,-0.48911142349243164,219.4141062563724,231.69128951385602,0.06612079995422174,0.28379637465138574
GW151012,-0.48520517349243164,219.4141062563724,231.69128951385602,0.06612079995422174,0.28379637465138574
GW151012,-0.48129892349243164,219.4141062563724,231.69128951385602,0.06612079995422174,0.28379637465138574
GW151012,-0.47739267349243164,219.4141062563724,231.69128951385602,0.06612079995422174,0.28379637465138574
GW151012,-0.47348642349243164,221.82439340543084,230.0099031410181,0.06660414702096092,0.2858709434003109
GW151012,-0.46958017349243164,228.4902825918573,225.51438359391253,0.06793186829567212,0.29156964160982185
GW151012,-0.46567392349243164,235.16534017376011,221.2265233844859,0.06924853842437446,0.29722090731435363
GW151012,-0.46176767349243164,241.10016095876284,217.58105085196766,0.07040876650377115,0.3022007097808919
GW151012,-0.45786142349243164,241.10016095876284,217.58105085196766,0.07040876650377115,0.3022007097808919
GW151012,-0.45395517349243164,241.10016095876284,217.58105085196766,0.07040876650377115,0.3022007097808919
GW151012,-0.45004892349243164,241.10016095876284,217.58105085196766,0.07040876650377115,0.3022007097808919
GW151012,-0.44614267349243164,241.10016095876284,217.58105085196766,0.07040876650377115,0.3022007097808919
GW151012,-0.44223642349243164,244.33265858704266,215.65774335076227,0.07103669530736187,0.30489583624823063
GW151012,-0.43833017349243164,244.33265858704266,215.65774335076227,0.07103669530736187,0.30489583624823063
GW151012,-0.43442392349243164,244.33265858704266,215.65774335076227,0.07103669530736187,0.30489583624823063
GW151012,-0.43051767349243164,244.33265858704266,215.65774335076227,0.07103669530736187,0.30489583624823063
GW151012,-0.42661142349243164,254.7031812321003,209.76345321025636,0.0730328051461173,0.31346331782795983
GW151012,-0.42270517349243164,275.6704609705238,198.98755471718752,0.07698779668333759,0.33043849448669843
GW151012,-0.41879892349243164,275.6704609705238,198.98755471718752,0.07698779668333759,0.33043849448669843
GW151012,-0.41489267349243164,275.6704609705238,198.98755471718752,0.07698779668333759,0.33043849448669843
GW151012,-0.41098642349243164,275.6704609705238,198.98755471718752,0.07698779668333759,0.33043849448669843
GW151012,-0.40708017349243164,275.6704609705238,198.98755471718752,0.07698779668333759,0.33043849448669843
GW151012,-0.40317392349243164,261.0756327692293,206.33608085281742,0.07424592607246938,0.31867014111429043
GW151012,-0.39926767349243164,245.6622639292072,214.8788990892749,0.07129417299702642,0.3060009534720241
