event,role,time_s,M_rem,C_acc,TE_ARA_sum,TE_ARA_residual,C_amount,C_density,local_period_ARA,frequency_hz
GW151012,untouched_confirmation,-0.49692392349243164,2.0,0.6951427874054186,2.695142787405419,0.6951427874054188,0.9597266292409079,0.43055894556992924,1.134488650231877,229.5830481135024
GW151012,untouched_confirmation,-0.49301767349243164,1.9840007953312657,0.8772272394434952,2.861228034774761,0.861228034774761,0.9128630705394191,0.8415914083475714,1.2047839882841103,219.4141062563724
GW151012,untouched_confirmation,-0.48911142349243164,1.9687102448222074,0.9948742982670247,2.9635845430892322,0.9635845430892322,0.9782767878935806,1.0114718086404686,1.1950207468879668,219.4141062563724
GW151012,untouched_confirmation,-0.48520517349243164,1.953419694313149,1.0676104466682939,3.021030140981443,1.021030140981443,1.1242372467659263,1.0109836465706614,1.199658286551135,219.4141062563724
GW151012,untouched_confirmation,-0.48129892349243164,1.9381291438040904,1.116182572614108,3.0543117164181983,1.0543117164181983,1.2745911642665364,0.9577739809616792,1.2194288503783257,219.4141062563724
GW151012,untouched_confirmation,-0.47739267349243164,1.922838593295032,1.1141078838174274,3.0369464771124592,1.0369464771124592,1.371979497193068,0.8562362704417867,1.2421283866243593,219.4141062563724
GW151012,untouched_confirmation,-0.47348642349243164,1.9075480427859737,0.9937759336099585,2.901323976395932,0.9013239763959322,1.405174517939956,0.582377349279961,1.232853307298023,221.82439340543084
GW151012,untouched_confirmation,-0.46958017349243164,1.8920895239633788,0.8267024652184525,2.718791989181831,0.7187919891818311,1.387356602391994,0.2660483280449109,1.1608494020014646,228.4902825918573
GW151012,untouched_confirmation,-0.46567392349243164,1.8761664720392806,0.7432267512814255,2.619393223320706,0.619393223320706,1.3402489626556018,0.14620453990724921,1.0458872345618744,235.16534017376011
GW151012,untouched_confirmation,-0.46176767349243164,1.859778248085688,0.7373688064437394,2.5971470545294273,0.5971470545294273,1.2904564315352698,0.18428118135220894,0.9116426653649011,241.10016095876284
GW151012,untouched_confirmation,-0.45786142349243164,1.842976437792896,0.7811813522089333,2.6241577900018296,0.6241577900018296,1.281913595313644,0.2804491091042226,0.808640468635587,241.10016095876284
GW151012,untouched_confirmation,-0.45395517349243164,1.8261746275001043,0.7965584574078594,2.6227330849079635,0.6227330849079635,1.3256041005613863,0.26751281425433243,0.7822797168659995,241.10016095876284
GW151012,untouched_confirmation,-0.45004892349243164,1.8093728172073122,0.8253600195264827,2.6347328367337948,0.6347328367337948,1.391017817915548,0.2597022211374176,0.8076641444959727,241.10016095876284
GW151012,untouched_confirmation,-0.44614267349243164,1.7925710069145204,0.8764949963387845,2.669066003253305,0.6690660032533051,1.4430070783500122,0.30998291432755676,0.8691725652916769,241.10016095876284
GW151012,untouched_confirmation,-0.44223642349243164,1.7757691966217284,0.9168904076153283,2.6926596042370567,0.6926596042370567,1.4452038076641445,0.3885770075665121,0.9455699292165,244.33265858704266
GW151012,untouched_confirmation,-0.43833017349243164,1.7587421197355577,0.9094459360507688,2.6681880557863265,0.6681880557863265,1.3673419575299,0.4515499145716378,1.0246521845252623,244.33265858704266
GW151012,untouched_confirmation,-0.43442392349243164,1.7417150428493873,0.8778374420307542,2.6195524848801415,0.6195524848801415,1.244081034903588,0.5115938491579204,1.0617525018306078,244.33265858704266
GW151012,untouched_confirmation,-0.43051767349243164,1.7246879659632166,0.7977788625823774,2.522466828545594,0.522466828545594,1.1061752501830608,0.48938247498169396,0.9135953136441298,244.33265858704266
GW151012,untouched_confirmation,-0.42661142349243164,1.7076608890770457,0.7803270685867708,2.4879879576638166,0.48798795766381664,1.001708567244325,0.5589455699292165,0.6106907493287772,254.7031812321003
GW151012,untouched_confirmation,-0.42270517349243164,1.6899111102506257,0.9611911154503294,2.651102225700955,0.6511022257009551,0.9526482792287039,0.9697339516719551,0.23822309006590187,275.6704609705238
GW151012,untouched_confirmation,-0.41879892349243164,1.6707001616965702,1.1244813278008299,2.7951814894974003,0.7951814894974003,0.9514278740541859,1.2975347815474736,0.06834268977300464,275.6704609705238
GW151012,untouched_confirmation,-0.41489267349243164,1.651489213142515,1.2136929460580914,2.8651821592006064,0.8651821592006064,0.9936538930925067,1.4337319990236759,0.05467415181840371,275.6704609705238
GW151012,untouched_confirmation,-0.41098642349243164,1.6322782645884597,1.147058823529412,2.7793370881178716,0.7793370881178716,1.0890895777398097,1.205028069319014,0.11056870881132537,275.6704609705238
GW151012,untouched_confirmation,-0.40708017349243164,1.6130673160344042,1.0363680742006347,2.649435390235039,0.6494353902350389,1.2367586038564804,0.8359775445447889,0.25433243836953867,275.6704609705238
GW151012,untouched_confirmation,-0.40317392349243164,1.593856367480349,0.9859653404930437,2.5798217079733927,0.5798217079733927,1.381498657554308,0.5904320234317794,0.48694166463265803,261.0756327692293
GW151012,untouched_confirmation,-0.39926767349243164,1.575662504662441,0.9442274835245302,2.5198899881869714,0.5198899881869714,1.4764461801318038,0.41200878691725656,0.8079082255308763,245.6622639292072
GW151012,untouched_confirmation,-0.39536142349243164,1.5585427701163397,0.8990724920673664,2.457615262183706,0.45761526218370596,1.4957285818891872,0.3024164022455455,1.0449109104222603,240.63495463283942
GW151012,untouched_confirmation,-0.39145517349243164,1.5417733791649704,0.8136441298511106,2.355417509016081,0.35541750901608093,1.4059067610446667,0.2213814986575543,1.1283866243592873,240.63495463283942
GW151012,untouched_confirmation,-0.38754892349243164,1.525003988213601,0.7255308762509153,2.2505348644645164,0.25053486446451645,1.2457896021479131,0.2052721503539175,1.1030021967293142,240.63495463283942
GW151012,untouched_confirmation,-0.38364267349243164,1.5082345972622317,0.6648767390773738,2.1731113363396055,0.17311133633960551,1.1034903587991214,0.22626311935562604,1.0146448620942152,239.76395836907972
GW151012,untouched_confirmation,-0.37973642349243164,1.4915259043789653,0.6612155235538199,2.152741427932785,0.152741427932785,1.052721503539175,0.2697095435684647,0.9255552843544056,237.09478514904464
GW151012,untouched_confirmation,-0.37583017349243164,1.4750032210856685,0.7390773736880645,2.214080594773733,0.21408059477373298,1.1069074932877716,0.37124725408835735,0.9072492067366366,237.09478514904464
