Name,fluid,D0_mm,coverage,n_reliable,window_ms,unmeasured_tail_ms,cross_u,cross_t_s,rho_time_x,Bo0,Bo_cross,G_height_cross,capillary_rate_mm_s,late_unresolved_to_capillary,excluded,reason
241113m,S1,2.0,0.9868421052631579,526.0,11.00000000000001,7.000000000000006,0.5171670047230681,0.275,0.9265688372391532,0.2673938584726741,0.05685651901922037,0.09451005300255187,5.241300166039878,0.509293699590486,False,
241113n,S1,2.0,0.9906166219839142,740.0,11.00000000000001,7.000000000000006,0.3871049824798155,0.289,0.8828610554493261,0.26735000686061194,0.10331480732747605,0.19005379370710035,5.306664409869635,0.46442790418515717,False,
241113o,S1,2.0,0.9884020618556701,768.0,11.00000000000001,9.000000000000007,0.5214686777442407,0.405,0.833405096148206,0.2673938584726741,0.08125005517753146,0.21842706207440396,5.241300166039878,0.4994577626420367,False,
241113p,S1,2.0,0.9901840490797548,808.0,11.00000000000001,7.999999999999896,0.3238922410401623,0.264,0.8201471170482083,0.26732808105458095,0.12392597617612294,0.23807358334074902,5.339617789967344,0.4445610472211767,False,
241113q,S1,2.0,0.9815242494226328,426.0,11.00000000000001,8.000000000000007,0.6586971012256938,0.285,0.8928535328315613,0.26732808105458095,0.04654459908777866,0.18549667478534348,5.339617789967344,0.7920642177689331,False,
241113r,S1,2.0,0.9713261648745519,272.0,11.00000000000001,8.000000000000007,0.6569754916865603,0.183,0.8822374993427624,0.26735000686061194,0.029976506438377584,0.1337765618584797,5.306664409869635,1.0262097134161419,False,
241113s,S1,2.0,0.9532163742690059,164.0,11.00000000000001,8.000000000000007,0.5654427274432615,0.097,0.9149844895023153,0.2672842294425188,0.024108460671760697,0.07736424747867927,5.406071411841703,1.1351226328321977,False,
241113t,S1,2.0,0.9585253456221198,209.0,11.00000000000001,9.000000000000007,0.6564079619711107,0.142,0.9299824520833049,0.26730615524854984,0.023250973911286235,0.11569037935494235,5.372753166443266,1.188288332087732,False,
241113u,S1,2.0,0.9637096774193548,240.0,11.00000000000001,9.000000000000007,0.5800533581094631,0.144,0.8882942615833925,0.26730615524854984,0.04005967355383349,0.16974100249327204,5.372753166443266,1.058673948403651,False,
241113v,S1,2.0,0.9687500000000001,280.0,11.00000000000001,8.999999999999952,0.6254448504576406,0.18,0.9388193093242863,0.26730615524854984,0.040734561936611485,0.23883273367174246,5.372753166443266,1.1072843742545109,False,
241113w,S1,2.0,0.9274193548387097,116.0,11.00000000000001,8.999999999999995,0.5052511219678482,0.063,0.82229843225084,0.26732808105458095,0.022314344154223106,0.12498714188391694,5.339617789967344,1.0872504920276347,False,
241118a,S1,2.0,0.9608695652173913,220.0,11.00000000000001,9.000000000000007,0.5222076932976509,0.12,0.9158943457935619,0.26781044878726407,0.034928856399970516,0.1690238454261869,4.65517587544983,0.9503648438876469,False,
241118b,S1,2.0,0.9629629629629629,205.0,11.00000000000001,8.000000000000007,0.4921515786796009,0.106,0.9026306543741558,0.26774467136917096,0.03602063864234274,0.1855201430254463,4.7436508789950995,0.973629622676483,False,
241118c,S1,2.0,0.9547738693467336,191.0,11.00000000000001,9.000000000000007,0.596230831519881,0.119,0.8654114767081864,0.2677227455631399,0.01913314253906299,0.15924786235219424,4.77347361010269,0.8262172421122382,False,
241118d,S1,2.0,0.9655172413793103,225.0,11.00000000000001,8.000000000000007,0.5545873289254656,0.129,0.8888373415809027,0.2677008197571088,0.027976673167668085,0.2632626406509458,4.803463217085244,0.7888685803037577,False,
241118e,S1,2.0,0.9507389162561576,194.0,11.00000000000001,10.000000000000009,0.5043393979179639,0.102,0.8571656349178229,0.2677008197571088,0.031876099396787254,0.22320355179274134,4.803463217085244,0.8064333760047538,False,
