Name,fluid,split,D0_mm,v_mm_s,H0_D0,tbrk_s,n_reliable,window_frames,window_ms,unmeasured_tail_ms,cross_u,cross_t_s,cross_D_mm,cross_r_mechanical,cross_r_unresolved,rho_time_x,Bo0,Bo_cross,G_height_cross,capillary_rate_mm_s,late_unresolved_to_capillary,excluded,reason
241118ad,S1,development,1.0,7.71,0.31,0.141,134.0,11.0,11.00000000000001,6.999999999999979,0.6536376583304567,0.092,0.3570318570318579,2.3232366866565854,2.2222178587982437,0.7740537537328981,0.06685942752118404,0.008522688025240602,0.04866426447269706,5.176653524079824,1.1218669388994598,False,
241118ae,S1,development,1.0,9.86,0.27,0.113,106.0,11.0,11.00000000000001,8.000000000000007,0.6040309195675347,0.068,0.3548704816310463,3.0838927342981477,2.9340330019376766,0.8729924036896364,0.0668649089726918,0.008420502508838088,0.04463213825570109,5.1445971592615,1.1849565459969527,False,
241118af,S1,development,1.0,12.32,0.14,0.081,73.0,11.0,11.00000000000001,7.000000000000006,0.4326216344510381,0.035,0.4263144263144275,5.634931618599893,5.602442118774087,0.9968864468864468,0.0668649089726918,0.012152295353287051,0.03256465499329808,5.1445971592615,1.2429848281096987,False,
241118ag,S1,development,1.0,13.88,0.25,0.089,82.0,11.0,11.00000000000001,6.999999999999992,0.6197997622273415,0.055,0.2954545454545466,3.5957472840615496,3.4749597866456616,0.8640799703813402,0.06687039042419958,0.005837342965748872,0.04004381352393153,5.112717628335645,1.3089075665129168,False,
241118ai,S1,development,1.0,20.05,0.11,0.053,47.0,11.0,11.00000000000001,6.999999999999999,0.3761198897441902,0.02,0.3678513267554376,9.300013499997247,9.379936686802496,0.9622396888420711,0.0668649089726918,0.009047798317780197,0.025137465079523944,5.1445971592615,1.2303362993360236,False,
241118aj,S1,development,1.0,24.03,0.29,0.072,65.0,11.0,11.00000000000001,7.999999999999993,0.48422526620395623,0.035,0.33333333333333415,5.741433982449659,5.874727633712127,0.7812725757154767,0.06687587187570734,0.007430652430634186,0.05042663659001266,5.081014082917207,0.8749787646583368,False,
241118ak,S1,development,1.0,29.16,0.37,0.073,66.0,11.0,11.00000000000001,7.999999999999993,0.4571901496649601,0.033,0.38005328005328115,6.279975312020392,6.0576870256422115,0.8805223673242568,0.06685942752118404,0.009657208851991231,0.06770685524685975,5.176653524079824,1.0042178955448355,False,
241118al,S1,development,1.0,32.54,0.26,0.061,55.0,11.0,11.00000000000001,5.999999999999998,0.48230551916377246,0.029,0.30034317534317634,6.424319380342119,6.075680619658051,0.860633484162896,0.06685942752118404,0.0060311230550861164,0.04834084588864214,5.176653524079824,0.8840011123691939,False,
241118am,S1,development,1.0,41.06,0.24,0.052,46.0,11.0,11.00000000000001,5.999999999999998,0.46968047475066443,0.024,0.2641802641802651,7.39822522396136,6.9957141699782355,0.8311688311688312,0.06685942752118404,0.004666200479149832,0.04328974939072327,5.176653524079824,0.9436077476221152,False,
241118an,,,,,,,,,,,,,,,,,,,,,,True,fewer_than_40_reliable_samples
