Name,Time_s,D_px,D_mm,D_smooth_mm,u_breakup,r_observed_mm_s,r_mechanical_mm_s,r_unresolved_mm_s,x_rate_ara,Bo_local,G_height_proxy,fluid,D0_mm,coverage
241113m,0.0,145.0,2.0,1.9966883691021615,0.0,3.2601880877741536,15.45,-12.189811912225846,,0.2665090818294371,0.053390220718173786,S1,2.0,0.9868421052631579
241113m,0.001,145.0,2.0,1.9917691503898394,0.0018796992481203006,3.6363636363634413,15.175407645551296,-11.539044009187855,,0.26519750861217023,0.053807248274416776,S1,2.0,0.9868421052631579
241113m,0.002,144.0,1.98620689655172,1.9885218230045811,0.0037593984962406013,5.015673981190901,14.90840721524403,-9.892733234053129,,0.2643334716257286,0.05426719244822633,S1,2.0,0.9868421052631579
241113m,0.003,143.0,1.97241379310345,1.9823808375532515,0.005639097744360902,5.893416927899253,14.648715330737847,-8.755298402838594,,0.26270335473842904,0.0546455823764129,S1,2.0,0.9868421052631579
241113m,0.004,143.0,1.97241379310345,1.9746322642874372,0.007518796992481203,6.269592476488484,14.396061879683337,-8.126469403194854,,0.26065370019843975,0.054975832726920394,S1,2.0,0.9868421052631579
241113m,0.005,143.0,1.97241379310345,1.9677196366851555,0.009398496240601503,6.7711598746077755,14.150189271289834,-7.379029396682059,,0.2588319451341727,0.055325318756704524,S1,2.0,0.9868421052631579
241113m,0.006,143.0,1.97241379310345,1.9614821959649575,0.011278195488721804,7.272727272727252,13.910851740458543,-6.638124467731291,,0.2571936120329952,0.055690166919366346,S1,2.0,0.9868421052631579
241113m,0.007,141.0,1.9448275862069,1.9549232376818615,0.013157894736842105,7.021943573667954,13.67781469687808,-6.655871123210126,,0.2554764394336044,0.05604236226513981,S1,2.0,0.9868421052631579
241113m,0.008,141.0,1.9448275862069,1.948203520617315,0.015037593984962405,7.398119122257512,13.4508541157786,-6.052734993521089,,0.25372314408822977,0.05638629193608677,S1,2.0,0.9868421052631579
241113m,0.009,141.0,1.9448275862069,1.939715456956837,0.016917293233082706,8.401253918495911,13.229755967312013,-4.828502048816102,,0.25151708433896125,0.05667485240095164,S1,2.0,0.9868421052631579
241113m,0.01,140.0,1.93103448275862,1.9296198054818743,0.018796992481203006,8.65203761755555,13.014315681772787,-4.362278064217238,,0.24890575199861847,0.05691132391459175,S1,2.0,0.9868421052631579
241113m,0.011,139.0,1.91724137931034,1.9210031347962364,0.020676691729323307,8.777429467085057,12.804337648098592,-4.026908181013535,,0.2466877500370351,0.05718626214430668,S1,2.0,0.9868421052631579
241113m,0.012,139.0,1.91724137931034,1.9143477212442703,0.022556390977443608,8.652037617555251,12.599634743294576,-3.9475971257393248,,0.2449813864195879,0.05751537878440126,S1,2.0,0.9868421052631579
241113m,0.013,138.0,1.90344827586207,1.9034482758620666,0.02443609022556391,9.028213166144425,12.400027890611874,-3.3718147244674483,,0.24219969753881535,0.05771215126187412,S1,2.0,0.9868421052631579
241113m,0.014,137.0,1.88965517241379,1.893706293706291,0.02631578947368421,9.278996865203553,12.20534564448107,-2.926348779277518,,0.2397268516991968,0.0579383328081738,S1,2.0,0.9868421052631579
241113m,0.015,137.0,1.88965517241379,1.8844465878948615,0.02819548872180451,8.652037617554171,12.015423800357041,-3.36338618280287,,0.23738818596050745,0.0581740363355306,S1,2.0,0.9868421052631579
241113m,0.016,136.0,1.87586206896552,1.8761514347721238,0.03007518796992481,8.526645768024338,11.8301050277736,-3.3034592597492622,,0.2353028657259208,0.058434681320027285,S1,2.0,0.9868421052631579
241113m,0.017,135.0,1.86206896551724,1.8675347640864888,0.03195488721804511,8.902821316614052,11.649238525036623,-2.746417208422571,,0.23314646052567073,0.058680654525374625,S1,2.0,0.9868421052631579
241113m,0.018,135.0,1.86206896551724,1.8590788521823018,0.03383458646616541,8.401253918495357,11.472679694103249,-3.071425775607892,,0.23103993729447314,0.05892697694826174,S1,2.0,0.9868421052631579
241113m,0.019,134.0,1.84827586206897,1.8512659754039074,0.03571428571428571,8.401253918495186,11.300289834303937,-2.899035915808751,,0.22910210278768003,0.05918920089123588,S1,2.0,0.9868421052631579
