event,time_s,frequency_hz,T_A,S_B,separation_km,compactness,binding_proxy,inspiral_tau_s
GW150914,-1.4969239234924316,265.076691592272,1.5052477422504271,1.0654137173541616,239.91393570475879,0.4441323145843311,0.11039968104881914,0.0007226271688322834
GW150914,-1.4930176734924316,273.05957180743854,1.5701732975347815,0.8657554308030266,235.21493816515869,0.453004951117404,0.11260518650552095,0.0006676548123418657
GW150914,-1.4891114234924316,284.6932833038405,1.6731754942640955,0.7249206736636563,228.76259913456076,0.4657821338308668,0.11578126005375843,0.0005973549595515573
GW150914,-1.4852051734924316,298.42513008934486,1.7761776909934097,0.6427874054185989,221.69007060701534,0.48064187662457736,0.1194750035869857,0.0005268383145343904
GW150914,-1.4812989234924316,311.2510643188902,1.7933854039541126,0.6099585062240664,215.55723598978255,0.4943166536550022,0.12287419561377069,0.0004709153093754426
GW150914,-1.4773926734924316,319.9867239169033,1.7117402977788627,0.6021479131071515,211.6160139157507,0.5035230065717634,0.12516265423805373,0.00043740777979282033
GW150914,-1.4734864234924316,322.78157840257757,1.7117402977788627,0.6056870881132536,210.39270417462546,0.5064506964897022,0.1258904014037892,0.00042738087846054074
GW150914,-1.4695801734924316,319.42305132347803,1.7102758115694412,0.6252135709055406,211.86489408125422,0.5029315122151649,0.12501562420631246,0.0004394691421110891
GW150914,-1.4656739234924316,310.36450748431594,1.696851354649744,0.6441298511105688,215.96753392473087,0.4933775444355771,0.12264075761592635,0.00047451097503154057
GW150914,-1.4617676734924316,296.1049834436383,1.6535269709543567,0.6973395167195509,222.84660657358364,0.47814742707516655,0.11885494864929205,0.0005379185060945092
GW150914,-1.4578614234924316,278.0503799257642,1.530754210397852,0.8368318281669515,232.39182207434848,0.45850809471041337,0.11397312411664186,0.0006361737557713483
GW150914,-1.4539551734924316,259.08751930433135,1.3136441298511103,1.1493775933609958,243.59713403126224,0.437417016375555,0.10873043349341341,0.000768035125439314
GW150914,-1.4500489234924316,242.00573178852167,1.1209421527947279,1.5162313888210885,254.92909340145852,0.4179732102910358,0.10389721168176695,0.0009212340695313655
GW150914,-1.4461426734924316,228.0380813386232,0.9762020990969001,1.2078350012204053,265.2354591083912,0.4017318495942382,0.09986003406184212,0.0010794902427109288
GW150914,-1.4422364234924316,217.67040310045996,0.8810104954845008,1.0777398096167927,273.5921182657735,0.3894612616803619,0.09680988673527055,0.001222099911256079
GW150914,-1.4383301734924316,211.1123282659625,0.8312179643641688,1.0490602880156212,279.2291618123694,0.38159886622870187,0.09485550079747782,0.0013259754261656562
GW150914,-1.4344239234924316,207.77872917822566,0.8116914815718819,1.0464974371491333,282.2078645510621,0.37757109191516297,0.09385430141398443,0.0013834670969939099
GW150914,-1.4305176734924316,206.7595706129634,0.8082743470832316,1.0258725896997802,283.1344763732298,0.3763354181746885,0.09354714523023218,0.001401726893417355
GW150914,-1.4266114234924316,207.62622270451578,0.8195020746887967,0.9830363680742006,282.3460399659286,0.3773863149575216,0.09380837069352364,0.0013861785959311578
GW150914,-1.4227051734924316,210.47471245462387,0.8528191359531364,0.9644862094215279,279.7928119659163,0.38083012503756175,0.09466441183699453,0.0013367143088539118
GW150914,-1.4187989234924316,214.96598571636918,0.9196973395167195,1.0518672199170125,275.8819827686322,0.3862286710290602,0.09600634921920598,0.0012635305279491064
GW150914,-1.4148926734924316,219.97893629146273,0.9936538930925067,1.4066390041493775,271.674642655012,0.3922100735065609,0.09749316948437564,0.0011881979610950247
