replicate,plane,phi_score,median_contracting,median_expanding
0,psi0_psi1,0.25769145207553956,0.543227032037446,1.8402237410905369
0,psi1_psi2,0.2549963725294022,0.5443306157621579,1.838999282529089
0,psi2_psi0,0.2549055765088948,0.5437539935893492,1.8368843981432896
0,pooled,0.2558160308408133,0.5437835904313173,1.838657632796746
1,psi0_psi1,0.25839808795710595,0.543631667886019,1.8428962730692555
1,psi1_psi2,0.2577966932794409,0.5438906923080042,1.8426658559452125
1,psi2_psi0,0.25319235833013976,0.5446397324627976,1.8367271485391374
1,pooled,0.2564120662818834,0.5440298390749025,1.840586984406255
2,psi0_psi1,0.2545712662693518,0.5448155596946809,1.8398553459763245
2,psi1_psi2,0.2553710803721988,0.544355007022582,1.839770934886909
2,psi2_psi0,0.2547320354029796,0.5437506954571942,1.836554511189105
2,pooled,0.2550242739827645,0.5442653235096787,1.838830000571086
3,psi0_psi1,0.25674127067455654,0.5439388551074432,1.8408850909434258
3,psi1_psi2,0.25760615680117505,0.5433435348619448,1.8404614140960982
3,psi2_psi0,0.257442976058322,0.5435676106999685,1.8409199964455998
3,pooled,0.25723231255204193,0.5436220566773704,1.8407165779414778
4,psi0_psi1,0.2577510795766895,0.5438658515689556,1.8424976520998109
4,psi1_psi2,0.2577144148414289,0.5436761111894093,1.841787323624846
4,psi2_psi0,0.2564162502534044,0.5436920796717497,1.8394519573262689
4,pooled,0.25727098764107026,0.5437380962850489,1.841180697127729
5,psi0_psi1,0.2536008473260505,0.5441301008997153,1.835758215810816
5,psi1_psi2,0.2538864117579055,0.5442733456530671,1.8367659277442918
5,psi2_psi0,0.25372285365371183,0.5444760276660082,1.837149415966564
5,pooled,0.2537273461964977,0.5443072334717143,1.8365881282235934
6,psi0_psi1,0.2559804223626956,0.5435477417112666,1.8381623273895675
6,psi1_psi2,0.25667302501296096,0.5430730544059008,1.8378294812143074
6,psi2_psi0,0.25263635237364046,0.5441388850395331,1.8340180967716084
6,pooled,0.25507533790673254,0.5435782756335301,1.8366025536885338
7,psi0_psi1,0.2536892989286704,0.5443340633572861,1.8366087776905804
7,psi1_psi2,0.25811135494172677,0.5430176704237478,1.840287091980625
7,psi2_psi0,0.2537880878715765,0.544602733337789,1.8376968180230382
7,pooled,0.25510195153042303,0.5440081554597352,1.8381039181852719
8,psi0_psi1,0.2535475856593523,0.5440334691983517,1.8353344491598018
8,psi1_psi2,0.2571282655335322,0.543373069281323,1.8396820775940792
8,psi2_psi0,0.25715077022607324,0.5427656344258276,1.8376668590900607
