year,n_pairs,alpha_median_deg,alpha_max_deg,beta_median_deg,beta_max_deg,beta_half_max_deg,ara_a_median,alpha_max_pass,beta_max_pass
2013,365,7.025110994165051,7.515197378469797,13.801179101635421,14.72602612659342,7.36301306329671,0.9998400916406245,True,True
2014,365,7.027258449078797,7.513879777104238,13.810886626983745,14.717274544540093,7.358637272270046,0.9997868984060692,True,True
2015,365,7.026172103500403,7.519155049821334,13.805406468315349,14.725128541089747,7.3625642705448735,1.000113530873704,True,True
2016,366,7.028692673998094,7.513503953850481,13.800155622435506,14.725295591429253,7.362647795714627,1.000403318708181,True,True
2017,365,7.028490313223282,7.515983625781158,13.811013312472975,14.71796480382543,7.358982401912715,0.9994384784511431,True,True
2018,365,7.026544819479564,7.517911009100666,13.808363510978408,14.725542887558086,7.362771443779043,0.9999082123241062,True,True
2019,365,7.027182408421929,7.512495199128175,13.814896559970782,14.722158941092362,7.361079470546181,1.000164463243397,True,True
2020,366,7.030228679537592,7.518202124262156,13.803365115703162,14.721191262677175,7.360595631338588,1.0001525440710721,True,True
2021,365,7.023762049411361,7.516648878526295,13.801834983857955,14.725965896015905,7.362982948007953,0.9997706350451068,True,True
2022,365,7.026667706329012,7.513494130882946,13.80793431104797,14.719286918388972,7.359643459194486,0.9999610675818892,True,True
2023,365,7.025236493866112,7.5191627603539875,13.80737568902428,14.724207068885535,7.362103534442768,1.000171180261797,True,True
2024,366,7.028316014075025,7.514228533219243,13.798781831681072,14.725807173360568,7.362903586680284,1.000447647284867,True,True
