dataset,cohort,genotype,condition,plant_id,events,candidate,increment_ara,one_step_median_ara,one_step_mean_ara,carrier_median_ara,carrier_mean_ara
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P1,37,persistence,0.0,0.6944444444444444,0.7120634920634922,0.5944444444444446,0.5206349206349205
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P1,37,one_third,0.6666666666666666,0.10555555555555551,0.10984126984126985,0.44444444444444464,0.44761904761904675
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P1,37,one_over_e,0.7357588823428847,0.08090778432378198,0.11318352250032296,0.7301232220512635,0.6793942952443939
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P1,37,three_eighths,0.75,0.09444444444444444,0.11634920634920634,0.7444444444444436,0.7107936507936513
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P1,37,fibonacci_8_21,0.7619047619047619,0.10079365079365077,0.11941043083900227,0.5253968253968253,0.5829931972789124
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P1,37,phi,0.7639320225002103,0.10282091138909921,0.11993172642068899,0.5268288383287043,0.5573917920449633
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P1,37,two_fifths,0.8,0.12222222222222223,0.13269841269841273,0.5999999999999996,0.5619047619047619
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P1,37,silver_conjugate,0.8284271247461903,0.15064934696841248,0.1484848462762856,0.5163780995065093,0.4752133852042737
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P1,37,ridge,1.0,0.3055555555555556,0.287936507936508,0.5055555555555564,0.4707936507936507
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P2,33,persistence,0.0,0.7222222222222222,0.7254480286738351,0.5722222222222302,0.5426523297491035
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P2,33,one_third,0.6666666666666666,0.08333333333333326,0.171326164874552,0.5111111111111111,0.4831541218637979
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P2,33,one_over_e,0.7357588823428847,0.09201889543489306,0.14667322559529017,0.1832532285972679,0.24488912885969907
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P2,33,three_eighths,0.75,0.0888888888888889,0.14749103942652328,0.1555555555555479,0.2121863799283157
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P2,33,fibonacci_8_21,0.7619047619047619,0.07698412698412704,0.14864311315924217,0.3365079365079353,0.333128520225296
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P2,33,phi,0.7639320225002103,0.0749568663886786,0.14883929966847914,0.3670980027798816,0.35732485636451966
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P2,33,two_fifths,0.8,0.10000000000000009,0.1573476702508961,0.6277777777777693,0.5594982078853022
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P2,33,silver_conjugate,0.8284271247461903,0.12842712474619034,0.16564259982033278,0.375396744416193,0.424405335448388
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P2,33,ridge,1.0,0.2777777777777778,0.27455197132616493,0.48333333333333606,0.49677419354838703
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P3,19,persistence,0.0,0.7222222222222223,0.7189542483660132,0.6333333333333329,0.554248366013072
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P3,19,one_third,0.6666666666666666,0.26111111111111107,0.29084967320261446,0.655555555555555,0.5549019607843138
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P3,19,one_over_e,0.7357588823428847,0.20313000654600422,0.26987483852660255,0.24139454263450766,0.35768729148257206
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P3,19,three_eighths,0.75,0.19444444444444442,0.2656862745098039,0.12777777777777644,0.29640522875816955
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P3,19,fibonacci_8_21,0.7619047619047619,0.18253968253968256,0.26293183940242765,0.20158730158730265,0.2975723622782445
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P3,19,phi,0.7639320225002103,0.1805124219442341,0.2625740875326426,0.21983264694633675,0.3038926453111132
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P3,19,two_fifths,0.8,0.17222222222222217,0.25620915032679736,0.533333333333335,0.5209150326797395
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P3,19,silver_conjugate,0.8284271247461903,0.1839826803017458,0.25453696651819796,0.8002885671601572,0.6988116322293463
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P3,19,ridge,1.0,0.2777777777777777,0.28104575163398693,0.344444444444445,0.4248366013071892
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P4,38,persistence,0.0,0.825,0.8101851851851851,0.43888888888889355,0.5172839506172839
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P4,38,one_third,0.6666666666666666,0.15833333333333333,0.15061728395061733,0.4833333333333316,0.5021604938271602
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P4,38,one_over_e,0.7357588823428847,0.09479667321267088,0.10773784277917496,0.3715578170538034,0.4141761953868541
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P4,38,three_eighths,0.75,0.09166666666666667,0.10092592592592593,0.42222222222222605,0.4577160493827179
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P4,38,fibonacci_8_21,0.7619047619047619,0.09722222222222227,0.09629629629629632,0.6333333333333364,0.6103615520282203
