domain,population,split,cell,evidence_role,n,n_contracting,n_expanding,n_reverse,n_forward,radial_median_contracting,radial_median_expanding,radial_reciprocal_product,radial_implied_alpha,angular_median_reverse_turns,angular_median_forward_turns,angular_implied_tau,radial_fixed_winner,angular_fixed_winner,radial_e_pass,angular_phi_pass,joint_fixed_pass,radial_score_plastic,radial_score_sqrt2,radial_score_three_halves,radial_score_phi,radial_score_octave,radial_score_e,angular_score_quarter,angular_score_third,angular_score_one_over_e,angular_score_three_eighths,angular_score_phi_inverse_squared,angular_score_two_fifths,angular_score_sqrt2_minus_1,radial_alpha_cal,radial_score_fitted_cal,radial_e_beats_fitted,angular_tau_cal,angular_score_fitted_cal,angular_phi_beats_fitted,strong_transfer_pass
recorded_qutrit,three_planes_circle,calibration,psi0_psi1:lag1,real_data_primary,79708,39788,39920,39654,40054,0.54868061757,1.81811407157,0.997563951602,1.82033263308,0.252357736093,0.248525910277,0.250441823185,octave,quarter,False,False,False,0.317819675298,0.252445659341,0.193554141513,0.117807424562,0.0941279309386,0.400980750379,0.00191591290818,0.082891510148,0.117437617986,0.124558176815,0.131524188065,0.149558176815,0.163771739188,1.80911405229,0.00618199804701,False,0.266935688501,0.0164938653156,False,False
recorded_qutrit,three_planes_circle,calibration,psi0_psi1:lag2,real_data_primary,79383,39619,39764,40068,39315,0.596826071354,1.67001155251,0.996706434002,1.67276851115,0.359936909757,0.357398965083,0.35866793742,phi,one_over_e,False,False,False,0.233280470617,0.16790645466,0.109014936832,0.0332682198808,0.17866713562,0.48551995506,0.10866793742,0.0253346040866,0.0092115037515,0.0163320625801,0.0232980738302,0.0413320625801,0.0555456249531,1.80911405229,0.0783572066339,False,0.266935688501,0.0917322489191,True,False
recorded_qutrit,three_planes_circle,calibration,psi0_psi1:lag4,real_data_primary,78736,39328,39408,39349,39387,0.542880719387,1.83926434888,0.998501152865,1.84064428776,0.251140254461,0.249746863905,0.250443559183,octave,quarter,False,False,False,0.328916092727,0.26354207677,0.204650558942,0.128903841991,0.0830315135095,0.38988433295,0.000696695278152,0.0828897741505,0.117435881989,0.124556440817,0.131522452067,0.149556440817,0.16377000319,1.80911405229,0.0172784154761,False,0.266935688501,0.016492129318,False,False
recorded_qutrit,three_planes_circle,calibration,psi0_psi1:lag8,real_data_primary,77485,38767,38718,38644,38841,0.547411775195,1.84125169153,1.00792285704,1.83400076213,0.247680369508,0.250612184077,0.249146276793,octave,quarter,False,False,False,0.325300215154,0.259926199197,0.201034681369,0.125287964417,0.0866473910831,0.393500210523,0.00146590728431,0.0841870565405,0.118733164379,0.125853723207,0.132819734457,0.150853723207,0.16506728558,1.80911405229,0.0136625379025,False,0.266935688501,0.0177894117081,False,False
recorded_qutrit,three_planes_circle,calibration,psi0_psi1:lag16,real_data_primary,75091,37596,37495,37806,37285,0.54600325829,1.83742398017,1.00323948003,1.83445504306,0.250608239094,0.247928018056,0.249268128575,octave,quarter,False,False,False,0.325547883478,0.260173867521,0.201282349693,0.125535632741,0.086399722759,0.393252542199,0.00134011051904,0.0840652047584,0.118611312597,0.125731871425,0.132697882675,0.150731871425,0.164945433798,1.80911405229,0.0139102062265,False,0.266935688501,0.0176675599259,False,False
recorded_qutrit,three_planes_circle,calibration,psi0_psi1:lag32,real_data_primary,70544,35157,35387,35216,35328,0.543721395646,1.83242001227,0.996325966481,1.83579550264,0.251087094891,0.249794182917,0.250440638904,octave,quarter,False,False,False,0.32627832967,0.260904313713,0.202012795885,0.126266078933,0.0856692765671,0.392522096007,0.000646455987164,0.0828926944293,0.117438802267,0.124559361096,0.131525372346,0.149559361096,0.163772923469,1.80911405229,0.0146406524184,False,0.266935688501,0.0164950495968,False,False
recorded_qutrit,three_planes_circle,calibration,psi0_psi1:lag64,real_data_primary,62377,31171,31206,30819,31558,0.545010737889,1.83995384091,1.00279460051,1.83738824889,0.253422360396,0.252238490921,0.252830425659,octave,quarter,False,False,False,0.327145559081,0.261771543124,0.202880025296,0.127133308344,0.084802047156,0.391654866596,0.00283042565851,0.0805029076748,0.115049015513,0.122169574341,0.129135585592,0.147169574341,0.161383136715,1.80911405229,0.0155078818296,False,0.266935688501,0.0141052628424,False,False
recorded_qutrit,three_planes_circle,holdout,psi0_psi1:lag1,real_data_primary,79706,39921,39785,39776,39930,0.553469540993,1.82021437087,1.00743321235,1.81348683316,0.250928602222,0.249311046224,0.250119824223,octave,quarter,False,False,False,0.314051844936,0.248677828979,0.18978631115,0.114039594199,0.0978957613014,0.404748580741,0.000808777999218,0.0832135091101,0.117759616948,0.124880175777,0.131846187027,0.149880175777,0.16409373815,1.80911405229,0.00370286108733,False,0.266935688501,0.0168158642776,False,False
recorded_qutrit,three_planes_circle,holdout,psi0_psi1:lag2,real_data_primary,79392,39711,39681,39831,39561,0.599122707239,1.66493243781,0.997498829509,1.66701849175,0.358838015513,0.359586263602,0.359212139557,phi,one_over_e,False,False,False,0.229837122214,0.164463106257,0.105571588429,0.0298248714775,0.182110484023,0.488963303463,0.109212139557,0.0258788062241,0.008667301614,0.0157878604426,0.0227538716927,0.0407878604426,0.0550014228157,1.80911405229,0.0818005550373,False,0.266935688501,0.0922764510566,True,False
recorded_qutrit,three_planes_circle,holdout,psi0_psi1:lag4,real_data_primary,78760,39436,39324,39213,39547,0.547895650655,1.83596238719,1.00591580671,1.83055576484,0.250218286005,0.251254276199,0.250736281102,octave,quarter,False,False,False,0.323420042871,0.258046026914,0.199154509086,0.123407792135,0.0885275633658,0.395380382806,0.000736281102028,0.0825970522313,0.117143160069,0.124263718898,0.131229730148,0.149263718898,0.163477281271,1.80911405229,0.0117823656198,False,0.266935688501,0.0161994073988,False,False
recorded_qutrit,three_planes_circle,holdout,psi0_psi1:lag8,real_data_primary,77524,38721,38803,38858,38666,0.541245289014,1.83924673228,0.995483629178,1.84341421416,0.250190694205,0.249425631548,0.249808162876,octave,quarter,False,False,False,0.330419829063,0.265045813106,0.206154295278,0.130407578326,0.0815277771742,0.388380596614,0.000382531328508,0.0835251704569,0.118071278295,0.125191837124,0.132157848374,0.150191837124,0.164405399497,1.80911405229,0.0187821518114,False,0.266935688501,0.0171275256245,False,False
