domain,population,split,evidence_role,n,line_n,line_contracting_n,line_expanding_n,line_R_median,line_s_equivalent,line_fixed_winner,line_e_score,line_fitted_cal_R,line_fitted_score,line_eligible,line_fixed_pass,line_pass,circle_n,circle_reverse_n,circle_forward_n,circle_C_median_turns,circle_fixed_winner,circle_phi_score,circle_fitted_cal_C,circle_fitted_score,circle_eligible,circle_fixed_pass,circle_pass,mixed_n,target_linear_budget_loss,target_euclidean_budget_loss,best_pair_radial,best_pair_angular,best_pair_loss,target_pair_rank,radial_angular_spearman,shuffle_p,gradient_pass,joint_pass
recorded_bubbles,octave_relative_roots,calibration,real_data_transfer,500,119,33,86,0.3036824137982269,1.354838709677426,plastic,0.6963175862017731,0.3036824137982269,0.0,True,False,False,59,36,23,0.06666158148681771,quarter,0.31530442976328743,0.06666158148681771,0.0,True,False,False,165,0.7321386432161414,0.7680845848796549,three_halves,quarter,0.5669372130742696,40,0.32770708547805183,,False,False
recorded_bubbles,octave_relative_roots,evaluation,real_data_transfer,688,187,64,123,0.23134177387961236,1.2602899000193384,plastic,0.7686582261203876,0.3036824137982269,0.07234063991861456,True,False,False,60,29,31,0.04574321696851287,quarter,0.3362227942815923,0.06666158148681771,0.02091836451830484,True,False,False,200,0.767139989817335,0.8050851817856748,plastic,quarter,0.5345668004085518,40,0.305812202328907,1.0,False,False
recorded_bubbles,octave_relative_roots,holdout,real_data_transfer,160,54,23,31,0.30469935138611315,1.3562171968857502,plastic,0.6953006486138869,0.3036824137982269,0.0010169375878862352,True,False,False,12,6,6,0.04013071738335848,quarter,0.34183529386674666,0.06666158148681771,0.02653086410345923,False,False,False,47,0.7266420928670422,0.7572884565336568,sqrt2,quarter,0.5226865096233662,40,0.34205144732216103,1.0,False,False
recorded_qutrit,three_planes_circle_lag1,calibration,real_data_primary,239776,20874,10469,10405,1.0250850529814453,2.7873325214255678,e,0.025085052981445255,1.0250850529814453,0.0,True,True,False,57409,28859,28550,0.35057599152067953,third,0.03139001972942562,0.35057599152067953,0.0,True,False,False,81333,0.467419433589376,0.32277686207794176,e,sqrt2_minus_1,0.4387970347906435,3,-0.0010141017576687837,,False,False
recorded_qutrit,three_planes_circle_lag1,holdout,real_data_primary,239735,20942,10441,10501,1.0161283523821891,2.762478688881805,e,0.016128352382189126,1.0250850529814453,0.008956700599256129,True,True,False,56870,28393,28477,0.3507693713199168,one_over_e,0.03119663993018834,0.35057599152067953,0.000193379799237281,True,False,False,82037,0.4684178980793008,0.32453308051455454,e,sqrt2_minus_1,0.43998471354657265,3,0.00018025947489849233,0.5104895104895105,False,False
recorded_river,all_41_intact_rank_paths,calibration,real_data_primary,410,4,1,3,0.0748543891502001,1.0777272106838107,plastic,0.9251456108498,0.0748543891502001,0.0,False,False,False,203,74,129,0.07414963039867106,quarter,0.3078163808514341,0.07414963039867106,0.0,True,False,False,130,0.6311820787116339,0.5738885218859106,e,three_eighths,0.6279022874405245,3,0.45659336505012965,,False,False
recorded_river,all_41_intact_rank_paths,evaluation,real_data_primary,410,3,1,2,0.05851465794717516,1.0602605268234906,plastic,0.9414853420528249,0.0748543891502001,0.016339731203024933,False,False,False,192,47,145,0.07590979893209604,quarter,0.3060562123180091,0.07414963039867106,0.0017601685334249773,True,False,False,131,0.6517474700984778,0.618641989046441,e,third,0.6394486150485277,6,0.5659155180693188,1.0,False,False
recorded_river,all_41_intact_rank_paths,holdout,real_data_primary,451,3,1,2,0.17648835699626664,1.193020536336176,plastic,0.8235116430037334,0.0748543891502001,0.10163396784606654,False,False,False,230,58,172,0.05877666486591991,quarter,0.3231893463841852,0.07414963039867106,0.015372965532751151,True,False,False,139,0.7272424030331308,0.6362246857624871,e,two_fifths,0.719603226104957,3,0.6470526259028159,1.0,False,False
