candidate,candidate_type,turn_fraction,step_error_median_deg,cumulative_error_median_deg
development_median,fitted_global,0.383827777778,6.6315,4.593
eight_twenty_firsts,fixed,0.380952380952,6.986,6.52417857143
one_over_e,fixed,0.367879441171,9.09065117828,18.3748023566
one_third,fixed,0.333333333333,19.497,51.083
phi,fixed,0.38196601125,6.986,5.42945784989
plant_early_mean,fitted_plant,0.370271527778,10.3095,16.90125
silver_conjugate,fixed,0.414213562373,9.68944122716,28.2786767494
three_eighths,fixed,0.375,6.74325,10.239
two_fifths,fixed,0.4,7.1935,14.1215
