genotype,plant,split,n_events,candidate,candidate_type,increment_ara,heldout_n,one_step_median_ara,one_step_mean_ara,carrier_median_ara,carrier_mean_ara
Col,1,development,4,persistence,fixed,0,2,0.745808333333,0.745808333333,0.629758333333,0.629758333333
Col,1,development,4,one_third_phase,fixed,0.666666666667,2,0.0791416666667,0.0791416666667,0.121375,0.121375
Col,1,development,4,one_over_e,fixed,0.735758882343,2,0.0100494509904,0.0100494509904,0.0177366764857,0.0177366764857
Col,1,development,4,nearest_eighth_3_8,fixed,0.75,2,0.005325,0.005325,0.00475833333333,0.00475833333333
Col,1,development,4,fibonacci_8_21,fixed,0.761904761905,2,0.0160964285714,0.0160964285714,0.0214821428571,0.0214821428571
Col,1,development,4,phi,fixed,0.7639320225,2,0.0181236891669,0.0181236891669,0.0245230337503,0.0245230337503
Col,1,development,4,two_fifths_phase,fixed,0.8,2,0.0541916666667,0.0541916666667,0.078625,0.078625
Col,1,development,4,silver_conjugate,fixed,0.828427124746,2,0.0826187914129,0.0826187914129,0.121265687119,0.121265687119
Col,1,development,4,half_turn_ridge,fixed,1,2,0.254191666667,0.254191666667,0.378625,0.378625
Col,1,development,4,development_step_fit,development_fit,0.767655555556,2,0.0218472222222,0.0218472222222,0.0301083333333,0.0301083333333
Col,1,development,4,development_carrier_fit,development_fit,0.766279999999,2,0.0204716666659,0.0204716666659,0.0280449999989,0.0280449999989
Col,2,confirmation,6,persistence,fixed,0,4,0.773397222222,0.773619444444,0.631672222222,0.614947222222
Col,2,confirmation,6,one_third_phase,fixed,0.666666666667,4,0.106730555556,0.106952777778,0.252636111111,0.269361111111
Col,2,confirmation,6,one_over_e,fixed,0.735758882343,4,0.0376383398793,0.0378605621016,0.0799055719206,0.0966305719206
Col,2,confirmation,6,nearest_eighth_3_8,fixed,0.75,4,0.03345,0.0336722222222,0.0543555555556,0.0610277777778
Col,2,confirmation,6,fibonacci_8_21,fixed,0.761904761905,4,0.03345,0.0336722222222,0.0353662698413,0.0312658730159
Col,2,confirmation,6,phi,fixed,0.7639320225,4,0.03345,0.0336722222222,0.0292844880549,0.0266346441665
Col,2,confirmation,6,two_fifths_phase,fixed,0.8,4,0.0338944444444,0.0336722222222,0.0789194444444,0.0694861111111
Col,2,confirmation,6,silver_conjugate,fixed,0.828427124746,4,0.055029902524,0.0548076803017,0.151765034088,0.135040034088
Col,2,confirmation,6,half_turn_ridge,fixed,1,4,0.226602777778,0.226380555556,0.580697222222,0.563972222222
Col,2,confirmation,6,development_step_fit,development_fit,0.767655555556,4,0.03345,0.0336722222222,0.0181138888889,0.0229111111111
Col,2,confirmation,6,development_carrier_fit,development_fit,0.766279999999,4,0.03345,0.0336722222222,0.0222405555578,0.0242866666674
Col,3,development,6,persistence,fixed,0,4,0.767391666667,0.765933333333,0.653597222222,0.638208333333
Col,3,development,6,one_third_phase,fixed,0.666666666667,4,0.100725,0.0992666666667,0.252494444444,0.267883333333
Col,3,development,6,one_over_e,fixed,0.735758882343,4,0.0438083333333,0.0516511143841,0.101240568648,0.0951527941428
Col,3,development,6,nearest_eighth_3_8,fixed,0.75,4,0.0438083333333,0.0445305555556,0.0615527777778,0.05955
Col,3,development,6,fibonacci_8_21,fixed,0.761904761905,4,0.0438083333333,0.04235,0.0198861111111,0.0297880952381
Col,3,development,6,phi,fixed,0.7639320225,4,0.0438083333333,0.04235,0.012790699027,0.0247199437495
Col,3,development,6,two_fifths_phase,fixed,0.8,4,0.0408916666667,0.0521388888889,0.0808388888889,0.0835222222222
Col,3,development,6,silver_conjugate,fixed,0.828427124746,4,0.0610354580795,0.066352451262,0.151906700754,0.140376471715
Col,3,development,6,half_turn_ridge,fixed,1,4,0.232608333333,0.234066666667,0.580838888889,0.56545
Col,3,development,6,development_step_fit,development_fit,0.767655555556,4,0.0408916666667,0.04235,0.00664722222222,0.0220361111111
Col,3,development,6,development_carrier_fit,development_fit,0.766279999999,4,0.0420033333341,0.04235,0.00707111111149,0.021348333333
Col,4,confirmation,5,persistence,fixed,0,3,0.804472222222,0.786827777778,0.471322222222,0.545425925926
Col,4,confirmation,5,one_third_phase,fixed,0.666666666667,3,0.137805555556,0.120161111111,0.195344444444,0.231211111111
Col,4,confirmation,5,one_over_e,fixed,0.735758882343,3,0.0687133398793,0.0587711132931,0.0687133398793,0.0930266797587
Col,4,confirmation,5,nearest_eighth_3_8,fixed,0.75,3,0.0544722222222,0.0540240740741,0.0544722222222,0.0645444444444
Col,4,confirmation,5,fibonacci_8_21,fixed,0.761904761905,3,0.0425674603175,0.0500558201058,0.0425674603175,0.0407349206349
Col,4,confirmation,5,phi,fixed,0.7639320225,3,0.040540199722,0.049380066574,0.040540199722,0.036680399444
Col,4,confirmation,5,two_fifths_phase,fixed,0.8,3,0.0318055555556,0.0373574074074,0.0395166666667,0.038437037037
Col,4,confirmation,5,silver_conjugate,fixed,0.828427124746,3,0.023954902524,0.0438516341747,0.124798040905,0.0923098050479
Col,4,confirmation,5,half_turn_ridge,fixed,1,3,0.195527777778,0.213172222222,0.471322222222,0.435455555556
Col,4,confirmation,5,development_step_fit,development_fit,0.767655555556,3,0.04345,0.0481388888889,0.0368166666667,0.0336555555556
Col,4,confirmation,5,development_carrier_fit,development_fit,0.766279999999,3,0.0420744444437,0.0485974074077,0.038192222223,0.0345725925931
Col,5,development,6,persistence,fixed,0,4,0.782716666667,0.782258333333,0.653683333333,0.630480555556
Col,5,development,6,one_third_phase,fixed,0.666666666667,4,0.11605,0.115591666667,0.281855555556,0.310130555556
Col,5,development,6,one_over_e,fixed,0.735758882343,4,0.05655,0.0731344477174,0.135760013092,0.137400016365
Col,5,development,6,nearest_eighth_3_8,fixed,0.75,4,0.05655,0.0660138888889,0.106238888889,0.101797222222
Col,5,development,6,fibonacci_8_21,fixed,0.761904761905,4,0.05655,0.0600615079365,0.0645722222222,0.0720353174603
Col,5,development,6,phi,fixed,0.7639320225,4,0.05655,0.0590478776388,0.0574768101382,0.0669671659717
Col,5,development,6,two_fifths_phase,fixed,0.8,4,0.0556333333333,0.0582972222222,0.0687611111111,0.0637583333333
Col,5,development,6,silver_conjugate,fixed,0.828427124746,4,0.0556333333333,0.0725107845953,0.122545589643,0.120612582826
Col,5,development,6,half_turn_ridge,fixed,1,4,0.217283333333,0.217741666667,0.551477777778,0.523202777778
Col,5,development,6,development_step_fit,development_fit,0.767655555556,4,0.05655,0.0571861111111,0.0444444444444,0.0576583333333
Col,5,development,6,development_carrier_fit,development_fit,0.766279999999,4,0.05655,0.0578738888893,0.0492588888915,0.0610972222241
Col,6,confirmation,6,persistence,fixed,0,4,0.790686111111,0.779930555556,0.633472222222,0.6154125
Col,6,confirmation,6,one_third_phase,fixed,0.666666666667,4,0.124019444444,0.113263888889,0.2527,0.270759722222
Col,6,confirmation,6,one_over_e,fixed,0.735758882343,4,0.0549272287682,0.0455233366063,0.0813211242031,0.0980291830317
Col,6,confirmation,6,nearest_eighth_3_8,fixed,0.75,4,0.0406861111111,0.0384027777778,0.0528388888889,0.0624263888889
Col,6,confirmation,6,fibonacci_8_21,fixed,0.761904761905,4,0.0290972222222,0.0324503968254,0.0290293650794,0.032664484127
Col,6,confirmation,6,phi,fixed,0.7639320225,4,0.0290972222222,0.0314367665277,0.0249748438885,0.0293755773608
Col,6,confirmation,6,two_fifths_phase,fixed,0.8,4,0.00931388888889,0.0227166666667,0.0779861111111,0.0625736111111
Col,6,confirmation,6,silver_conjugate,fixed,0.828427124746,4,0.0377410136351,0.0484965691906,0.151701145199,0.133641422977
Col,6,confirmation,6,half_turn_ridge,fixed,1,4,0.209313888889,0.220069444444,0.580633333333,0.562573611111
Col,6,confirmation,6,development_step_fit,development_fit,0.767655555556,4,0.0290972222222,0.029575,0.0175277777778,0.0237902777778
Col,6,confirmation,6,development_carrier_fit,development_fit,0.766279999999,4,0.0290972222222,0.0302627777782,0.0202788888904,0.0258536111122
Col,7,development,7,persistence,fixed,0,5,0.737427777778,0.765945555556,0.439388888889,0.542812222222
Col,7,development,7,one_third_phase,fixed,0.666666666667,5,0.0707611111111,0.0992788888889,0.367466666667,0.335867777778
Col,7,development,7,one_over_e,fixed,0.735758882343,5,0.0109255490096,0.0363093346425,0.149264470628,0.128591130749
Col,7,development,7,nearest_eighth_3_8,fixed,0.75,5,0.0251666666667,0.03849,0.0797277777778,0.0858677777778
Col,7,development,7,fibonacci_8_21,fixed,0.761904761905,5,0.0370714285714,0.040870952381,0.044680952381,0.0501534920635
Col,7,development,7,phi,fixed,0.7639320225,5,0.0390986891669,0.0412764045,0.0365719099992,0.0440717102771
Col,7,development,7,two_fifths_phase,fixed,0.8,5,0.0625722222222,0.04849,0.0393888888889,0.0758255555556
Col,7,development,7,silver_conjugate,fixed,0.828427124746,5,0.0909993469684,0.0628040526255,0.117814707572,0.149736079896
Col,7,development,7,half_turn_ridge,fixed,1,5,0.262572222222,0.234054444444,0.632533333333,0.596023333333
