candidate,increment_ara,lag,observed_median_ara,observed_mean_ara,n_plants,n_pairs,predicted_return_ara,absolute_error_ara,profile_mae_ara
persistence,0,2,0.472116666667,0.471323888889,10,55,0,0.472116666667,0.311528703704
persistence,0,3,0.287216666667,0.288298888889,10,45,0,0.287216666667,0.311528703704
persistence,0,5,0.175252777778,0.172828611111,10,25,0,0.175252777778,0.311528703704
one_third_phase,0.666666666667,2,0.472116666667,0.471323888889,10,55,0.666666666667,0.19455,0.324393518519
one_third_phase,0.666666666667,3,0.287216666667,0.288298888889,10,45,0,0.287216666667,0.324393518519
one_third_phase,0.666666666667,5,0.175252777778,0.172828611111,10,25,0.666666666667,0.491413888889,0.324393518519
one_over_e,0.735758882343,2,0.472116666667,0.471323888889,10,55,0.528482235314,0.0563655686476,0.0940861329311
one_over_e,0.735758882343,3,0.287216666667,0.288298888889,10,45,0.207276647029,0.079940019638,0.0940861329311
one_over_e,0.735758882343,5,0.175252777778,0.172828611111,10,25,0.321205588286,0.145952810508,0.0940861329311
nearest_eighth_3_8,0.75,2,0.472116666667,0.471323888889,10,55,0.5,0.0278833333333,0.0466157407407
nearest_eighth_3_8,0.75,3,0.287216666667,0.288298888889,10,45,0.25,0.0372166666667,0.0466157407407
nearest_eighth_3_8,0.75,5,0.175252777778,0.172828611111,10,25,0.25,0.0747472222222,0.0466157407407
fibonacci_8_21,0.761904761905,2,0.472116666667,0.471323888889,10,55,0.47619047619,0.00407380952381,0.0069332010582
fibonacci_8_21,0.761904761905,3,0.287216666667,0.288298888889,10,45,0.285714285714,0.00150238095238,0.0069332010582
fibonacci_8_21,0.761904761905,5,0.175252777778,0.172828611111,10,25,0.190476190476,0.0152234126984,0.0069332010582
phi,0.7639320225,2,0.472116666667,0.471323888889,10,55,0.472135955,1.92883329126e-05,0.00322859962935
phi,0.7639320225,3,0.287216666667,0.288298888889,10,45,0.291796067501,0.00457940083396,0.00322859962935
phi,0.7639320225,5,0.175252777778,0.172828611111,10,25,0.180339887499,0.00508710972117,0.00322859962935
two_fifths_phase,0.8,2,0.472116666667,0.471323888889,10,55,0.4,0.0721166666667,0.120050925926
two_fifths_phase,0.8,3,0.287216666667,0.288298888889,10,45,0.4,0.112783333333,0.120050925926
two_fifths_phase,0.8,5,0.175252777778,0.172828611111,10,25,0,0.175252777778,0.120050925926
silver_conjugate,0.828427124746,2,0.472116666667,0.471323888889,10,55,0.343145750508,0.128970916159,0.120050925926
silver_conjugate,0.828427124746,3,0.287216666667,0.288298888889,10,45,0.485281374239,0.198064707572,0.120050925926
silver_conjugate,0.828427124746,5,0.175252777778,0.172828611111,10,25,0.142135623731,0.0331171540468,0.120050925926
half_turn_ridge,1,2,0.472116666667,0.471323888889,10,55,0,0.472116666667,0.669882407407
half_turn_ridge,1,3,0.287216666667,0.288298888889,10,45,1,0.712783333333,0.669882407407
half_turn_ridge,1,5,0.175252777778,0.172828611111,10,25,1,0.824747222222,0.669882407407
