raw_file,calculated_file,plant,compared,forward_mae_deg,backward_mae_deg,matching_direction,best_mae_deg
WS4-JL-Angles-Bruts.txt,WS4-JL.txt,1,33,0.0,84.78787878787878,forward,0.0
WS4-JL-Angles-Bruts.txt,WS4-JL.txt,2,39,0.0,91.23076923076923,forward,0.0
WS4-JL-Angles-Bruts.txt,WS4-JL.txt,3,34,112.29411764705883,0.0,backward,0.0
WS4-JL-Angles-Bruts.txt,WS4-JL.txt,4,39,0.0,76.51282051282051,forward,0.0
WS4-JL-Angles-Bruts.txt,WS4-JL.txt,5,34,0.0,88.6470588235294,forward,0.0
WS4-JL-Angles-Bruts.txt,WS4-JL.txt,6,31,0.0,78.06451612903226,forward,0.0
WS4-JL-Angles-Bruts.txt,WS4-JL.txt,7,36,0.0,76.72222222222223,forward,0.0
WS4-JL-Angles-Bruts.txt,WS4-JL.txt,8,34,99.70588235294117,0.0,backward,0.0
WS4-JL-Angles-Bruts.txt,WS4-JL.txt,9,37,0.0,76.43243243243244,forward,0.0
WS4-JL-Angles-Bruts.txt,WS4-JL.txt,10,33,0.0,67.63636363636364,forward,0.0
WS4-JL-Angles-Bruts.txt,WS4-JL.txt,11,24,0.0,107.5,forward,0.0
WS4-JL-Angles-Bruts.txt,WS4-JL.txt,12,24,0.0,73.08333333333333,forward,0.0
WS4-JL-Angles-Bruts.txt,WS4-JL.txt,13,30,110.6,0.0,backward,0.0
WS4-JL-Angles-Bruts.txt,WS4-JL.txt,14,25,127.04,0.0,backward,0.0
WS4-JL-Angles-Bruts.txt,WS4-JL.txt,15,34,0.0,77.3529411764706,forward,0.0
WS4-JC-JL-Angles-Bruts.txt,WS4-JC-JL.txt,1,47,0.0,136.3404255319149,forward,0.0
WS4-JC-JL-Angles-Bruts.txt,WS4-JC-JL.txt,2,39,0.0,141.7948717948718,forward,0.0
WS4-JC-JL-Angles-Bruts.txt,WS4-JC-JL.txt,3,48,0.0,123.91666666666667,forward,0.0
WS4-JC-JL-Angles-Bruts.txt,WS4-JC-JL.txt,4,44,0.0,140.8181818181818,forward,0.0
WS4-JC-JL-Angles-Bruts.txt,WS4-JC-JL.txt,5,36,0.0,124.38888888888889,forward,0.0
WS4-JC-JL-Angles-Bruts.txt,WS4-JC-JL.txt,6,41,0.0,153.5121951219512,forward,0.0
WS4-JC-JL-Angles-Bruts.txt,WS4-JC-JL.txt,7,40,0.0,160.8,forward,0.0
WS4-JC-JL-Angles-Bruts.txt,WS4-JC-JL.txt,8,49,122.04081632653062,0.0,backward,0.0
WS4-JC-JL-Angles-Bruts.txt,WS4-JC-JL.txt,9,51,130.3921568627451,0.0,backward,0.0
WS4-JC-JL-Angles-Bruts.txt,WS4-JC-JL.txt,10,44,0.0,130.3181818181818,forward,0.0
WS4-JC-JL-Angles-Bruts.txt,WS4-JC-JL.txt,11,53,0.0,129.39622641509433,forward,0.0
WS4-JC-JL-Angles-Bruts.txt,WS4-JC-JL.txt,12,42,0.0,124.66666666666667,forward,0.0
WS4-JC-JL-Angles-Bruts.txt,WS4-JC-JL.txt,13,42,162.61904761904762,0.0,backward,0.0
WS4-JC-JL-Angles-Bruts.txt,WS4-JC-JL.txt,14,54,0.0,165.40740740740742,forward,0.0
WS4-JC-JL-Angles-Bruts.txt,WS4-JC-JL.txt,15,47,139.36170212765958,0.0,backward,0.0
WS4-JC-JL-Angles-Bruts.txt,WS4-JC-JL.txt,16,34,0.0,126.0,forward,0.0
WS4-JC-JL-Angles-Bruts.txt,WS4-JC-JL.txt,17,53,0.0,163.16981132075472,forward,0.0
WS4-JC-JL-Angles-Bruts.txt,WS4-JC-JL.txt,18,34,120.47058823529412,0.0,backward,0.0
