domain,split,cone_degrees,line_n,line_R_median,line_e_distance,circle_n,circle_C_median,circle_phi_distance
recorded_bubbles,calibration,10.0,73,0.30012895495334707,0.699871045046653,37,0.06534867021601183,0.31661734103409334
recorded_bubbles,calibration,15.0,119,0.3036824137982269,0.6963175862017731,59,0.06666158148681771,0.31530442976328743
recorded_bubbles,calibration,20.0,148,0.301905684375787,0.698094315624213,80,0.06470841155406291,0.3172575996960422
recorded_bubbles,evaluation,10.0,124,0.22492447980606767,0.7750755201939323,39,0.04773807262284656,0.3342279386272586
recorded_bubbles,evaluation,15.0,187,0.23134177387961236,0.7686582261203876,60,0.04574321696851287,0.3362227942815923
recorded_bubbles,evaluation,20.0,234,0.22842334944684978,0.7715766505531503,88,0.0442213217480755,0.3377446895020296
recorded_bubbles,holdout,10.0,42,0.30469935138611315,0.6953006486138869,9,0.04030915783479892,0.3416568534153062
recorded_bubbles,holdout,15.0,54,0.30469935138611315,0.6953006486138869,12,0.04013071738335848,0.34183529386674666
recorded_bubbles,holdout,20.0,67,0.2913815267030618,0.7086184732969383,16,0.04013071738335848,0.34183529386674666
recorded_qutrit,calibration,10.0,13685,1.0221851258354422,0.022185125835442188,38356,0.3513002355069793,0.030665775743125845
recorded_qutrit,calibration,15.0,20874,1.0250850529814453,0.025085052981445255,57409,0.35057599152067953,0.03139001972942562
recorded_qutrit,calibration,20.0,28486,1.0297298729961355,0.029729872996135498,76239,0.3484896737086112,0.03347633754149393
recorded_qutrit,holdout,10.0,13749,1.0106811604441792,0.010681160444179216,37834,0.35163075880473127,0.030335252445373884
recorded_qutrit,holdout,15.0,20942,1.0161283523821891,0.016128352382189126,56870,0.3507693713199168,0.03119663993018834
recorded_qutrit,holdout,20.0,28450,1.0216456441141633,0.021645644114163254,75922,0.34922997553044244,0.032736035719662715
recorded_river,calibration,10.0,2,0.09136976162657207,0.9086302383734279,172,0.07308090426135472,0.30888510698875044
recorded_river,calibration,15.0,4,0.0748543891502001,0.9251456108498,203,0.07414963039867106,0.3078163808514341
recorded_river,calibration,20.0,7,0.078191650183886,0.921808349816114,224,0.07620497633173151,0.30576103491837364
recorded_river,evaluation,10.0,2,0.1604651413222769,0.8395348586777232,160,0.06433650923194939,0.31762950201815576
recorded_river,evaluation,15.0,3,0.05851465794717516,0.9414853420528249,192,0.07590979893209604,0.3060562123180091
recorded_river,evaluation,20.0,3,0.05851465794717516,0.9414853420528249,212,0.0751137575803497,0.30685225366975544
recorded_river,holdout,10.0,0,,,209,0.055781215165606204,0.32618479608449896
recorded_river,holdout,15.0,3,0.17648835699626664,0.8235116430037334,230,0.05877666486591991,0.3231893463841852
recorded_river,holdout,20.0,4,0.11891374607892242,0.8810862539210775,252,0.060675585625375734,0.3212904256247294
