year,body,mean_projection_share,median_projection_share,mean_absolute_share,median_absolute_share
1900,mercury,6.2892139736926295e-06,0.0001496232954779304,0.0005040316559261713,0.0004894195272754606
1901,mercury,6.027187688376758e-06,9.934550345577551e-05,0.0004935632163366952,0.00047792607301975327
1902,mercury,7.1068963459737206e-06,7.779644761107082e-05,0.0004846454625755185,0.0004657019762953876
1903,mercury,9.131214669901898e-06,7.674158619002072e-05,0.0004798338868263835,0.0004680352992375033
1904,mercury,1.254171790096159e-05,-2.4370603485329287e-05,0.0004816145870308224,0.0004686837711344145
1905,mercury,-1.3353327374587035e-06,-7.204136480403699e-05,0.0004812172749167183,0.00047335696515313626
1906,mercury,-4.1193656479036015e-06,-0.00014926219678117433,0.0004846904212099958,0.00047017063021449865
1907,mercury,-4.9612387488637716e-06,-0.00015939436158060634,0.0004914463517729232,0.0004789314903778623
1908,mercury,-6.663478987668895e-06,-0.00014244653233727128,0.0004993715701740121,0.0004778390947355742
1909,mercury,-1.1309534905770263e-05,-0.00011520478319805656,0.0005063328975682098,0.0004879880400126454
1910,mercury,-1.4905426464367928e-05,-4.999453203755839e-06,0.0005105548886848081,0.0004978466879903445
1911,mercury,-1.092498901794955e-05,4.415419269481399e-05,0.0005080008528852065,0.0004973130897254125
1912,mercury,-1.8847201007773225e-07,6.004946044354931e-05,0.0004973789279498486,0.000487651095953368
1913,mercury,3.382038143174927e-06,1.2820951760740626e-05,0.00048481036695364164,0.00047038235050662723
1914,mercury,3.7393190267906368e-06,9.173902695247976e-05,0.000474576031501806,0.0004602328951003108
1915,mercury,4.574632581209389e-06,2.004056100969676e-05,0.0004690661005746796,0.000453528775828245
1916,mercury,6.311966940647412e-06,-7.074992774083951e-05,0.0004701690988399064,0.0004584886250684588
1917,mercury,1.124073343302606e-05,-0.00010023599986917249,0.0004774353520767673,0.0004640886281804098
1918,mercury,1.0904865736791218e-05,-0.00010138100145662792,0.000485736234821891,0.00047528267684029783
1919,mercury,5.192789896711491e-06,-3.661330440072346e-05,0.0004926676532801431,0.0004800741076734037
1920,mercury,2.0772954974849887e-06,-5.0429812114654145e-06,0.0004995919484201529,0.0004841234782646027
1921,mercury,-3.563983632910759e-07,-1.4208406269042823e-05,0.0005054558308983193,0.00048579469231776855
1922,mercury,-2.859912071604801e-06,3.378534406480753e-05,0.0005090478938666867,0.0004907614193593995
1923,mercury,-7.4639343651716816e-06,7.893538215361507e-05,0.0005098188857129859,0.0004948130570860647
1924,mercury,-2.1604064874087214e-05,5.733641701414562e-05,0.0005074523748785041,0.0004976279211751343
1925,mercury,-6.529317546220104e-06,2.4839060323678307e-05,0.0004943613304855531,0.0004862352240787198
1926,mercury,-2.4758986879945576e-06,1.8262944529526907e-05,0.0004828551880819732,0.0004654558810922412
1927,mercury,-1.6700760457250068e-06,-2.9996414314211567e-06,0.0004760985581024874,0.000458677162569607
1928,mercury,-7.493591026122572e-07,-6.16159658512276e-05,0.000475903673972469,0.0004582316243175543
1929,mercury,7.090170432242439e-07,-0.00011565705858394097,0.000482723345909108,0.00046867345990280515
1930,mercury,8.395086450172425e-06,-9.80738841986628e-05,0.0004942993805258657,0.00047887855330317283
1931,mercury,1.4211621510487513e-05,-4.267454821288595e-05,0.0005040305772086952,0.0004907371620517236
1932,mercury,1.0140376903203723e-05,-1.570680040771136e-06,0.0005088252894562655,0.0004972854525034311
1933,mercury,6.679468839361733e-06,6.530037959032834e-05,0.0005108517365702497,0.0004928715086177832
1934,mercury,3.993711927308066e-06,0.00010392101996853835,0.0005100578086629844,0.0004913270954918468
1935,mercury,3.201940878415108e-06,0.00014214960894111796,0.0005064701837616521,0.0004891150078863732
1936,mercury,1.799217720468955e-07,9.080422082660675e-05,0.0005008287259736763,0.00048683300001831325
1937,mercury,-7.845577781632031e-06,-3.6491466665645483e-06,0.0004930588693483845,0.00048097912974964715
