dataset,cohort,candidate,increment_ara,plants,one_step_median_ara,one_step_mean_ara,carrier_median_ara,carrier_mean_ara,one_step_median_deg,carrier_median_deg,one_step_rank,carrier_rank
Landrein2015,ALL,persistence,0.0,196,0.7069444444444445,0.6840483506918528,0.5055555555555558,0.5057796986343915,127.25000000000001,91.00000000000004,9.0,9.0
Landrein2015,ALL,one_third,0.6666666666666666,196,0.15833333333333333,0.2608682930552042,0.4888888888888889,0.4839518879734453,28.5,88.0,6.0,5.0
Landrein2015,ALL,one_over_e,0.7357588823428847,196,0.1253522287682265,0.23790945461377683,0.4759365292005747,0.4710601928669332,22.56340117828077,85.66857525610345,1.0,3.0
Landrein2015,ALL,three_eighths,0.75,196,0.13888888888888884,0.2356897469349774,0.4722222222222222,0.474655260342278,24.999999999999993,85.0,4.0,2.0
Landrein2015,ALL,fibonacci_8_21,0.7619047619047619,196,0.13095238095238093,0.23473574287395801,0.46865079365079243,0.47732606634394825,23.57142857142857,84.35714285714263,2.0,1.0
Landrein2015,ALL,phi,0.7639320225002103,196,0.13190131083312304,0.23464554398706267,0.4819228776387803,0.4771974458910964,23.742235949962147,86.74611797498045,3.0,4.0
Landrein2015,ALL,two_fifths,0.8,196,0.14444444444444438,0.2359432035075901,0.5055555555555529,0.4794401588122916,25.999999999999986,90.99999999999952,5.0,8.0
Landrein2015,ALL,silver_conjugate,0.8284271247461903,196,0.15898268030174584,0.24114935603196547,0.49130588685841126,0.4824618777999058,28.61688245431425,88.43505963451403,7.0,7.0
Landrein2015,ALL,ridge,1.0,196,0.2930555555555555,0.3159516493081473,0.48888888888889426,0.49236665364565774,52.74999999999999,88.00000000000097,8.0,6.0
Landrein2015,Col0_JL,persistence,0.0,34,0.7194444444444444,0.7453858787388525,0.5111111111111108,0.5072951347542234,129.5,91.99999999999996,9.0,8.0
Landrein2015,Col0_JL,one_third,0.6666666666666666,34,0.10138888888888889,0.1507829858813337,0.45694444444444304,0.46357425990301354,18.25,82.24999999999974,6.0,3.0
Landrein2015,Col0_JL,one_over_e,0.7357588823428847,34,0.09027777777777773,0.12646139340275822,0.48268689371291096,0.4843817191974698,16.249999999999993,86.88364086832397,4.0,5.0
Landrein2015,Col0_JL,three_eighths,0.75,34,0.0888888888888889,0.12535636314248896,0.4694444444444468,0.4885229758111603,16.000000000000004,84.50000000000043,3.0,4.0
Landrein2015,Col0_JL,fibonacci_8_21,0.7619047619047619,34,0.08809523809523812,0.1255375694522015,0.4446428571428551,0.47803867961488,15.857142857142861,80.03571428571392,2.0,1.0
Landrein2015,Col0_JL,phi,0.7639320225002103,34,0.08606797749978967,0.12565021251148797,0.4530365794457063,0.47767356089740287,15.49223594996214,81.54658430022714,1.0,2.0
Landrein2015,Col0_JL,two_fifths,0.8,34,0.09444444444444444,0.13077335167615786,0.5333333333333345,0.4875861877134151,17.0,96.00000000000021,5.0,9.0
Landrein2015,Col0_JL,silver_conjugate,0.8284271247461903,34,0.11731601363507915,0.13965946961273087,0.48365800681753934,0.44599763677798276,21.116882454314247,87.05844122715708,7.0,6.0
Landrein2015,Col0_JL,ridge,1.0,34,0.28055555555555556,0.2546141212611474,0.5027777777777782,0.5051974777512616,50.5,90.50000000000009,8.0,7.0
Landrein2015,Col0_JC-JL,persistence,0.0,26,0.7305555555555555,0.7181823542962008,0.5166666666666655,0.5119632836474802,131.5,92.99999999999979,9.0,9.0
Landrein2015,Col0_JC-JL,one_third,0.6666666666666666,26,0.15555555555555556,0.24984716091952994,0.4874999999999998,0.4984363655631595,28.0,87.74999999999997,7.0,6.0
Landrein2015,Col0_JC-JL,one_over_e,0.7357588823428847,26,0.10174111765711535,0.21414495681808093,0.3918027286827437,0.40906764931293044,18.313401178280763,70.52449116289387,4.0,2.0
