frame,cycle_index,n_samples,start_jd_tdb,stop_jd_tdb,alpha_median_deg,alpha_max_deg,beta_median_deg,beta_max_deg,beta_half_max_deg,ara_a_median,alpha_max_pass,beta_max_pass
rounded_t309,0,867,2433285.5,2437615.5,3.0484510231136253,3.406427648119032,6.0919624249034285,6.491739794626022,3.245869897313011,0.9999258439795323,False,False
rounded_t309,1,867,2437620.5,2441950.5,3.0476335254074307,3.40491616970011,6.090659103987334,6.492487852029971,3.2462439260149853,0.9999884256827858,False,False
rounded_t309,2,866,2441955.5,2446280.5,3.047877190247072,3.4037010663976828,6.089870153206059,6.492553279231278,3.246276639615639,0.9997899547115433,False,False
rounded_t309,3,867,2446285.5,2450615.5,3.049677540896724,3.402698373265265,6.09074276207224,6.491603771476021,3.2458018857380107,1.0002028127367502,False,False
rounded_t309,4,866,2450620.5,2454945.5,3.0486257891348143,3.404043760174736,6.090445935580037,6.492063820261172,3.246031910130586,1.0000329835473833,False,False
rounded_t309,5,867,2454950.5,2459280.5,3.048351058588881,3.4063435300947975,6.092004658604077,6.491536315072455,3.2457681575362276,0.9999852077874748,False,False
rounded_t309,6,866,2459285.5,2463610.5,3.0479003130275935,3.4051159013342196,6.089627847243863,6.492520125700604,3.246260062850302,0.9998181680551765,False,False
rounded_t309,7,867,2463615.5,2467945.5,3.0482087896429952,3.403629485781765,6.090416743459102,6.492647515431306,3.246323757715653,0.9999631033943894,False,False
rounded_t309,8,866,2467950.5,2472275.5,3.049343692160332,3.402067321454228,6.090142585827692,6.491413300062674,3.245706650031337,1.000149329564235,False,False
rounded_t309,9,867,2472280.5,2476610.5,3.0488072280525125,3.4033259385552683,6.0912991560534975,6.492147788218815,3.2460738941094074,1.000133985227345,False,False
rounded_t309,10,866,2476615.5,2480940.5,3.0480358383470003,3.4062412692882678,6.091100229799741,6.4914565117758345,3.2457282558879172,0.999938654684364,False,False
rounded_t309,11,867,2480945.5,2485275.5,3.0480166589760103,3.405368634230473,6.090165149233882,6.4926555729504996,3.2463277864752498,0.9999241163619546,False,False
modern_measured,0,867,2433285.5,2437615.5,2.8397986095756944,3.1451545447423985,5.6642973539953365,6.003192605505626,3.001596302752813,1.0001466642058845,False,False
modern_measured,1,867,2437620.5,2441950.5,2.8397892970368637,3.143914670760161,5.665645412240109,6.004160078251598,3.002080039125799,0.9999497235930943,False,False
modern_measured,2,866,2441955.5,2446280.5,2.839975838276077,3.1427139846099537,5.6638821998095885,6.004220255547797,3.0021101277738986,0.9997696614728497,False,False
modern_measured,3,867,2446285.5,2450615.5,2.8422321205600616,3.1415018115392077,5.664770343030189,6.003054215273988,3.001527107636994,1.0003702785842066,False,False
modern_measured,4,866,2450620.5,2454945.5,2.840700723629115,3.1426455732114795,5.664734571265007,6.003722088916702,3.001861044458351,1.0000428536377157,False,False
modern_measured,5,867,2454950.5,2459280.5,2.839923053155729,3.1449685747845417,5.664923815532928,6.003096564597244,3.001548282298622,1.0001672419121332,False,False
modern_measured,6,866,2459285.5,2463610.5,2.83955111717864,3.144058039915845,5.665073030278208,6.004083665295462,3.002041832647731,0.9998194389475188,False,False
modern_measured,7,867,2463615.5,2467945.5,2.840076399550552,3.142660728695049,5.664884471652858,6.004179397437578,3.002089698718789,0.9997832929796447,False,False
modern_measured,8,866,2467950.5,2472275.5,2.8413734154615193,3.1408939294714724,5.664216817057611,6.002990212994529,3.0014951064972646,1.0001381070474662,False,False
modern_measured,9,867,2472280.5,2476610.5,2.8411774544856305,3.14196930458817,5.665269634720618,6.003715517276792,3.001857758638396,1.00020239463097,False,False
modern_measured,10,866,2476615.5,2480940.5,2.8398610491222884,3.1449255024217377,5.6645488750350985,6.002921109903501,3.0014605549517506,0.9999472902620091,False,False
modern_measured,11,867,2480945.5,2485275.5,2.840288216687374,3.1443191284086343,5.664751611203899,6.004198200585379,3.0020991002926896,1.0000710007326006,False,False
