seed,child_lineages,parent_lineages,T_child_median,T_parent_median,Q_2Tc_over_Tp,absolute_closure_error
0,8,8,7.500665343668023,14.999935169834368,1.0000930349022097,9.303490220968769e-05
1,6,10,7.499082327912635,14.998948076872853,0.9999477682672433,5.223173275670234e-05
2,6,5,7.499841938787389,14.999444426632252,1.0000159639874462,1.59639874461881e-05
3,2,4,7.499746323070694,15.00010785612758,0.9999589862958258,4.1013704174197585e-05
4,2,7,7.499874701418465,15.000035654673745,0.9999809165895731,1.908341042688999e-05
6,7,7,7.500849087432924,14.999085764046647,1.00017417133686,0.00017417133685992958
7,2,4,7.500186060078505,15.000354388044382,1.0000011821129133,1.1821129133338104e-06
8,6,6,7.5003147461450395,15.000553086541299,1.0000050935287745,5.093528774535727e-06
9,2,5,7.498759349428055,14.999492820868731,0.9998683874157482,0.00013161258425176126
10,5,6,7.499695471937738,14.999477995587236,0.9999941963505806,5.803649419378054e-06
11,3,9,7.500102598272505,14.999031505982035,1.0000782510899124,7.825108991244001e-05
12,2,9,7.4989108629501615,14.998863025119473,0.999930574789742,6.942521025798953e-05
13,3,4,7.4997590483121925,14.998187163765447,1.000088739581951,8.873958195110276e-05
14,6,4,7.500600896305267,14.998139863792517,1.0002041539048059,0.00020415390480588158
15,1,4,7.4996715153652,15.00025786817972,0.9999390118851715,6.098811482846411e-05
16,1,2,7.500123872617773,14.998019735790141,1.0001485535747154,0.00014855357471543762
17,5,6,7.5003688918928395,15.00117838375333,0.999970628976179,2.9371023820945474e-05
18,5,10,7.50011644308156,15.000840780053299,0.9999594760121054,4.0523987894558466e-05
19,1,6,7.500917956582528,14.998886658442673,1.0001966315760324,0.00019663157603244663
20,6,5,7.49998999226447,15.004470022194464,0.9997007533315817,0.00029924666841829595
21,3,11,7.500443095663105,14.999429631272614,1.0000971076960525,9.710769605253411e-05
22,2,6,7.500542608151692,14.999023884388087,1.0001374310709275,0.00013743107092745177
23,1,11,7.499758477268723,15.000113708706767,0.9999602166902926,3.9783309707441816e-05
24,5,4,7.499874974793544,14.999206481765148,1.0000362331049046,3.623310490463716e-05
25,4,3,7.5003877313452785,15.000713858220502,1.000004106769227,4.1067692269081135e-06
