genotype,plant,split,n_angles,heldout_n,x_A_median,x_A_abs_phi_median,clearance_median,early_mean_turn
Col,1,development,4,2,0.372904166667,0.00906184458344,0.72369646516,0.385747222222
Col,2,confirmation,6,4,0.386698611111,0.016725,0.74251046134,0.388229166667
Col,3,development,6,4,0.383695833333,0.0219041666667,0.799417733065,0.348380555556
Col,4,confirmation,5,3,0.402236111111,0.020270099861,0.725582094036,0.366002777778
Col,5,development,6,4,0.391358333333,0.028275,0.810491675021,0.359715277778
Col,6,confirmation,6,4,0.395343055556,0.0145486111111,0.741173473102,0.371729166667
Col,7,development,7,5,0.368713888889,0.0195493445834,0.763757263613,0.364159722222
Col,8,confirmation,7,5,0.384144444444,0.0140882334723,0.750415412402,0.374118055556
Col,9,development,7,5,0.383194444444,0.00411732208323,0.800410961776,0.387843055556
Col,10,confirmation,7,5,0.361383333333,0.0240854556945,0.776020651655,0.3706125
Col,11,development,7,5,0.386997222222,0.038879900139,0.763757354681,0.353784722222
Col,12,confirmation,7,5,0.389602777778,0.0189187890279,0.699743866956,0.358955555556
Col,13,development,5,3,0.400505555556,0.0400312109721,0.716381473022,0.355433333333
Col,14,confirmation,7,5,0.374791666667,0.0206728776388,0.708699044275,0.366768055556
Col,15,development,7,5,0.390080555556,0.0165839887499,0.748689153232,0.358022222222
Col,16,confirmation,7,5,0.390919444444,0.0101395443055,0.706147558865,0.360515277778
Col,17,development,7,5,0.361097222222,0.0280660112501,0.797180947091,0.361925
Col,18,confirmation,6,4,0.388284722222,0.0317347222222,0.737216938034,0.369930555556
e1e2,1,development,6,4,0.408,0.109631944444,0.652255532427,0.403131944444
e1e2,2,confirmation,4,2,0.375063888889,0.157875,0.65405869191,0.600720833333
e1e2,3,development,3,1,0.384427777778,0.00246176652767,0.686162775174,0.375601388889
e1e2,4,confirmation,4,2,0.278068055556,0.103897955695,0.629016328677,0.427922222222
e1e2,5,development,6,4,0.423097222222,0.0411312109721,0.628296919918,0.421865277778
e1e2,6,confirmation,6,4,0.392333333333,0.0103673220832,0.666551109461,0.378619444444
e1e2,7,development,7,5,0.380322222222,0.00385490013899,0.745228203606,0.389302777778
e1e2,8,confirmation,5,3,0.411263888889,0.0292978776388,0.601770571242,0.350958333333
e1e2,9,development,6,4,0.517079166667,0.150141666667,0.152655238664,0.384411111111
e1e2,10,confirmation,7,5,0.532852777778,0.150886766528,0.436556228181,0.416097222222
e1e2,11,development,7,5,0.278302777778,0.103663233472,0.837557017237,0.252663888889
e1e2,12,confirmation,7,5,0.389341666667,0.0228410112501,0.739971117842,0.362806944444
e2,1,development,3,1,0.415397222222,0.0334312109721,0.988166984201,0.400731944444
e2,2,confirmation,5,3,0.386872222222,0.0399826779168,0.845736562958,0.364026388889
e2,3,development,7,5,0.385952777778,0.00404509986101,0.787166720397,0.366604166667
e2,4,confirmation,6,4,0.585529166667,0.226459722222,0.720427447504,0.335984722222
e2,5,development,8,6,0.397073611111,0.0219923220832,0.775071736493,0.380080555556
e2,6,confirmation,6,4,0.402027777778,0.0425444444444,0.760304743952,0.352988888889
e2,7,development,7,5,0.322111111111,0.124168789028,0.657209382546,0.224419444444
e2,8,confirmation,7,5,0.389202777778,0.0401312109721,0.747075804341,0.360954166667
e2,9,development,5,3,0.414866666667,0.0499395443055,0.713785366943,0.363190277778
e2,10,confirmation,6,4,0.389118055556,0.0176819444444,0.623181507781,0.383338888889
e2,11,development,7,5,0.373522222222,0.0149978776388,0.778603063296,0.380238888889
e2,12,confirmation,7,5,0.394769444444,0.0367673220832,0.575655878227,0.404509722222
e2,13,development,7,5,0.360416666667,0.0338756554166,0.753721111343,0.373490277778
e2,14,confirmation,8,6,0.398916666667,0.0576312890279,0.654915456319,0.359697222222
Col,19,development,6,4,0.401904166667,0.045057599861,0.762655506782,0.3981125
Col,20,confirmation,7,5,0.379608333333,0.0198923220832,0.777897103255,0.398995833333
Col,21,development,7,5,0.383827777778,0.0288160112501,0.757044761661,0.415681944444
e2,15,development,6,4,0.375956944444,0.0156625,0.809791306382,0.391968055556
e2,16,confirmation,7,5,0.391663888889,0.0593576779168,0.162771893588,0.3265125
e2,17,development,6,4,0.388251388889,0.0152125,0.45719206359,0.331480555556
e2,18,confirmation,6,4,0.397890277778,0.0584277777778,0.709911033724,0.412141666667
e2,19,development,6,4,0.384468055556,0.0363722222222,0.774608698019,0.393743055556
e1e2,13,development,6,4,0.279606944444,0.102359066806,0.82589053437,0.2904875
e1e2,14,confirmation,6,4,0.375504166667,0.0189819444444,0.683747418678,0.403511111111
e1e2,15,development,6,4,0.532693055556,0.177009722222,0.422127665344,0.271615277778
e1e2,16,confirmation,7,5,0.281827777778,0.100138233472,0.683181649331,0.651159722222
e1e2,17,development,6,4,0.378468055556,0.0256007334723,0.597230376721,0.389243055556
e1e2,18,confirmation,6,4,0.4306875,0.0845847222222,0.818062426042,0.3727
