candidate,lag,plants,observed_return_ara,predicted_return_ara,absolute_profile_error
persistence,2,196,0.5277777777777779,0.0,0.5277777777777779
persistence,3,196,0.40694444444444455,0.0,0.40694444444444455
persistence,5,196,0.4166666666666685,0.0,0.4166666666666685
persistence,8,196,0.4555555555555557,0.0,0.4555555555555557
persistence,13,195,0.48055555555555785,0.0,0.48055555555555785
one_third,2,196,0.5277777777777779,0.6666666666666667,0.13888888888888884
one_third,3,196,0.40694444444444455,0.0,0.40694444444444455
one_third,5,196,0.4166666666666685,0.666666666666667,0.24999999999999845
one_third,8,196,0.4555555555555557,0.666666666666667,0.21111111111111125
one_third,13,195,0.48055555555555785,0.6666666666666661,0.18611111111110823
one_over_e,2,196,0.5277777777777779,0.5284822353142307,0.0007044575364527628
one_over_e,3,196,0.40694444444444455,0.207276647028654,0.19966779741579055
one_over_e,5,196,0.4166666666666685,0.32120558828557666,0.09546107838109186
one_over_e,8,196,0.4555555555555557,0.11392894125692266,0.34162661429863306
one_over_e,13,195,0.48055555555555785,0.4351345295424984,0.04542102601305942
three_eighths,2,196,0.5277777777777779,0.5,0.0277777777777779
three_eighths,3,196,0.40694444444444455,0.25,0.15694444444444455
three_eighths,5,196,0.4166666666666685,0.25,0.16666666666666852
three_eighths,8,196,0.4555555555555557,0.0,0.4555555555555557
three_eighths,13,195,0.48055555555555785,0.25,0.23055555555555785
fibonacci_8_21,2,196,0.5277777777777779,0.4761904761904763,0.051587301587301626
fibonacci_8_21,3,196,0.40694444444444455,0.2857142857142856,0.12123015873015897
fibonacci_8_21,5,196,0.4166666666666685,0.1904761904761907,0.22619047619047783
fibonacci_8_21,8,196,0.4555555555555557,0.0952380952380949,0.3603174603174608
fibonacci_8_21,13,195,0.48055555555555785,0.0952380952380949,0.38531746031746295
phi,2,196,0.5277777777777779,0.4721359549995794,0.05564182277819851
phi,3,196,0.40694444444444455,0.29179606750063103,0.11514837694381352
phi,5,196,0.4166666666666685,0.18033988749894858,0.23632677916771994
phi,8,196,0.4555555555555557,0.11145618000168245,0.34409937555387327
phi,13,195,0.48055555555555785,0.06888370749726569,0.41167184805829216
two_fifths,2,196,0.5277777777777779,0.3999999999999999,0.127777777777778
two_fifths,3,196,0.40694444444444455,0.40000000000000036,0.006944444444444198
two_fifths,5,196,0.4166666666666685,0.0,0.4166666666666685
two_fifths,8,196,0.4555555555555557,0.40000000000000036,0.05555555555555536
two_fifths,13,195,0.48055555555555785,0.40000000000000036,0.08055555555555749
silver_conjugate,2,196,0.5277777777777779,0.3431457505076194,0.18463202727015848
silver_conjugate,3,196,0.40694444444444455,0.4852813742385709,0.07833692979412632
silver_conjugate,5,196,0.4166666666666685,0.142135623730951,0.2745310429357175
silver_conjugate,8,196,0.4555555555555557,0.6274169979695223,0.17186144241396661
silver_conjugate,13,195,0.48055555555555785,0.7695526217004733,0.2889970661449155
ridge,2,196,0.5277777777777779,0.0,0.5277777777777779
ridge,3,196,0.40694444444444455,1.0,0.5930555555555554
ridge,5,196,0.4166666666666685,1.0,0.5833333333333315
ridge,8,196,0.4555555555555557,0.0,0.4555555555555557
ridge,13,195,0.48055555555555785,1.0,0.5194444444444422
