dataset,cohort,genotype,condition,source_file,source_plant,angle_deg,event,plant_id,u_ara,position_ara,heldout,source_bin,source_orientation
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,108.0,1,Col0_JL_P1,0.6,0.6,False,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,103.0,2,Col0_JL_P1,0.5722222222222222,1.172222222222222,False,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,142.0,3,Col0_JL_P1,0.7888888888888889,1.9611111111111108,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,83.0,4,Col0_JL_P1,0.46111111111111114,0.42222222222222205,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,101.0,5,Col0_JL_P1,0.5611111111111111,0.9833333333333334,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,141.0,6,Col0_JL_P1,0.7833333333333333,1.7666666666666666,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,125.0,7,Col0_JL_P1,0.6944444444444444,0.46111111111111125,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,86.0,8,Col0_JL_P1,0.4777777777777778,0.9388888888888891,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,177.0,9,Col0_JL_P1,0.9833333333333333,1.9222222222222225,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,105.0,10,Col0_JL_P1,0.5833333333333334,0.5055555555555555,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,115.0,11,Col0_JL_P1,0.6388888888888888,1.144444444444444,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,151.0,12,Col0_JL_P1,0.8388888888888889,1.9833333333333325,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,127.0,13,Col0_JL_P1,0.7055555555555556,0.6888888888888882,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,105.0,14,Col0_JL_P1,0.5833333333333334,1.2722222222222221,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,162.0,15,Col0_JL_P1,0.9,0.1722222222222225,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,118.0,16,Col0_JL_P1,0.6555555555555556,0.8277777777777775,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,122.0,17,Col0_JL_P1,0.6777777777777778,1.5055555555555546,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,165.0,18,Col0_JL_P1,0.9166666666666666,0.4222222222222207,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,95.0,19,Col0_JL_P1,0.5277777777777778,0.9499999999999993,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,125.0,20,Col0_JL_P1,0.6944444444444444,1.644444444444444,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,92.0,21,Col0_JL_P1,0.5111111111111111,0.155555555555555,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,188.0,22,Col0_JL_P1,1.0444444444444445,1.1999999999999993,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,118.0,23,Col0_JL_P1,0.6555555555555556,1.8555555555555543,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,117.0,24,Col0_JL_P1,0.65,0.5055555555555529,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,147.0,25,Col0_JL_P1,0.8166666666666667,1.3222222222222193,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,119.0,26,Col0_JL_P1,0.6611111111111111,1.9833333333333307,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,131.0,27,Col0_JL_P1,0.7277777777777777,0.7111111111111086,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,123.0,28,Col0_JL_P1,0.6833333333333333,1.3944444444444422,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,120.0,29,Col0_JL_P1,0.6666666666666666,0.061111111111110006,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,155.0,30,Col0_JL_P1,0.8611111111111112,0.9222222222222207,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,134.0,31,Col0_JL_P1,0.7444444444444445,1.6666666666666643,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,141.0,32,Col0_JL_P1,0.7833333333333333,0.4499999999999993,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,119.0,33,Col0_JL_P1,0.6611111111111111,1.1111111111111107,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,141.0,34,Col0_JL_P1,0.7833333333333333,1.8944444444444457,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,112.0,35,Col0_JL_P1,0.6222222222222222,0.5166666666666693,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,155.0,36,Col0_JL_P1,0.8611111111111112,1.37777777777778,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,1,145.0,37,Col0_JL_P1,0.8055555555555556,0.18333333333333712,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,2,129.0,1,Col0_JL_P2,0.7166666666666667,0.7166666666666667,False,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,2,108.0,2,Col0_JL_P2,0.6,1.3166666666666667,False,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,2,151.0,3,Col0_JL_P2,0.8388888888888889,0.15555555555555545,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,2,130.0,4,Col0_JL_P2,0.7222222222222222,0.8777777777777778,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,2,126.0,5,Col0_JL_P2,0.7,1.5777777777777775,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,2,126.0,6,Col0_JL_P2,0.7,0.2777777777777777,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,2,126.0,7,Col0_JL_P2,0.7,0.9777777777777779,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,2,159.0,8,Col0_JL_P2,0.8833333333333333,1.8611111111111107,True,,
Landrein2015,Col0_JL,Col0,JL,Col0-JL.txt,2,95.0,9,Col0_JL_P2,0.5277777777777778,0.3888888888888884,True,,
