candidate,increment_ara,horizon,n_plants,n_predictions,median_error_ara,mean_error_ara,median_error_deg
persistence,0,1,10,10,0.808152777778,0.808547777778,145.4675
persistence,0,2,10,10,0.469930555556,0.468351111111,84.5875
persistence,0,3,10,10,0.317519444444,0.316347222222,57.1535
persistence,0,4,9,9,0.910122222222,0.915859876543,163.822
persistence,0,5,6,6,0.181911111111,0.180233333333,32.744
one_third_phase,0.666666666667,1,10,10,0.141486111111,0.141881111111,25.4675
one_third_phase,0.666666666667,2,10,10,0.196736111111,0.198315555556,35.4125
one_third_phase,0.666666666667,3,10,10,0.317519444444,0.316347222222,57.1535
one_third_phase,0.666666666667,4,9,9,0.423211111111,0.41747345679,76.178
one_third_phase,0.666666666667,5,6,6,0.484755555556,0.486433333333,87.256
one_over_e,0.735758882343,1,10,10,0.0723938954349,0.0733873385701,13.0309011783
one_over_e,0.735758882343,2,10,10,0.0585516797587,0.0601311242031,10.5393023566
one_over_e,0.735758882343,3,10,10,0.110242797416,0.109070575194,19.8437035348
one_over_e,0.735758882343,4,9,9,0.146842248406,0.141104594085,26.4316047131
one_over_e,0.735758882343,5,6,6,0.139294477174,0.140972254952,25.0730058914
nearest_eighth_3_8,0.75,1,10,10,0.0581527777778,0.0619944444444,10.4675
nearest_eighth_3_8,0.75,2,10,10,0.0300694444444,0.0370744444444,5.4125
nearest_eighth_3_8,0.75,3,10,10,0.0675194444444,0.0663472222222,12.1535
nearest_eighth_3_8,0.75,4,9,9,0.0898777777778,0.0841401234568,16.178
nearest_eighth_3_8,0.75,5,6,6,0.0680888888889,0.0697666666667,12.256
fibonacci_8_21,0.761904761905,1,10,10,0.046248015873,0.0524706349206,8.32464285714
fibonacci_8_21,0.761904761905,2,10,10,0.0227305555556,0.0271061904762,4.0915
fibonacci_8_21,0.761904761905,3,10,10,0.0318051587302,0.0314902380952,5.72492857143
fibonacci_8_21,0.761904761905,4,9,9,0.0422587301587,0.0391475308642,7.60657142857
fibonacci_8_21,0.761904761905,5,6,6,0.0308361111111,0.0370074074074,5.5505
phi,0.7639320225,1,10,10,0.0442207552776,0.0508488264443,7.95973594996
phi,0.7639320225,2,10,10,0.0227305555556,0.0261960798888,4.0915
phi,0.7639320225,3,10,10,0.0257233769438,0.0279265729997,4.63020784989
phi,0.7639320225,4,9,9,0.0341496877769,0.0328404979006,6.14694379985
phi,0.7639320225,5,6,6,0.0308361111111,0.0370074074074,5.5505
two_fifths_phase,0.8,1,10,10,0.0214916666667,0.0270233333333,3.8685
two_fifths_phase,0.8,2,10,10,0.0699305555556,0.0707544444444,12.5875
two_fifths_phase,0.8,3,10,10,0.0824805555556,0.0836527777778,14.8465
two_fifths_phase,0.8,4,9,9,0.110122222222,0.115859876543,19.822
two_fifths_phase,0.8,5,6,6,0.181911111111,0.180233333333,32.744
silver_conjugate,0.828427124746,1,10,10,0.0235521247462,0.029069608181,4.23938245431
silver_conjugate,0.828427124746,2,10,10,0.126784805048,0.125205360603,22.8212649086
silver_conjugate,0.828427124746,3,10,10,0.167761929794,0.168934152016,30.1971473629
silver_conjugate,0.828427124746,4,9,9,0.223830721207,0.229568375528,40.2895298173
silver_conjugate,0.828427124746,5,6,6,0.324046734842,0.322368957064,58.3284122716
half_turn_ridge,1,1,10,10,0.191847222222,0.191452222222,34.5325
half_turn_ridge,1,2,10,10,0.469930555556,0.468351111111,84.5875
half_turn_ridge,1,3,10,10,0.682480555556,0.683652777778,122.8465
half_turn_ridge,1,4,9,9,0.910122222222,0.915859876543,163.822
half_turn_ridge,1,5,6,6,0.818088888889,0.819766666667,147.256
development_step_fit,0.767655555556,1,10,10,0.0404972222222,0.04787,7.2895
development_step_fit,0.767655555556,2,10,10,0.01785,0.0268033333333,3.213
development_step_fit,0.767655555556,3,10,10,0.0187583333333,0.0234583333333,3.3765
development_step_fit,0.767655555556,4,9,9,0.0205055555556,0.0234166666667,3.691
development_step_fit,0.767655555556,5,6,6,0.0399194444444,0.0408055555556,7.1855
development_carrier_fit,0.766279999999,1,10,10,0.0418727777785,0.048970444445,7.53710000014
development_carrier_fit,0.766279999999,2,10,10,0.0206011111126,0.0262531111108,3.70820000027
development_carrier_fit,0.766279999999,3,10,10,0.0195916666667,0.0251090000009,3.5265
development_carrier_fit,0.766279999999,4,9,9,0.0260077777808,0.0263783950634,4.68140000054
development_carrier_fit,0.766279999999,5,6,6,0.0330416666629,0.0385129629617,5.94749999932
